year (AD),age (BP),depth (m),temperature (degC),Mg/Ca (missing),d18O_PDB (permil),d18O_SMOW (permil),d18O (permil),d18O (permil),temperature (degC)
-7252,9202,1.055,18.5,2.78,-0.11,0.49,0.31,0.32,18.6
-7289,9239,1.062,19.2,2.92,-0.18,0.61,0.42,0.35,18.7
-7325,9275,1.07,18.3,2.739,-0.1,0.45,0.26,0.36,18.7
-7325,9275,1.07,19,2.866,-0.1,0.61,0.42,0.41,18.8
-7398,9348,1.085,19,2.883,-0.15,0.59,0.39,0.43,19
-7447,9397,1.095,19.6,3.007,-0.12,0.77,0.56,0.52,19
-7642,9592,1.135,19.2,2.912,-0.02,0.76,0.54,0.52,19.3
-7691,9641,1.145,19.7,3.016,0,0.9,0.68,0.58,19.1
-7837,9787,1.175,18.1,2.7,0.16,0.66,0.42,0.52,19.3
-7935,9885,1.195,20,3.076,0,0.97,0.71,0.51,19.1
-8081,10031,1.225,18.5,2.771,-0.06,0.53,0.26,0.41,19.1
-8130,10080,1.235,19.3,2.928,-0.04,0.75,0.47,0.45,18.9
-8178,10128,1.245,18.7,2.806,-0.18,0.46,0.18,0.31,19.2
-8276,10226,1.265,19.7,3.009,0.04,0.93,0.64,0.25,18.7
-8325,10275,1.275,17.5,2.581,-0.05,0.29,-0.01,0.15,18.5
-8373,10323,1.285,17.5,2.583,-0.06,0.28,-0.02,0.34,18.1
-8666,10616,1.345,17.3,2.55,0.02,0.32,-0.02,NA,NA
-8766,10716,1.385,21.8,3.508,0.02,1.45,1.11,NA,NA
-9308,11258,1.505,17.5,2.588,NA,NA,NA,NA,NA
