depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,260,18.886,-11.514,4.448,1024.429
25,649,18.657,-12.371,4.038,1017.857
40,1039,19.114,-11.314,4.655,1034.286
50,1299,18.657,-10.871,4.59,1017.143
75,1948,18.429,-12.029,3.985,1096.714
100,2598,19.086,-10.143,5.152,947.857
125,3247,18.8,-10.557,4.79,989.429
150,3897,18.929,-11.686,4.467,988.857
175,4546,18.186,-11.857,3.968,1022.571
200,5196,18.957,-11.086,4.733,972
215,5585,18.843,-10.829,4.7,973.286
225,5845,19.286,-8.943,5.76,934.571
235,5964,19.286,-9.5,5.577,883.714
250,6072,18.814,-11.557,4.433,874.286
275,6252,19.243,-10.7,5.049,995.714
300,6433,19.286,-10.157,5.337,928.286
315,6541,18.986,-11,4.792,890.143
325,6656,19.514,-10,5.532,939
335,6900,19.143,-10.714,5.055,920
350,7266,19.686,-9.629,5.779,927.143
362,7559,18.971,-11.329,4.699,901.143
375,7877,17.886,-12.743,3.308,945.714
390,8243,17.871,-12.5,3.427,969.429
400,8487,18.457,-12.657,3.689,842
412,8780,17.843,-12.414,3.458,967.143
425,9098,18.871,-10.543,4.768,1024.714
430,9351,18.586,-11.286,4.192,1090.857
435,9736,19.871,-9.086,5.967,1026.286
440,10121,20.386,-8.171,6.642,1000.286
445,10524,19.986,-8.571,6.248,1072
450,10945,19.686,-9.243,5.77,973.714
