year (AD),age (BP),F_kerg__ (percent),F_curta_gp_ (percent),C (percent),temperature (percent),glacierCoverage (missing),diatom_abundance (millions of valves/g dry sed)
950,1000,13.9,26.5,6.9,8.2,1.9,220.02
940,1010,14.5,30.3,5.3,9.2,2.4,243.05
930,1020,12.4,21,9.7,14.1,1.4,227.09
921,1029,16.2,22,9.8,12.2,1.5,188.76
911,1039,12.4,23.8,12.4,13,1.8,285.98
901,1049,10.6,23.8,22.3,5,0.9,194.28
891,1059,10.8,31.2,8.4,9,1.8,154.84
882,1068,14.2,22.7,6.2,5.8,2.4,202.58
872,1078,11.7,34.4,13.7,3.2,0.6,323.24
862,1088,3.6,48.2,7.4,3.6,0.9,722.71
852,1098,15.6,29.1,14.4,2.3,1.5,435.34
842,1108,10.5,32.1,16.7,0.6,0.6,434.35
833,1117,10,30.3,17.3,1.2,1.2,296.65
823,1127,5.3,34.7,9.5,4.2,1.2,324.25
813,1137,10.7,26.6,11.8,0.9,1.8,268.93
803,1147,9.5,34.4,15.7,1.2,0.3,197.58
793,1157,13.1,33,12.2,3,1.5,346.04
784,1166,15,32.7,9.6,2.7,0.6,369.68
774,1176,15.5,38.5,10.3,1.5,2.3,358.13
764,1186,20.2,32,6,1.2,4.5,298.66
754,1196,14.1,30.2,12,4.5,1.5,311.53
745,1205,15.3,31.8,10,3,2.4,319.62
735,1215,17.7,34.5,8,1.2,2.1,288.6
725,1225,17.8,41.1,8.2,3,0.9,283.57
715,1235,8.8,41.5,13.4,2.1,1.8,377.64
705,1245,11.5,42,12.7,0.9,0.9,549.18
696,1254,13.1,35.7,16.1,0.6,1.2,342.68
686,1264,13.1,37,16,3.2,0.9,444.76
676,1274,12.2,27.8,26.6,1.8,2.4,428.32
666,1284,12.8,25.4,23.3,1.2,2.4,374.25
656,1294,11.9,22.6,29.7,1.8,1.8,470.5
647,1303,7.4,26.8,15.9,1.5,2.1,442.34
637,1313,5.5,36.2,19.5,1.8,0.6,332.38
627,1323,8.9,29.3,18.9,1.2,1.8,285.47
617,1333,5.4,42,12.1,0.9,2.8,518.01
608,1342,10.9,36.4,13.6,2.1,0.6,475.81
598,1352,8.7,35.2,14.5,2.9,1.2,424.59
588,1362,8.5,32.2,13.1,2.7,3,329.58
578,1372,12.4,33.9,18,3.2,2.9,453.68
568,1382,13.6,28.1,20,2.6,2.3,316.68
559,1391,12,26.7,19.2,2.1,4.2,270.31
539,1411,15.2,24.4,23.5,1.8,4.5,407.11
519,1431,8.2,30.1,17.8,4.4,4.1,445.28
500,1450,11.2,25.4,20.5,2.6,2.6,521.82
480,1470,14,18.1,16,2,1.7,449.32
461,1489,7.3,27.8,21.8,2.1,2.1,514.17
441,1509,13.5,25.3,17.2,2.3,2.9,546.58
422,1528,10.1,28.9,17.1,6.4,2.7,457.55
402,1548,7.5,30.6,18.9,2.1,3,280.19
383,1567,4.3,44.6,17.1,0.6,1.9,267.79
363,1587,7.7,28.1,21.8,2.7,5.3,288.29
343,1607,7.6,31.8,15.2,2.4,2.7,227.55
324,1626,9.9,26.8,27.4,1.2,1.8,656.38
304,1646,12.2,23.5,22.2,2.9,5.1,269.07
285,1665,14.3,25.8,18.2,2.7,7,244.77
265,1685,17.1,14.3,32.3,3.3,5.7,321.91
246,1704,18.4,20.5,22.4,1.5,5.4,434.13
226,1724,10,19.7,47.5,0.9,1.3,490.5
206,1744,13.6,23.5,21.1,1.5,5,428.74
187,1763,9.2,28.1,27.8,1.5,4.9,461.75
167,1783,9,25,21.9,2.1,2.7,416.55
148,1802,14.8,25.5,11.9,3,2.7,530.88
128,1822,10,31.8,21.2,4.5,5.8,329.54
109,1841,11.4,29.4,17.1,2.4,3.6,231.69
89,1861,11.9,25.7,21.5,3.6,3.3,432.36
69,1881,13.4,27.4,21.4,2.7,3.9,399.13
50,1900,6.8,29.5,26.7,3.4,4.7,366.91
30,1920,7.5,34,22,2.4,3.9,529.37
11,1939,17.1,26.7,16.5,1.6,4,334.47
-9,1959,10.2,22,21.6,2.8,6.8,404.63
-28,1978,13.9,27,15.4,0.9,2.1,406.82
-48,1998,7.2,37.3,21,2.6,1.7,475.55
-68,2018,10.5,29.1,16.5,1.4,6.3,447.11
-77,2027,8.7,31.7,15.6,2.4,4.5,293.25
-87,2037,8.4,32.6,19,2.3,1.7,301.85
-97,2047,8,50.6,6.2,1.2,0.3,323.53
-107,2057,12.6,32.5,11.2,4.6,0.9,390.42
-116,2066,13.8,28.9,8.1,1.2,0.9,289
-126,2076,11.2,22.2,11.8,4.8,3,491.03
-146,2096,8.1,29.9,13.1,5.4,3.3,276.08
-156,2106,10.3,36.9,17.5,1.9,3.1,294.74
-175,2125,7.5,32.2,16.5,5.1,3.5,399.9
-195,2145,9.6,36.3,13.6,4.9,4.3,485.1
-214,2164,10.4,29.7,8.6,4.5,2.7,192.13
-234,2184,18.3,29.8,8.8,3.8,1.1,193.23
-253,2203,11.6,33.2,11.3,9.5,1.5,581.59
-273,2223,7.7,23.4,17.5,8.6,1.2,438.23
-293,2243,12.7,23.6,14.2,5.5,0.7,150.48
-312,2262,8.9,29.4,13.8,4.9,0.3,445.48
-332,2282,12.1,21.2,17.1,13.2,2.1,439.59
-351,2301,9.9,26.7,28.5,3,1.8,282.15
-371,2321,8.8,37.1,9.4,3.5,3,299.68
-390,2340,7.1,26,9.6,8.4,1.8,283.56
-410,2360,14.4,31.6,12.1,5.6,1.5,317.12
-430,2380,12.8,37.7,16,0.9,0.9,410.77
-449,2399,12.1,30.6,11.5,6.5,1.2,436.92
-469,2419,6.1,34.5,26.6,5.5,1.2,739.59
-488,2438,6.5,34.8,17.7,10.3,0.6,656.94
-508,2458,5.3,36.5,13.3,0.6,0.6,524.81
-527,2477,9.4,34.3,19.3,4.7,3.8,374.18
