depth (cm),age (BP),soilTemp (degC),MBT_temp (degC),brGDGT (peak area),brGDGTIIIa (peak area),brGDGTIIIb (peak area),brGDGT (peak area),brGDGTIia (peak area),brGDGTIib (peak area),brGDGT (peak area),brGDGTIa (peak area),brGDGTIb (peak area),brGDGT (peak area),BIT (missing),MBT (missing),MBT' (missing),CBT (missing),pH (pH)
0.5,0,19.38,16.8,204037.9,2211909,-999,-999,9362059,218749.2,31703.6,43306240,1410588.5,291595.7,1,0.79,0.79,1.51,4.79
97.5,3974.4,19.8,17.06,352136.4,1333127.2,-999,-999,5609782.5,157098.3,43483.9,26159220,920136.4,268418.2,0.99,0.79,0.79,1.47,4.9
101.5,4197.6,19.1,16.62,300233.5,1330605.1,-999,-999,5355091.5,135507,38422.2,22329742,863967.4,263915.4,0.99,0.77,0.77,1.44,4.97
105.5,4397.7,20.68,17.58,409486,2421096.7,-999,-999,10975535,430717.5,75604.7,44888360,2495073.8,564713.9,0.99,0.78,0.78,1.28,5.39
109.5,4587.7,20.3,17.35,220603.9,1361646.1,-999,-999,5450929,205305.1,51443.6,23206802,1129455.4,307780.4,0.99,0.78,0.78,1.33,5.26
114.5,4810.4,20.72,17.6,453951.7,1863234.1,-999,-999,8208570,301817.2,90832.2,34670760,1842019,509119.3,0.99,0.78,0.78,1.3,5.34
118.5,5002.9,17.97,15.91,81864.5,1373676.5,-999,-999,5463301,143061,35503.5,19774304,807794.6,206005.1,1,0.75,0.75,1.42,5.02
122.5,5209.8,19.63,16.93,1445665.6,5073144,-999,-999,21053610,746903.6,202639.4,80785624,4182656.8,1039553.4,0.99,0.76,0.76,1.32,5.3
126.5,5425.1,19.46,16.83,276828.4,1487903.1,-999,-999,6359085.5,245670.2,72388.3,25336316,1124640.5,307754.2,0.99,0.77,0.77,1.36,5.17
129.5,5591.3,18.76,16.39,236274.5,2110373.3,-999,-999,8826416,405151.4,78260.3,29709372,1649115.8,369449.7,0.99,0.74,0.74,1.27,5.41
134.5,5818.6,17.2,15.43,356988.6,2374277.3,-999,-999,9782738,293370.7,70498,31698628,1371253.1,302650.4,0.99,0.73,0.73,1.4,5.09
143.5,6202.6,20.65,17.55,271653.9,1812133.9,-999,-999,7456384,389699,63452,28018526,1911439.4,394810.8,0.99,0.76,0.76,1.19,5.64
148.5,6413.8,20.92,17.73,522416.9,1582550.2,-999,-999,6475402,221061.8,58661.3,29425984,1457251.2,340776.9,0.99,0.79,0.79,1.33,5.26
153.5,6619.1,22.25,18.55,597157.4,1698625.6,-999,-999,7742063,344283.7,86596.9,37583848,2127691.7,568947.4,0.99,0.8,0.8,1.26,5.44
157.5,6790.5,20.17,17.26,1036195.9,4224014,-999,-999,17703314,724324.2,153739.2,67083104,4013867,984070.4,0.99,0.76,0.76,1.25,5.47
162.5,7002.4,21.64,18.18,663517.8,1878180.9,-999,-999,8188298.5,254666.7,73425.4,41871068,1906309.6,548257.9,0.99,0.81,0.81,1.36,5.17
167.5,7208.2,21.9,18.34,451492.2,1479793.7,-999,-999,6127468.5,161715.9,53256.4,32881790,1497755.5,411005.3,0.99,0.82,0.82,1.37,5.15
172.5,7417.2,21.21,17.91,121912.2,1773467,-999,-999,7619197.5,192447.7,52239.2,34716328,1821898.7,485420.4,1,0.79,0.79,1.32,5.28
176.5,7583.9,22.02,18.41,101995.5,619454.8,-999,-999,2602508.2,78175.3,18568.5,12702036,706883.2,179434.6,0.99,0.8,0.8,1.29,5.37
181.5,7788.8,19.95,17.14,65474.2,900415.4,-999,-999,3664188.7,80213,28515,17021668,650504.3,172525.4,1,0.79,0.79,1.45,4.94
189.5,8013.5,20.87,17.71,96112.3,740707.5,-999,-999,3075720.8,81189.1,42053.7,15471995,623272,171346.7,1,0.81,0.81,1.42,5.03
200.5,8206.7,16.33,14.91,35848.3,1898265,-999,-999,6340168,95996.1,47791.4,23215920,715040,24.7,1,0.74,0.74,1.56,4.65
211.5,8399.5,19.05,16.61,24592.5,1557530,-999,-999,3536497.2,63989.4,15501.9,20791236,522454.7,122429.3,1,0.81,0.81,1.62,4.51
222.5,8602.2,14.95,14.05,33676,2076871.1,-999,-999,6750837,135404.3,20693.6,20068244,726791.7,175039.8,1,0.7,0.7,1.49,4.83
242.5,8990.4,21.14,17.85,396580.1,4687248.5,-999,-999,18922344,772865.2,103013.3,73599016,5335512,983883.5,1,0.77,0.77,1.18,5.66
246.5,9200.5,20.86,17.68,341890.2,3921616.5,-999,-999,15810492,640550.4,81139,61950288,4135746,821222.6,1,0.77,0.77,1.21,5.57
249.5,9428.6,21.29,17.94,140352.2,1736841.9,-999,-999,7098785,302255.4,39958.8,28608336,1971223.7,402362.4,1,0.77,0.77,1.2,5.62
253.5,9751.4,21.24,17.92,115626,2141573.5,-999,-999,8909755,326992.5,40558.7,36370012,2414480.2,468033.4,1,0.77,0.77,1.22,5.56
256.5,9968.9,21.41,18.02,343486.7,4785800,-999,-999,19339096,610350.6,95373.7,83638424,5201872,1099912.4,1,0.78,0.78,1.25,5.48
259.5,10175.1,20.89,17.7,205181.1,3467311.8,-999,-999,13447439,418357.4,73201.6,55916684,3391244.2,774389.5,1,0.78,0.78,1.26,5.45
263.5,10547,22.18,18.48,440903.6,2450600.2,-999,-999,10826498,583486,127039,41097284,3833880.3,781989.3,0.99,0.77,0.77,1.07,5.95
266.5,10775.5,22.38,18.6,336832.7,1790451.7,-999,-999,8039148,404375,87022.9,30792540,2940073,559504.6,0.99,0.77,0.77,1.06,5.96
269.5,10997.2,23.41,19.23,526003.7,1723907.1,-999,-999,7885667,498533.7,101606.2,31613766,3417871.8,722158.1,0.99,0.78,0.78,1,6.12
272.5,11208.7,24.48,19.89,564183.7,1395654,-999,-999,6702805.5,487321.5,120372,29355900,3352623.2,726814.3,0.99,0.79,0.79,0.97,6.2
275.5,11423.1,24.67,20.01,999824.6,1678327.6,-999,-999,8130995.5,654502,166406.1,35225320,4296851.5,880593.8,0.98,0.79,0.79,0.94,6.28
278.5,11643.1,24.71,20.03,1104355.9,1859544.8,-999,-999,10258437,816297.3,226743.8,41940108,5509084.5,1346662,0.98,0.79,0.79,0.92,6.35
283.5,12020.8,25.08,20.25,604956.5,805919.8,-999,-999,4891113,433259,129415.8,19443548,2851733.3,735638.6,0.98,0.79,0.79,0.87,6.47
290.5,12235.2,25.31,20.39,1846101.3,2479259.8,-999,-999,14797607,1429589.4,463869.7,59933152,8998196,2409789.7,0.98,0.79,0.79,0.86,6.51
292.5,12377.4,24.89,20.13,1425763,1765140.4,-999,-999,10513516,1006772.4,280237.7,40701424,6058428,1525862.3,0.97,0.78,0.78,0.86,6.5
295.5,12602,24.28,19.76,1092449.9,1461374.5,-999,-999,8383502.5,804840.7,214510.5,30814212,4490359,1121673.4,0.97,0.77,0.77,0.87,6.48
297.5,12978.4,23.13,19.04,1991892.6,3237563,-999,-999,18366324,1690683.9,393731.3,58547488,8855009,2150251.5,0.98,0.75,0.75,0.86,6.49
300.5,13201.8,23.06,19,1229469.2,1922509.6,-999,-999,10592372,1007504.3,256610.7,33206544,5193939.5,1219429.1,0.97,0.74,0.74,0.85,6.53
303.5,13424.1,22.7,18.76,1473232.5,2313781,-999,-999,12437140,1295388.4,304378.2,35383364,6308313,1470385.5,0.97,0.73,0.73,0.8,6.66
306.5,13648.7,22.26,18.5,986454.9,1704781,-999,-999,8951515,963814.4,240946.4,24448278,4381216,1090195.2,0.97,0.72,0.72,0.8,6.67
311.5,14024.8,15.98,14.59,201959,2072883.1,-999,-999,7273634,1051691.9,185574.7,11086789,2550417.7,616198.8,0.99,0.57,0.57,0.71,6.9
313.5,14231,16.88,15.15,385868.3,2500076,-999,-999,8988785,1225832.6,232885.4,14996421,3295118.3,737703.6,0.99,0.6,0.6,0.72,6.86
315.5,14388,16.46,14.89,410109.5,2573833.5,-999,-999,9688515,1303043.4,227159.7,15466691,3413451.2,730367.9,0.99,0.59,0.59,0.73,6.85
318.5,14608.7,16.28,14.78,204629,1487377.4,-999,-999,5570903,738697.4,124076.9,8821850,1931725.3,388539.5,0.99,0.58,0.58,0.73,6.84
320.5,14761.1,17.8,15.72,485527.8,2827390,-999,-999,10963236,1502293,275700.2,19628862,4220216.5,927250.8,0.99,0.61,0.61,0.73,6.85
323.5,14996.2,17.47,15.52,470575.3,2842598.2,-999,-999,11242291,1604821.5,271161.7,19444382,4246718.5,863536.1,0.99,0.61,0.61,0.72,6.87
328.5,15357.8,18.47,16.14,1150986,2284535.2,-999,-999,9774074,1139602,255312.4,18192930,3878606.2,932770.2,0.96,0.63,0.63,0.75,6.8
330.5,15504,18.26,16.01,1313923.6,2431363.5,-999,-999,10615966,1248073.8,298023.8,19715750,4031990,1014012.9,0.96,0.63,0.63,0.76,6.77
332.5,15658.9,18.4,16.09,763699.4,1754859.9,-999,-999,7376055.5,862640.9,222352.1,13552650,2953868.5,757680.5,0.97,0.63,0.63,0.74,6.82
335.5,15885.9,17.59,15.6,872104.9,1955989.1,-999,-999,8595949,974354.6,212082.7,14978778,3090476,812494.1,0.97,0.62,0.62,0.76,6.75
343.5,16457.5,19.5,16.77,1085969.1,1914864.7,-999,-999,7740776.5,1027183.4,243574.3,14418302,3691696.7,1110938.2,0.96,0.64,0.64,0.67,7
346.5,16674,21.61,18.07,2139465.2,2861086.8,-999,-999,11532364,1790080.4,442823.7,25073238,6734379,2345852.7,0.95,0.67,0.67,0.63,7.1
351.5,17037,18.09,15.89,827365.5,1624585.9,-999,-999,6199046.5,905011.8,169725.7,10463424,2685514,675526.1,0.96,0.61,0.61,0.67,7.01
354.5,17250.5,21.08,17.73,1936892,2894357,-999,-999,12004101,1924861,498673.3,21644194,7449433.5,2695753,0.95,0.65,0.65,0.56,7.3
357.5,17442.2,21.63,18.07,1045708.7,1329869,-999,-999,5217419.5,810148.4,238212.9,10193770,3356163.8,1248581.1,0.94,0.66,0.66,0.57,7.27
360.5,17634.1,19.8,16.95,3447004.8,4441269.5,-999,-999,19088500,2364248.5,684675.7,35069492,9439356,3079566.3,0.94,0.64,0.64,0.66,7.02
365.5,18001.9,14.95,13.95,483969.8,2298743.5,-999,-999,8055955,1056464.4,240881.9,10744799,2764367,758610.1,0.98,0.55,0.55,0.69,6.94
368.5,18201.7,18.37,16.07,773151.4,1648254.3,-999,-999,6154880.5,752329,195546.7,10249498,2806913.8,836881.1,0.96,0.61,0.61,0.66,7.02
371.5,18399.6,17.12,15.29,1024928.3,1699171.6,-999,-999,6013443.5,765647.8,184347.2,9239651,2494774.8,718292.7,0.94,0.59,0.59,0.67,7
