depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
3,177,9,8.7,12.9,Y
11,671,9.2,6.8,9.4,Y
23,927,10.6,7.1,10.8,Y
31,1097,10.6,7.6,10.8,Y
39,1268,9.2,6.9,9.3,Y
49,1481,10.8,7.2,11,Y
59,1695,12.1,11.3,12.7,Y
71,1951,11.4,10.8,11.7,Y
79,2121,9.5,7.3,9.6,Y
91,2377,10,8,10.1,Y
103,2678,10.1,9.8,12.7,Y
111,2939,10.6,10,12.1,Y
119,3200,11.3,10.4,12.8,Y
131,3591,10.3,7.3,10.5,Y
139,3852,9.6,7.7,10.3,Y
151,4243,10.5,6.9,10.7,Y
159,4503,9.5,6.8,9.7,Y
169,4829,10.1,6.8,10.3,Y
179,5155,10.4,6.8,10.7,Y
191,5546,10.8,6.8,11.2,Y
199,5807,9.4,7.1,10.2,Y
211,6047,11.7,11.1,12.8,Y
219,6188,12.2,10.6,12.7,Y
229,6363,11.9,11.3,12.1,Y
239,6539,10.5,9.2,13.8,Y
251,6749,11.4,8.1,11.8,Y
259,6889,11.1,8,11.2,Y
271,7100,11.2,7.8,11.3,Y
283,7310,11.9,10.2,12.5,Y
291,7451,11.6,9.5,12.2,Y
297,7556,12.1,11.9,13.9,Y
309,7789,12.4,12.2,13.6,Y
319,7986,10.9,8.3,11.5,Y
331,8223,12.5,12.2,13.4,Y
339,8381,12,11.3,13.5,Y
351,8618,12.2,7,12.3,Y
361,8816,11.8,11.4,13.3,Y
371,9013,12.4,12.2,12.7,Y
383,9250,12.2,11.5,12.4,Y
393,9448,12.4,11.6,13,Y
403,9599,12.5,12.1,12.7,Y
411,9666,12.1,11.5,12.3,Y
423,9766,12.3,12.2,12.6,Y
431,9832,12.6,12.2,12.9,Y
439,9899,12.3,11.7,12.5,Y
449,9982,12.4,11.9,12.6,Y
459,10065,12.5,11.9,12.6,Y
465,10115,12.2,11.9,13.3,Y
471,10165,12.3,12,12.5,Y
483,10265,12.7,12.3,13.2,Y
495,10365,12.7,12.1,13.8,Y
503,10417,10.3,7.3,11.1,Y
511,10423,10.2,9.9,13.6,Y
521,10431,12.4,12.3,13.8,Y
529,10438,12,11.9,13.6,Y
541,10447,12.4,12,12.6,Y
551,10455,12.6,12.5,13.9,Y
561,10464,12.5,12.4,13.8,Y
569,10470,12.2,12,12.5,Y
581,10480,11.8,11.6,13.8,Y
591,10488,12.3,12.2,13.8,Y
601,10496,11.9,11.8,13.1,Y
613,10506,8.7,7.9,8.9,Y
621,10512,11.4,11.2,12.4,Y
631,10520,12.1,11.1,12.6,Y
641,10528,12.5,12.2,13.5,Y
