year (AD),age (BP),dD (permil),d13C (permil)
1881.184,68.816,-19.464,-28.4
1732.834,217.166,-19.605,-30.12
1589.96,360.04,-12.654,-31
1545.29,404.71,-15.056,-28.9
1461.886,488.114,-13.752,-29.94
1344.959,605.041,-13.014,-28.52
1264.119,685.881,-16.109,-27.59
1143.6,806.4,-14.754,-27.98
908.265,1041.735,-20.109,-29.4
727.208,1222.792,-23.344,-31.35
690.142,1259.858,-12.321,-27.64
583.7,1366.3,-21.633,-26.98
555.91,1394.09,-23.382,-28.95
506.18,1443.82,-14.71,-27.55
474.88,1475.12,-12.731,-27.23
287.172,1662.828,-17.599,-29.59
86.467,1863.533,-20.593,-30.36
-110.414,2060.414,-27.154,-27.67
-158.924,2108.924,-29.391,-29.31
-207.103,2157.103,-21.831,-27.59
-371.706,2321.706,-26.769,-28.76
-640.14,2590.14,-33.007,-27.12
-656.908,2606.908,-28.693,-27.53
-972.232,2922.232,-30.518,-28.49
-1172.7,3122.7,-30.421,-26.08
-1435.05,3385.05,-34.045,-28.28
-1559.501,3509.501,-38.32,-29.62
-1786.5,3736.5,-35.511,-28.4
-2046.8,3996.8,-37.382,-28.3
-2057.85,4007.85,-36.169,-29.89
-2328.45,4278.45,-40.225,-30.71
-2599.75,4549.75,-40.048,-31.73
-2838.584,4788.584,-40.655,-30.94
-2905.78,4855.78,-38.444,-31.27
-2997.8,4947.8,-38.061,-31.98
-3265.3,5215.3,-38.822,-31.58
-3459.612,5409.612,-33.401,-31.99
-3618.4,5568.4,-29.599,-29.81
-3765,5715,-28.281,-25.03
-3911.6,5861.6,-21.266,-24.27
-4087.5,6037.5,-26.202,-26.48
-4322,6272,-30.211,-27.93
-4544.78,6494.78,-33.323,-26.32
-4883,6833,-26.599,-27.32
-4961.389,6911.389,-28.457,-28.83
-5017.68,6967.68,-26.126,-24.9
-5181.9,7131.9,-36.793,-28.84
-5365.404,7315.404,-31.919,-29.91
-5599.604,7549.604,-38.642,-27.57
-5853.148,7803.148,-26.534,-25.18
-6012.3,7962.3,-33.366,-28.72
-6227.564,8177.564,-30.312,-29.32
-6382.1,8332.1,-31.986,-27.93
-6506.5,8456.5,-39.609,-29.1
-6652.25,8602.25,-23.341,-26.29
-6736.848,8686.848,-39.099,-25.89
-6756.4,8706.4,-36.532,-25.8
-6943.9,8893.9,-32.196,-28.3
-7131.4,9081.4,-43.347,-27.68
-7409.291,9359.291,-38.736,-27.83
-7763.978,9713.978,-44.39,-28.38
-7886.6,9836.6,-41.135,-26.64
-8144.45,10094.45,-38.61,-26.91
-8402.3,10352.3,-34.643,-25.49
-8601.775,10551.775,-43.897,-28.92
-8797.3,10747.3,-34.998,-27.4
-9024.425,10974.425,-29.441,-27.87
-9054.05,11004.05,-37.544,-26.93
-9172.5,11122.5,-30.832,-25.48
-9368.1,11318.1,-27.942,-27.77
-9544,11494,-23.529,-25.03
-9622.331,11572.331,-21.628,-24.99
-9719.9,11669.9,-20.326,-22.84
-10008.565,11958.565,-21.028,-21.76
-10251.306,12201.306,-23.434,-22.38
-10772.277,12722.277,-24.409,-21.59
-10819.122,12769.122,-21.026,-20.88
-11056.185,13006.185,-23.673,-23.15
-11386.937,13336.937,-34.416,-24.49
-11482.046,13432.046,-32.566,-26.23
-11632.507,13582.507,-27.212,-24.92
-11741.896,13691.896,-30.83,-26.21
-11878.791,13828.791,-31.427,-25.3
-12064.506,14014.506,-25.412,-23.98
-12136.83,14086.83,-29.377,-24
-12423.728,14373.728,-28.573,-24.95
-12451.315,14401.315,-29.608,-24.82
-12621.175,14571.175,-32.901,-24.54
-12769.816,14719.816,-25.818,-23.43
-12854.768,14804.768,-23.588,-19.39
-12908.373,14858.373,-21.44,-19.02
-12912.338,14862.338,-23.429,-18.89
-12975.548,14925.548,-19.504,-18.24
-13054.111,15004.111,-22.507,-18.88
-13081.208,15031.208,-23.143,-18.32
-13090.872,15040.872,-20.699,-18.69
-13134.184,15084.184,-15.861,-18.3
-13138.956,15088.956,-18.458,-19.13
-13143.38,15093.38,-17.149,-18.78
-13209.002,15159.002,-14.406,-18.66
-13224.709,15174.709,-16.944,-19.12
-13312.224,15262.224,-13.479,-18.97
-13321.661,15271.661,-15.489,-18.92
-13435.899,15385.899,-17.094,-18.29
-13465.832,15415.832,-20.343,-18.87
-13488.218,15438.218,-17.759,-19.11
-13585.4,15535.4,-15.493,-18.5
-13662.581,15612.581,-14.52,-19.03
-13752.186,15702.186,-13.83,-19.05
-13813.64,15763.64,-12.405,-19.21
-13826.393,15776.393,-13.562,-19.16
-13841.868,15791.868,-12.326,-18.57
-13854.46,15804.46,-17.032,-20.4
-13916.438,15866.438,-18.271,-18.87
-13958.93,15908.93,-13.375,-19.09
-14106.661,16056.661,-14.896,-18.42
-14123.328,16073.328,-13.606,-18.65
-14272.363,16222.363,-13.701,-19.66
-14375.801,16325.801,-14.129,-19.41
-14464.587,16414.587,-13.929,-18.38
-14520.315,16470.315,-12.879,-18.78
-14582.941,16532.941,-14.174,-19.12
-14685.729,16635.729,-14.11,-19.54
-14754.085,16704.085,-12.97,-19.03
-14863.638,16813.638,-12.783,-18.92
-15123.205,17073.205,-10.71,-18.61
-15298.617,17248.617,-12.892,-18.79
-15476.85,17426.85,-12.258,-19.09
-15626.089,17576.089,-16.5,-20.24
-15654.101,17604.101,-18.73,-18.93
-15852.353,17802.353,-21.873,-19.61
-16072.501,18022.501,-22.146,-18.95
-16409.4,18359.4,-19.794,-19.33
-16572.2,18522.2,-22.773,-18.83
-16759.35,18709.35,-20.203,-17.98
-17107.3,19057.3,-21.173,-18.47
-17517.4,19467.4,-24.516,-18.61
-17920.744,19870.744,-23.147,-18.61
-18116.37,20066.37,-25.754,-18.88
-18143.8,20093.8,-23.464,-17.84
