year (AD),age (BP),temperature (degC),d18O (permil),d18Osw-sl-g.rubw (permil)
1890,60,29.21,-3.21,0.04
1600,350,29.24,-2.91,0.35
1310,640,29.14,-2.57,0.67
1020,930,29.08,NA,NA
730,1220,29.21,-2.9,0.35
450,1500,29.52,-3,0.31
160,1790,29.74,-3.13,0.23
-130,2080,30.2,-3.15,0.3
-420,2370,30.17,-3.2,0.25
-710,2660,29.45,-3.37,-0.08
-1000,2950,29.9,-3.23,0.16
-1290,3240,29.44,-3.07,0.22
-1580,3530,29.51,NA,NA
-1870,3820,29.79,NA,NA
-2160,4110,29.39,-3.3,-0.02
-2450,4400,29.41,-3.08,0.2
-2740,4690,28.93,-3.16,0.02
-3030,4980,28.74,-3.13,0.01
-3320,5270,29.36,-3.2,0.06
-3610,5560,29.27,-3.18,0.05
-3900,5850,28.94,-3.13,0.04
-4190,6140,28.84,-2.79,0.35
-4480,6430,29.14,-3.11,0.09
-4770,6720,29.11,NA,NA
-5060,7010,29.2,-3.21,-0.01
-5390,7340,29.36,-3.15,0.07
-5710,7660,29.6,-3.02,0.24
-6040,7990,29.95,-3.1,0.22
-7010,8960,28.86,-2.9,0.11
-7340,9290,28.9,-2.98,0.02
-7660,9610,29.19,-3.08,-0.06
-7710,9660,29.91,-2.82,0.35
-8070,10020,29.33,-2.85,0.16
-8420,10370,29.71,-2.8,0.25
-8770,10720,29.5,-2.77,0.2
-9120,11070,28.88,-2.69,0.1
-9480,11430,29.74,-2.65,0.27
-9830,11780,29.35,-2.64,0.16
-10070,12020,28.38,-2.42,0.15
-10320,12270,29.64,-2.06,0.74
-10560,12510,28.42,-2.19,0.33
-10800,12750,28.35,-2.29,0.18
-11050,13000,28.76,-2.2,0.33
-11290,13240,28.34,-2.36,0.05
-11530,13480,28.28,-2.65,-0.28
-11770,13720,28.95,-2.4,0.08
-12000,13950,28.84,-2.14,0.29
-12230,14180,29.44,-2.23,0.3
-12460,14410,29.11,-2.28,0.16
-12700,14650,29.03,-1.92,0.48
-12930,14880,29.07,-1.74,0.65
-13160,15110,28.41,-1.52,0.71
-13400,15350,28.34,-1.51,0.69
-13630,15580,28.76,-1.48,0.78
-13860,15810,29.46,-1.19,1.21
-14100,16050,29.25,-1.3,1.04
-14340,16290,27.28,-1.44,0.47
-14580,16530,27.87,-1.33,0.7
-14820,16770,NA,-1.41,NA
-15060,17010,27.31,-1.3,0.59
-15300,17250,28.64,-1.27,0.89
-15540,17490,27.4,-1.41,0.48
-15780,17730,26.94,-1.23,0.55
-16020,17970,26.5,NA,NA
-16260,18210,26.6,-1.35,0.35
-16530,18480,26.74,-1.08,0.63
-17300,19250,NA,-1.36,NA
-17570,19520,26.3,-1.83,-0.22
-17840,19790,26.58,-1.26,0.41
-18110,20060,NA,-1.3,NA
-18380,20330,26.62,-1.45,0.23
-18650,20600,26.29,-1.46,0.16
-18920,20870,27.2,NA,NA
-19190,21140,26.49,-1.33,0.33
-19460,21410,NA,-1.33,NA
-19720,21670,NA,-1.61,NA
-19970,21920,NA,-1.32,NA
-20220,22170,NA,-1.53,NA
-20480,22430,NA,-1.4,NA
-20730,22680,26.27,-1.4,0.23
-20980,22930,26.4,-1.33,0.34
-21240,23190,27.53,-1.38,0.53
-21490,23440,26.4,-1.46,0.22
-21740,23690,NA,-1.81,NA
-21990,23940,26.14,-1.39,0.25
-22220,24170,NA,-1.46,NA
-22440,24390,NA,-1.34,NA
-22670,24620,25.9,-1.35,0.25
-22890,24840,NA,-1.54,NA
-23120,25070,26.83,-1.38,0.44
-23340,25290,27.1,-1.42,0.47
-23570,25520,NA,-1.45,NA
-23790,25740,NA,-1.49,NA
-24020,25970,26.48,-1.39,0.39
-24250,26200,NA,-1.48,NA
-24380,26330,26.31,-1.35,0.41
-24510,26460,NA,-1.42,NA
-24650,26600,27.18,-1.32,0.64
-24780,26730,25.88,-1.63,0.06
-24920,26870,26.43,-1.49,0.31
-25050,27000,NA,-1.43,NA
-25190,27140,27.03,-1.59,0.35
-25320,27270,25.78,-1.8,-0.12
-25450,27400,26.71,-1.53,0.35
-25590,27540,NA,-1.71,NA
-25730,27680,26.57,-1.63,0.24
-25880,27830,27.04,-1.94,0.04
-26020,27970,27.98,-1.78,0.41
-26170,28120,27.28,-1.74,0.31
-26310,28260,27,-1.88,0.12
-26460,28410,26.87,-1.45,0.53
-26600,28550,26.67,-1.43,0.52
-26750,28700,NA,-1.73,NA
-26890,28840,26.34,-1.66,0.23
-27040,28990,26.84,-1.84,0.16
-27180,29130,26.75,-2.07,-0.08
-27370,29320,26.43,-2.26,-0.32
-27550,29500,26.66,-1.68,0.31
-27730,29680,26.8,-1.72,0.31
-27910,29860,26.77,-1.6,0.43
-28100,30050,NA,-1.6,NA
-28280,30230,26.93,-1.81,0.27
-28460,30410,26.63,-1.65,0.37
-28640,30590,27.07,-1.63,0.49
-28820,30770,27.16,-1.94,0.2
-29010,30960,27.4,-1.82,0.37
-29190,31140,26.82,-1.72,0.35
-29370,31320,27.05,-1.77,0.36
-29550,31500,27.41,-1.91,0.29
-29740,31690,26.95,-2.1,0.01
-29920,31870,27.28,-1.72,0.46
-30100,32050,26.53,-1.62,0.4
-30280,32230,26.84,-1.8,0.29
-30460,32410,26.8,-1.7,0.38
-30650,32600,27.65,-1.9,0.36
-30830,32780,27.31,-1.94,0.24
-31010,32960,26.75,-1.96,0.11
-31190,33140,27.03,-1.85,0.27
-31380,33330,26.62,-1.75,0.29
-31560,33510,26.23,-1.69,0.27
-31740,33690,26.84,-1.68,0.4
-31920,33870,27.06,-2.07,0.06
-32100,34050,27.3,-1.97,0.21
-32290,34240,27.45,-2.22,-0.01
-32470,34420,26.67,-1.98,0.07
-32650,34600,26.95,-1.78,0.32
-32830,34780,27.35,-1.89,0.29
-33020,34970,26.77,NA,NA
-33200,35150,26.95,-1.84,0.26
-33380,35330,26.82,-1.81,0.27
-33560,35510,26.75,NA,NA
-33740,35690,26.65,-2.03,0.02
-33930,35880,27.7,-2.11,0.15
-34110,36060,27.42,-1.9,0.31
