depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
97.5,Carbon-14,108799,80,4490,black muck,NA
152.5,Carbon-14,108800,90,6190,dark gray organic silt,NA
197.5,Carbon-14,108801,100,8300,black muck,NA
204.5,Carbon-14,108802,150,9420,light brown organic silt,NA
247.5,Carbon-14,108803,140,11570,light brown organic silt,NA
