depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],age (BP) [2-1],BSi (percent) [2-1],depth (cm) [3-1],age (BP) [3-1],temperature (degC) [3-1]
1,-52,26.467,-43,16.427,0.38,-56,0
2,-42,27.66,-42,25.724,0.88,-51,-0.247
3,-34,27.178,-28,16.36,1.88,-42,-0.231
4,-25,26.467,-16,22.063,2.38,-38,-0.123
5,-16,28.612,-7,19.607,3.25,-28,0.388
6,-6,25.541,47,22.441,5.25,-7,-0.818
7,12,25,208,23.566,0.5,0,-0.556
8,47,24.653,653,22.247,7.75,25,-1.121
9,111,21.875,1039,24.155,10.25,70,-1.458
10,208,21.855,1460,24.78,2.5,298.225,0.29
11,333,22.969,2090,24.499,5.5,656.095,0.449
12,483,25.422,2461,24.188,10.5,1252.55,0.326
13,653,22.871,2883,25.201,15.5,1848.99,0.565
14,840,22.146,3077,21.714,20.5,2445.45,0.304
15,1039,21.283,3266,19.155,25.5,2803.21,0.242
16,1247,23.131,3342,21.246,30.5,3001.82,1.45
17,1460,25.51,3409,18.991,35.5,3200.43,1.272
18,1674,29.021,3440,19.883,40.5,3399.04,1.24
19,1885,23.893,3494,16.011,45.5,3727.17,1.622
20,2090,23.337,3552,16.776,50.5,4055.34,2.334
21,2283,22.811,3677,12.426,55.5,4383.51,1.937
22,2461,23.314,3782,17.207,60.5,4711.68,1.96
23,2621,26.465,3962,19.015,65.5,4985.19,1.719
24,2761,25.092,4094,21.107,70.5,5287.52,2.863
25,2883,25.322,4302,21.119,75.5,5589.86,1.859
26,2988,23.933,4442,19.481,80.5,5892.19,2.542
27,3077,22.68,4648,19.288,85.5,6194.53,1.201
28,3152,24.229,4777,21.019,90.5,6496.86,1.507
29,3215,22.768,4959,16.944,95.5,6799.2,1.048
30,3266,23.004,5074,16.997,100.5,7101.53,0.627
31,3308,23.46,5241,16.838,NA,NA,NA
32,3342,24.512,5352,16.865,NA,NA,NA
33,3369,23.175,5520,15.722,NA,NA,NA
34,3391,22.921,5635,15.505,NA,NA,NA
35,3409,21.564,5812,11.056,NA,NA,NA
36,3425,22.64,5932,13.825,NA,NA,NA
37,3440,22.471,6117,7.245,NA,NA,NA
38,3455,20.928,6241,8.139,NA,NA,NA
39,3473,18.988,6431,10.403,NA,NA,NA
40,3494,17.444,6559,8.823,NA,NA,NA
41,3520,16.571,6752,3.574,NA,NA,NA
42,3552,17.233,6882,2.731,NA,NA,NA
43,3589,16.543,7076,0.988,NA,NA,NA
44,3631,16.855,NA,NA,NA,NA,NA
45,3677,17.664,NA,NA,NA,NA,NA
46,3728,20.343,NA,NA,NA,NA,NA
47,3782,21.473,NA,NA,NA,NA,NA
48,3839,22.543,NA,NA,NA,NA,NA
49,3899,21.402,NA,NA,NA,NA,NA
50,3962,22.248,NA,NA,NA,NA,NA
51,4027,23.988,NA,NA,NA,NA,NA
52,4094,25.18,NA,NA,NA,NA,NA
53,4162,28.547,NA,NA,NA,NA,NA
54,4232,31.756,NA,NA,NA,NA,NA
55,4302,28.989,NA,NA,NA,NA,NA
56,4372,34.352,NA,NA,NA,NA,NA
57,4442,29.887,NA,NA,NA,NA,NA
58,4511,29.362,NA,NA,NA,NA,NA
59,4580,33.031,NA,NA,NA,NA,NA
60,4648,30.761,NA,NA,NA,NA,NA
61,4714,35.361,NA,NA,NA,NA,NA
62,4777,32.776,NA,NA,NA,NA,NA
63,4840,35.398,NA,NA,NA,NA,NA
64,4900,34.42,NA,NA,NA,NA,NA
65,4959,34.294,NA,NA,NA,NA,NA
66,5017,30.748,NA,NA,NA,NA,NA
67,5074,32.353,NA,NA,NA,NA,NA
68,5130,36.058,NA,NA,NA,NA,NA
69,5186,30.674,NA,NA,NA,NA,NA
70,5241,39.205,NA,NA,NA,NA,NA
71,5297,31.176,NA,NA,NA,NA,NA
72,5352,31.37,NA,NA,NA,NA,NA
73,5407,30.123,NA,NA,NA,NA,NA
74,5463,31.317,NA,NA,NA,NA,NA
75,5520,28.605,NA,NA,NA,NA,NA
76,5577,24.634,NA,NA,NA,NA,NA
77,5635,19.816,NA,NA,NA,NA,NA
78,5693,28.252,NA,NA,NA,NA,NA
79,5752,30.872,NA,NA,NA,NA,NA
80,5812,29.58,NA,NA,NA,NA,NA
81,5872,27.241,NA,NA,NA,NA,NA
82,5932,31.996,NA,NA,NA,NA,NA
83,5993,29.826,NA,NA,NA,NA,NA
84,6055,19.361,NA,NA,NA,NA,NA
85,6117,21.39,NA,NA,NA,NA,NA
86,6179,34.543,NA,NA,NA,NA,NA
87,6241,31.025,NA,NA,NA,NA,NA
88,6304,25.534,NA,NA,NA,NA,NA
89,6368,23.09,NA,NA,NA,NA,NA
90,6431,17.603,NA,NA,NA,NA,NA
91,6495,23.268,NA,NA,NA,NA,NA
92,6559,23.569,NA,NA,NA,NA,NA
93,6623,21.048,NA,NA,NA,NA,NA
94,6688,23.619,NA,NA,NA,NA,NA
95,6752,19.355,NA,NA,NA,NA,NA
96,6817,20.181,NA,NA,NA,NA,NA
97,6882,21.77,NA,NA,NA,NA,NA
98,6946,21.507,NA,NA,NA,NA,NA
99,7011,18.411,NA,NA,NA,NA,NA
100,7076,19.018,NA,NA,NA,NA,NA
101,7141,18.295,NA,NA,NA,NA,NA
102,7206,17.756,NA,NA,NA,NA,NA
103,7271,13.4,NA,NA,NA,NA,NA
