year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1947.4,2.6,12.673,29.1,5.21,40.353
1931.4,18.6,88.976,28.66,5.01,82.033
1908.6,41.4,165,29.29,5.3,78.601
1905.6,44.4,168.919,28.59,4.98,80.506
1896.5,53.5,180.677,27.94,4.7,85.618
1890.3,59.7,188.518,28.15,4.79,88.556
1884,66,196.359,28.6,4.98,91.15
1880.8,69.2,200.28,29.31,5.31,92.326
1871.1,78.9,212.044,29.26,5.29,95.402
1861.1,88.9,223.808,28.9,5.12,97.841
1857.8,92.2,227.73,28.32,4.86,98.521
1847.5,102.5,239.496,28.87,5.11,100.178
1833.4,116.6,255.185,30.17,5.74,101.531
1822.6,127.4,266.953,28.56,4.97,101.925
1815.3,134.7,274.799,27.85,4.66,101.898
1788.7,161.3,302.266,29.47,5.39,99.997
1765,185,325.86,28.34,4.87,97.6
1744.5,205.5,345.95,29.51,5.41,100.89
1723.3,226.7,366.101,30.15,5.73,102.92
1710.3,239.7,378.205,28.46,4.92,103.426
1701.6,248.4,386.277,29.01,5.17,103.458
1688.2,261.8,398.391,28.06,4.75,103.043
1674.6,275.4,410.51,29.05,5.19,102.054
1665.4,284.6,418.593,28.56,4.97,101.066
1641.9,308.1,438.811,28.79,5.07,97.369
1632.4,317.6,446.903,29.03,5.18,95.361
1627.6,322.4,450.95,28.65,5.01,94.234
1617.9,332.1,459.047,28.68,5.02,91.72
1608.1,341.9,467.148,28.17,4.8,88.833
1593.2,356.8,479.31,28.74,5.05,83.717
1583.1,366.9,487.43,29.69,5.5,79.712
1536.6,413.4,518.902,30.04,5.67,81.204
1509.9,440.1,535.168,30.46,5.89,86.947
1493.6,456.4,544.956,30.11,5.71,89.651
1482.6,467.4,551.49,29.19,5.26,91.168
1471.5,478.5,558.03,30.14,5.73,92.468
1454.7,495.3,567.85,28.71,5.03,94.031
1426.1,523.9,584.244,28.22,4.82,95.654
1391,559,603.962,29.29,5.3,96.079
1330.6,619.4,636.991,29.39,5.35,93.451
1228.9,721.1,744.281,29.62,5.46,130.727
1202.5,747.5,775.518,29.75,5.53,139.735
1175.8,774.2,806.751,28.98,5.16,147.265
1148.6,801.4,837.983,29.78,5.54,153.516
1121.1,828.9,869.212,30.32,5.82,158.628
1100.2,849.8,892.633,30.5,5.91,161.776
1079.1,870.9,916.053,29.89,5.6,164.372
992.5,957.5,1009.725,28.56,4.97,169.627
962.9,987.1,1040.946,29.06,5.2,169.634
917.8,1032.2,1087.775,29.18,5.25,168.023
902.6,1047.4,1103.384,30.09,5.7,167.045
871.9,1078.1,1134.601,29.75,5.53,164.406
840.8,1109.2,1165.816,29.04,5.19,160.818
809.4,1140.6,1197.03,29.71,5.51,156.215
777.5,1172.5,1228.241,29.25,5.29,150.508
721,1229,1282.854,29.49,5.4,137.45
712.8,1237.2,1290.655,30.12,5.72,135.218
679.9,1270.1,1321.855,29.71,5.51,125.199
646.6,1303.4,1353.045,29.31,5.31,113.152
613,1337,1391.188,29.52,5.42,110.829
570.4,1379.6,1465.179,28.51,4.94,145.18
536,1414,1524.378,27.96,4.71,166.801
509.9,1440.1,1568.778,29.34,5.33,180.764
457.2,1492.8,1657.579,28.91,5.13,204.524
403.6,1546.4,1746.382,28.4,4.9,224.13
349.3,1600.7,1835.187,28.38,4.89,240.583
331,1619,1864.788,28.58,4.98,245.477
312.6,1637.4,1894.39,28.83,5.09,250.106
257,1693,1983.195,28.49,4.94,262.535
191.1,1758.9,2086.803,28.67,5.02,274.569
162.5,1787.5,2131.206,28.1,4.77,278.995
85.4,1864.6,2249.615,28.64,5,288.842
46.3,1903.7,2308.82,28.77,5.06,292.766
-32.9,1982.9,2427.231,29.22,5.27,298.745
-113.5,2063.5,2545.642,29.21,5.27,302.347
-133.8,2083.8,2575.245,28.92,5.13,302.887
-195.4,2145.4,2664.054,28.01,4.73,303.656
-236.8,2186.8,2723.26,28.83,5.09,303.463
-278.6,2228.6,2782.467,28.89,5.12,302.703
-320.8,2270.8,2841.673,29.57,5.44,301.374
-363.2,2313.2,2900.88,28.42,4.9,299.467
-406,2356,2960.087,28.26,4.83,296.971
-470.8,2420.8,3048.898,30.09,5.7,292.091
-492.6,2442.6,3078.501,29.36,5.34,290.152
-536.3,2486.3,3137.709,27.95,4.7,285.785
-624.9,2574.9,3256.125,28.75,5.05,274.989
-669.6,2619.6,3315.334,29.22,5.27,268.479
-714.7,2664.7,3374.542,28.36,4.88,261.157
-748.7,2698.7,3418.949,28.83,5.09,255.092
-760.1,2710.1,3433.752,28.78,5.07,252.955
-805.8,2755.8,3492.961,28.31,4.86,243.788
-851.8,2801.8,3552.172,28.27,4.84,233.547
-875,2825,3581.777,29.91,5.61,227.982
-898.2,2848.2,3611.383,28.66,5.01,222.093
-944.8,2894.8,3670.595,29.98,5.65,209.244
-1086.7,3036.7,3801.796,29.8,5.55,178.767
-1231.4,3181.4,3839.944,29.68,5.49,179.941
-1280.3,3230.3,3852.652,29.47,5.39,180.523
-1341.8,3291.8,3868.535,29.58,5.44,181.356
-1378.9,3328.9,3878.064,29.69,5.5,181.909
-1478.7,3428.7,3903.47,29.65,5.48,183.56
-1554.4,3504.4,3922.521,28.76,5.06,184.956
-1669.2,3619.2,3951.094,29.41,5.36,187.279
-1785.5,3735.5,3979.662,29.18,5.25,189.851
-1863.9,3813.9,3998.705,29.27,5.29,191.689
-1916.5,3866.5,4011.398,29.53,5.42,192.965
-1969.4,3919.4,4024.091,29.54,5.42,194.276
-2022.6,3972.6,4036.781,29.61,5.46,195.621
-2076.1,4026.1,4049.471,28.85,5.1,196.994
-2116.4,4066.4,4058.986,28.82,5.08,198.04
-2238.3,4188.3,4087.52,29.12,5.23,201.216
-2347.8,4297.8,4137.629,30.23,5.77,211.375
-2403.1,4353.1,4199.94,28.7,5.03,226.604
-2458.5,4408.5,4262.258,28.92,5.13,240.269
-2570.4,4520.4,4386.903,28.98,5.16,263.834
-2626.7,4576.7,4449.228,28.99,5.16,274.055
-2683.3,4633.3,4511.554,28.84,5.09,283.388
-2797.4,4747.4,4636.208,30.09,5.7,299.718
-2912.5,4862.5,4760.865,29.22,5.27,313.327
-3028.8,4978.8,4885.523,29.94,5.62,324.559
-3087.3,5037.3,4947.853,30.42,5.87,329.361
-3146.1,5096.1,5010.184,30.2,5.76,333.654
-3264.5,5214.5,5134.845,30.36,5.84,340.784
-3444.1,5394.1,5321.84,28.63,5,348.051
-3504.5,5454.5,5384.172,29.44,5.38,349.599
-3565.1,5515.1,5446.504,29.25,5.28,350.722
-3687.2,5637.2,5571.169,28.52,4.95,351.704
-3748.6,5698.6,5633.503,30.24,5.78,351.568
-3779.4,5729.4,5664.669,29.08,5.2,351.343
-3841.2,5791.2,5727.003,29.74,5.53,350.579
-3934.4,5884.4,5820.503,29.26,5.29,348.64
-3965.6,5915.6,5851.67,29.56,5.44,347.781
-4028.2,5978.2,5914.004,29.99,5.65,345.737
-4091,6041,5976.339,28.93,5.13,343.254
-4154.1,6104.1,6038.673,30.31,5.81,340.322
-4217.4,6167.4,6101.008,29.18,5.25,336.929
-4249.1,6199.1,6132.176,29.78,5.55,335.056
-4280.9,6230.9,6163.343,28.88,5.11,333.062
-4328.8,6278.8,6210.095,29.4,5.36,329.841
-4344.8,6294.8,6225.679,29.4,5.36,328.705
-4376.7,6326.7,6256.847,29.84,5.57,326.336
-4408.8,6358.8,6288.014,29.74,5.52,323.837
-4440.9,6390.9,6319.182,29.39,5.35,321.204
-4473.1,6423.1,6350.35,28.81,5.08,318.435
-4505.4,6455.4,6381.519,29.59,5.45,315.525
-4537.7,6487.7,6412.687,29.67,5.49,312.472
-4570,6520,6443.855,29.03,5.18,309.27
-4602.4,6552.4,6475.023,29.49,5.4,305.915
-4732.7,6682.7,6599.698,29.81,5.56,290.859
-4831.1,6781.1,6693.204,29.59,5.45,277.658
-4864,6814,6724.373,29.47,5.39,272.849
-4896.9,6846.9,6755.543,29.41,5.36,267.818
-4930,6880,6786.712,30.02,5.66,262.552
-4963,6913,6817.882,28.93,5.13,257.037
-4996.2,6946.2,6849.051,29.54,5.43,251.257
-5029.4,6979.4,6880.221,29.07,5.2,245.193
-5062.6,7012.6,6911.391,30.1,5.71,238.824
-5095.9,7045.9,6942.561,29.31,5.31,232.124
-5129.3,7079.3,6973.731,29.63,5.47,225.065
-5146,7096,6989.317,30.41,5.87,221.39
-5162.7,7112.7,7004.902,30.22,5.77,217.612
-5196.2,7146.2,7036.073,30.22,5.77,209.723
-5229.8,7179.8,7067.244,29.38,5.35,201.348
-5263.4,7213.4,7098.415,28.84,5.09,192.423
-5297,7247,7129.587,29.29,5.3,182.87
-5330.7,7280.7,7160.759,29.51,5.41,172.585
-5364.5,7314.5,7191.931,29.84,5.57,161.43
-5398.3,7348.3,7223.104,29.52,5.42,149.213
-5432.2,7382.2,7254.278,29.83,5.57,135.652
-5466.2,7416.2,7285.453,29.69,5.5,120.302
-5534.2,7484.2,7347.81,30.08,5.7,80.246
-5568.3,7518.3,7379.009,29.1,5.21,49.506
-5671,7621,7429.115,29.57,5.44,87.166
-5739.7,7689.7,7462.424,29.72,5.51,101.131
-5808.7,7758.7,7495.714,30.12,5.72,110.212
-5947.2,7897.2,7562.257,29.15,5.24,117.555
-5999.4,7949.4,7587.2,30.24,5.78,117.023
-6016.8,7966.8,7595.513,29.96,5.63,116.452
-6086.6,8036.6,7628.758,29.5,5.4,112.106
-6156.6,8106.6,7661.989,28.46,4.92,104.083
-6226.9,8176.9,7695.203,29.49,5.4,91.383
-6332.7,8282.7,7744.88,29.16,5.24,56.07
-6403.4,8353.4,7840.301,29.95,5.63,124.967
-6438.9,8388.9,7888.015,29.97,5.64,146.471
-6474.4,8424.4,7935.729,29.5,5.41,164.458
-6545.6,8495.6,8031.158,29.99,5.65,193.658
-6617,8567,8126.587,29.61,5.46,216.781
-6760.5,8710.5,8317.447,29.58,5.45,251.163
-6886.6,8836.6,8484.451,29.18,5.25,272.031
-6977.1,8927.1,8603.74,29.54,5.43,282.833
-7031.6,8981.6,8675.313,29.59,5.45,287.869
-7122.6,9072.6,8794.602,29.03,5.18,294.032
-7159.1,9109.1,8842.318,30.17,5.74,295.75
-7195.6,9145.6,8890.034,28.54,4.96,297.053
-7268.8,9218.8,8985.466,29.26,5.29,298.433
-7342.3,9292.3,9080.898,29.66,5.48,298.196
-7415.9,9365.9,9176.33,29.39,5.35,296.337
-7489.7,9439.7,9271.762,29.78,5.54,292.824
-7563.7,9513.7,9367.194,30.11,5.71,287.596
-7637.9,9587.9,9462.627,29.74,5.53,280.555
-7712.3,9662.3,9558.059,30.5,5.91,271.559
-7805.5,9755.5,9677.351,28.93,5.14,257.246
-7861.6,9811.6,9748.926,30.23,5.77,246.794
-7936.6,9886.6,9844.359,29.58,5.45,230.291
-8011.7,9961.7,9939.793,29.52,5.42,210.206
-8087,10037,10035.227,30.1,5.71,185.365
-8163,10113,10130.663,30.18,5.75,153.44
-8238,10188,10226.1,30.47,5.9,108.177
-8276,10226,10273.823,29.83,5.57,72.514
-8314,10264,10315.863,29.87,5.59,103.42
-8390,10340,10400.019,29.87,5.59,142.885
-8428,10378,10442.103,29.4,5.36,157.48
-8466,10416,10484.19,30.89,6.12,169.918
-8543,10493,10568.369,29.81,5.56,189.972
-8619,10569,10652.553,30.04,5.68,205.124
-8735,10685,10778.836,30.02,5.66,220.805
-8754,10704,10799.884,29.47,5.39,222.711
-8850,10800,10905.126,29.86,5.58,229.515
-8889,10839,10947.224,28.85,5.1,231.025
-8927,10877,10989.323,30.08,5.7,231.865
-8966,10916,11031.423,29.47,5.39,232.044
-9005,10955,11073.523,30.15,5.73,231.563
-9044,10994,11115.624,29.2,5.26,230.416
-9083,11033,11157.727,29.99,5.65,228.595
-9121,11071,11199.83,29.45,5.38,226.082
-9160,11110,11241.934,29.19,5.26,222.852
-9199,11149,11284.04,29.09,5.21,218.873
-9238,11188,11326.147,29.51,5.41,214.102
