depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],depth (cm) [3-1],age (BP) [3-1],temperature (degC) [3-1],precipitation (mm) [3-1]
1,0,11.02,1,0,11.117,0,-45,11.038,503.694
3,91.528,10.901,3,91.528,10.967,1,25,10.642,434.412
5,200.822,10.995,5,200.822,11.473,2,95,10.337,347.547
7,309.552,10.931,7,309.552,10.875,3,165,10.462,819.268
9,417.467,10.689,9,417.467,11.256,4,236,10.428,556.672
11,524.314,10.514,11,524.314,11.105,5,306,10.538,506.588
13,629.841,10.656,13,629.841,11.271,6,376,10.849,565.203
15,733.796,10.675,15,733.796,11.14,7,447,10.299,611.416
17,835.926,10.981,17,835.926,11.984,8,517,10.5,422.668
19,935.979,10.741,19,935.979,11.202,9,587,10.616,447.39
21,1033.705,10.781,21,1033.705,11.146,10,658,11.239,570.8
23,1128.942,10.764,23,1128.942,11.046,11,725,10.723,586.007
25,1221.709,11.159,25,1221.709,11.453,12,792,11.238,339.428
27,1312.041,11.044,27,1312.041,11.675,13,859,11.134,225.726
29,1399.978,11.029,29,1399.978,11.357,14,926,11.33,348.396
31,1485.557,10.986,31,1485.557,10.946,15,993,10.518,473.756
33,1568.814,11.17,33,1568.814,11.225,16,1060,11.485,439.147
35,1649.788,11.047,35,1649.788,11.067,17,1127,11.505,406.158
37,1728.516,10.862,37,1728.516,10.923,18,1194,11.583,338.45
39,1805.035,10.976,39,1805.035,11.42,19,1261,11.186,314.538
41,1879.384,10.96,41,1879.384,11.319,20,1328,11.325,462.349
43,1951.62,10.869,43,1951.62,10.844,21,1395,10.985,355.864
45,2021.841,10.912,45,2021.841,11.986,22,1462,10.738,419.452
47,2090.149,11.153,47,2090.149,10.685,23,1529,11.493,744.63
49,2156.648,10.937,49,2156.648,10.615,24,1596,11.55,340.922
51,2221.438,11.005,51,2221.438,10.616,25,1663,11.401,313.782
53,2284.624,11.185,53,2284.624,10.278,26,1730,11.468,241.55
55,2346.307,10.954,55,2346.307,10.067,27,1797,11.455,564.173
57,2406.589,10.905,57,2406.589,10.088,28,1864,11.073,402.871
59,2465.573,10.992,59,2465.573,10.782,29,1931,11.303,299.805
61,2523.361,10.919,61,2523.361,10.754,30,1998,11.326,509.793
63,2580.051,10.961,63,2580.051,10.686,31,2065,11.424,621.23
65,2635.73,11.138,65,2635.73,10.924,32,2132,11.582,467.328
67,2690.484,10.927,67,2690.484,10.446,33,2199,11.729,467.306
69,2744.4,11.062,69,2744.4,10.704,34,2266,11.295,197.179
71,2797.563,11.081,71,2797.563,10.232,35,2333,11.828,240.051
73,2850.059,10.715,73,2850.059,10.383,36,2400,11.338,391.936
75,2901.976,11.042,75,2901.976,10.41,37,2467,11.457,377.605
77,2953.399,10.591,77,2953.399,10.452,38,2534,11.057,512.324
79,3004.414,10.699,79,3004.414,10.3,39,2601,10.695,570.101
81,3055.107,10.714,81,3055.107,10.856,40,2668,11.54,553.412
83,3105.552,11.105,83,3105.552,10.828,41,2734,11.286,330.409
85,3155.795,10.628,85,3155.795,10.483,42,2800,11.386,700.991
87,3205.882,10.806,87,3205.882,11.255,43,2866,11.404,424.137
89,3255.856,10.879,89,3255.856,11.371,44,2932,11.87,362.464
91,3305.763,10.421,91,3305.763,10.96,45,2999,11.913,262.428
93,3355.645,10.657,93,3355.645,10.912,46,3065,11.614,503.012
95,3405.549,10.759,95,3405.549,10.988,47,3131,11.637,702.612
97,3455.518,11.009,97,3455.518,10.815,48,3197,11.479,346.641
99,3505.597,10.821,99,3505.597,10.783,49,3263,11.962,429.708
101,3555.829,10.898,101,3555.829,10.499,50,3330,11.98,156.298
103,3606.253,10.805,103,3606.253,10.458,51,3397,11.494,358.365
105,3656.888,10.853,105,3656.888,10.573,52,3465,11.615,375.401
107,3707.753,10.741,107,3707.753,10.412,53,3533,11.262,360.959
109,3758.867,10.831,109,3758.867,10.992,54,3601,11.992,310.475
111,3810.251,10.76,111,3810.251,10.5,55,3669,11.359,327.507
113,3861.922,10.693,113,3861.922,10.502,56,3737,11.243,289.131
115,3913.899,10.571,115,3913.899,10.29,57,3805,11.131,141.934
117,3966.203,10.819,117,3966.203,10.345,58,3873,11.073,428.816
119,4018.851,10.706,119,4018.851,10.029,59,3941,11.218,542.821
121,4071.863,10.863,121,4071.863,10.407,60,4009,11.562,646.059
123,4125.257,10.815,123,4125.257,9.921,61,4076,11.551,339.358
125,4179.046,10.465,125,4179.046,10.023,62,4143,11.581,382.176
127,4233.244,10.579,127,4233.244,9.79,63,4210,11.322,407.474
129,4287.865,10.837,129,4287.865,10.378,64,4277,11.297,293.716
131,4342.922,10.758,131,4342.922,10.286,65,4344,11.089,555.562
133,4398.43,10.795,133,4398.43,10.65,66,4411,11.314,889.209
135,4454.402,10.693,135,4454.402,10.321,67,4478,10.805,484.357
137,4510.852,11.094,137,4510.852,10.352,68,4545,11.462,495.615
139,4567.793,10.999,139,4567.793,10.531,69,4612,11.447,488.753
141,4625.239,10.818,141,4625.239,10.66,70,4679,11.604,432.664
143,4683.203,10.972,143,4683.203,10.177,71,4746,11.313,486.246
145,4741.699,10.741,145,4741.699,10.61,72,4813,11.385,479.361
147,4800.738,11.169,147,4800.738,10.684,73,4880,11.625,688.406
149,4860.332,10.928,149,4860.332,10.717,74,4947,11.228,574.696
151,4920.495,10.864,151,4920.495,11.335,75,5014,11.503,584.432
153,4981.238,11.006,153,4981.238,10.044,76,5081,11.878,443.293
155,5042.575,11.008,155,5042.575,10.357,77,5148,11.813,553.554
157,5104.517,10.899,157,5104.517,11.025,78,5215,11.392,465.759
159,5167.076,10.845,159,5167.076,11.012,79,5282,11.61,571.728
161,5230.266,11.153,161,5230.266,10.374,80,5349,10.938,495.742
163,5294.098,10.904,163,5294.098,10.603,81,5416,11.133,664.273
165,5358.582,11.28,165,5358.582,10.803,82,5483,11.526,553.597
167,5423.729,11.078,167,5423.729,11.323,83,5550,11.061,527.565
169,5489.55,11.005,169,5489.55,10.939,84,5617,11.147,356.23
171,5556.054,10.8,171,5556.054,10.92,85,5684,11.349,427.92
173,5623.253,10.884,173,5623.253,11.243,86,5751,12.053,587.299
175,5691.157,11.132,175,5691.157,11.088,87,5818,11.982,755
177,5759.776,10.858,177,5759.776,10.464,88,5885,11.738,606.026
179,5829.12,10.862,179,5829.12,10.468,89,5952,11.279,434.124
181,5899.2,11.016,181,5899.2,10.453,90,6019,11.827,576.803
183,5970.024,11.138,183,5970.024,11.287,91,6086,11.191,306.084
185,6041.595,11.436,185,6041.595,11.79,92,6153,11.461,392.846
187,6113.916,11.494,187,6113.916,11.179,93,6220,11.51,396.346
189,6186.989,11.096,189,6186.989,10.946,94,6287,11.635,292.241
191,6260.816,11.159,191,6260.816,10.91,95,6354,11.384,571.93
193,6335.4,11.051,193,6335.4,11.244,96,6421,11.59,477.312
195,6410.743,10.89,195,6410.743,11.383,97,6488,11.973,347.773
197,6486.849,10.956,197,6486.849,11.399,98,6555,11.65,310.782
199,6563.719,11.094,199,6563.719,10.543,99,6622,11.774,412.902
201,6641.357,10.847,201,6641.357,10.83,100,6689,11.37,615.945
203,6719.759,10.849,203,6719.759,10.793,101,6756,11.815,519.079
205,6798.916,11.295,205,6798.916,10.869,102,6823,11.88,526.298
207,6878.815,11.061,207,6878.815,11.266,103,6890,11.2,485.233
209,6959.446,10.764,209,6959.446,11.507,104,6957,11.583,688.008
211,7040.797,10.819,211,7040.797,11.342,105,7024,12.036,403.067
213,7122.857,11.034,213,7122.857,11.341,106,7091,12.075,603.457
215,7205.613,10.856,215,7205.613,11.329,107,7158,11.902,704.468
217,7289.054,10.659,217,7289.054,10.929,108,7225,12.287,733.077
219,7373.168,10.799,219,7373.168,11.912,109,7292,11.469,627.625
221,7457.945,11.041,221,7457.945,11.528,110,7359,12.136,626.165
223,7543.373,11.101,223,7543.373,11.875,111,7426,12.401,802.1
225,7629.439,10.909,225,7629.439,11.386,112,7493,12.549,743.074
227,7716.133,11.043,227,7716.133,11.559,113,7560,11.46,670.983
229,7803.442,10.715,229,7803.442,11.111,114,7627,11.453,575.347
231,7891.356,11.269,231,7891.356,11.711,115,7694,11.793,665.861
233,7979.86,10.897,233,7979.86,11.441,116,7761,12.045,696.205
235,8068.936,11.211,235,8068.936,11.665,117,7828,11.437,550.838
237,8158.565,11.342,237,8158.565,11.167,118,7895,11.514,689.581
239,8248.728,10.893,239,8248.728,12.134,119,7962,11.97,596.383
241,8339.406,10.863,241,8339.406,11.135,120,8029,12.27,809.798
243,8430.581,10.901,243,8430.581,11.205,121,8096,11.61,515.163
245,8522.232,10.895,245,8522.232,11.397,122,8163,11.733,721.533
247,8614.341,10.892,247,8614.341,11.45,123,8230,11.237,811.695
249,8706.89,10.845,249,8706.89,11.343,124,8297,10.886,782.521
251,8799.858,10.622,251,8799.858,11.694,125,8364,10.59,597.493
253,8893.229,10.812,253,8893.229,11.174,126,8431,11.544,632.666
255,8986.983,10.64,255,8986.983,11.554,127,8498,11.959,707.735
257,9081.104,10.975,257,9081.104,11.567,128,8565,11.314,574.892
259,9175.575,10.818,259,9175.575,11.158,129,8632,11.012,457.686
261,9270.377,10.944,261,9270.377,11.564,130,8699,11.252,693.482
263,9365.493,11.041,263,9365.493,11.265,131,8766,11.105,585.957
265,9460.906,10.878,265,9460.906,11.954,132,8833,11.141,876.299
267,9556.599,11.008,267,9556.599,11.695,133,8900,11.128,464.459
269,9652.553,11.014,269,9652.553,11.887,134,8967,10.754,727.402
271,9748.752,10.85,271,9748.752,11.539,NA,NA,NA,NA
273,9845.175,11.178,273,9845.175,10.881,NA,NA,NA,NA
275,9941.801,10.703,275,9941.801,12.44,NA,NA,NA,NA
277,10038.607,10.924,277,10038.607,11.529,NA,NA,NA,NA
279,10135.568,11.129,279,10135.568,12.024,NA,NA,NA,NA
281,10232.662,11.031,281,10232.662,11.378,NA,NA,NA,NA
283,10329.866,11.34,283,10329.866,11.04,NA,NA,NA,NA
285,10427.156,10.984,285,10427.156,10.5,NA,NA,NA,NA
287,10524.51,10.979,287,10524.51,11.445,NA,NA,NA,NA
289,10621.904,10.966,289,10621.904,11.926,NA,NA,NA,NA
291,10719.315,11.043,291,10719.315,12.266,NA,NA,NA,NA
