depth (cm),age (BP),temperature (degC),d18O (a°),Mg/Ca (mmol/mol)
0,0,10.997,1.66,2.385
2,62.5,11.078,1.955,2.404
4,125,10.299,1.55,2.224
6,187.5,10.682,1.609,2.311
8,250,9.98,1.63,2.154
10,312.5,11.409,1.684,2.485
12,375,10.536,1.71,2.277
14,437.5,10.167,1.618,2.195
16,500,11.091,1.67,2.407
18,562.5,11.576,1.622,2.527
20,625,NA,NA,NA
22,698.219,10.937,1.607,2.37
24,771.438,10.727,1.77,2.321
26,844.656,11.236,1.651,2.442
28,917.875,10.806,1.65,2.34
30,991.094,10.47,1.816,2.262
32,1064.312,10.947,1.64,2.373
34,1137.531,10.922,1.68,2.367
36,1210.75,10.932,1.57,2.369
38,1283.969,10.709,1.605,2.317
40,1357.188,10.83,1.7,2.345
42,1430.406,9.456,1.648,2.044
44,1503.625,10.929,1.65,2.368
46,1576.844,10.388,1.603,2.244
48,1650.062,10.778,1.54,2.333
50,1723.281,10.124,1.547,2.185
52,1796.5,10.873,1.62,2.355
54,1856.722,10.441,1.522,2.256
56,1916.944,10.487,1.46,2.266
58,1977.167,NA,1.476,NA
60,2037.389,9.716,1.61,2.098
62,2097.611,NA,NA,NA
64,2157.833,11.338,1.5,2.467
66,2218.056,10.134,1.635,2.187
68,2278.278,9.009,1.39,1.955
70,2338.5,10.593,1.59,2.29
72,2398.722,10.611,1.56,2.294
74,2458.944,8.941,1.424,1.941
76,2519.167,11.403,1.54,2.483
78,2579.389,10.927,1.449,2.368
80,2639.611,9.821,1.4,2.12
82,2699.833,10.458,1.582,2.259
84,2760.056,10.538,1.6,2.278
86,2820.278,9.305,1.537,2.013
88,2880.5,10.744,1.53,2.325
90,2997.214,10.421,1.621,2.251
92,3113.929,9.662,1.66,2.087
94,3230.643,10.629,1.616,2.298
96,3347.357,10.554,1.56,2.281
98,3464.071,8.669,1.57,1.889
100,3580.786,10.335,1.52,2.232
102,3697.5,9.555,1.565,2.064
104,3814.214,11.709,1.33,2.561
106,3930.929,9.979,1.469,2.154
108,4047.643,10.85,1.35,2.35
110,4164.357,9.989,1.313,2.156
112,4281.071,10.232,1.36,2.209
114,4397.786,9.444,1.578,2.042
116,4514.5,11.383,1.46,2.479
118,4658.357,NA,1.492,NA
120,4802.214,10.67,1.61,2.308
122,4946.071,NA,1.732,NA
124,5089.929,9.468,1.87,2.047
126,5233.786,9.824,1.924,2.121
128,5377.643,11.36,1.78,2.473
130,5521.5,9.443,1.426,2.041
132,5665.357,9.027,1.73,1.958
134,5809.214,9.715,NA,2.098
136,5953.071,11.076,1.91,2.403
138,6096.929,NA,1.69,NA
140,6240.786,10.246,1.76,2.212
142,6384.643,NA,1.493,NA
144,6528.5,8.7,NA,1.895
146,6623.656,9.622,1.595,2.078
148,6718.812,10.615,1.42,2.295
150,6813.969,10.136,1.467,2.188
152,6909.125,10.235,1.41,2.21
154,7004.281,9.331,1.609,2.019
