age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated (),note ()
-23,463,4630,4630,NA,NA,0,2,NA,1
NA,517.75,5175,5180,1280,60,5,1,1,NA
NA,569.75,5695,5700,1745,60,5,1,1,NA
NA,362.95,659,6600,2395,60,5941,1,1,NA
NA,749.75,7495,7500,3710,75,5,1,1,NA
NA,844.75,8445,8450,4505,90,5,1,1,NA
NA,933.75,9335,9340,6100,70,5,1,1,NA
NA,1023.75,10235,10240,8365,80,5,1,1,NA
NA,1048,10475,10485,10305,140,10,1,1,NA
