year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
1989,-39,0.249,0,0.231
1988.065,-38.065,0.252,0.55,0.252
1987.187,-37.187,0.211,1.1,0.21
1986.118,-36.118,0.235,1.65,0.235
1985.145,-35.145,0.222,2.2,0.222
1984.097,-34.097,0.26,2.75,0.26
1983.188,-33.188,0.242,3.3,0.242
1982.195,-32.195,0.229,3.85,0.229
1981.128,-31.128,0.247,4.4,0.247
1980.12,-30.12,0.232,4.95,0.231
1979.028,-29.028,0.244,5.5,0.244
1977.973,-27.973,0.244,6.05,0.243
1976.898,-26.898,0.242,6.6,0.242
1975.798,-25.798,0.229,7.15,0.228
1974.613,-24.613,0.191,7.7,0.191
1973.171,-23.171,0.226,8.25,0.226
1971.93,-21.93,0.188,8.8,0.187
1970.411,-20.411,0.246,9.35,0.246
1969.231,-19.231,0.254,9.9,0.253
1968.068,-18.068,0.205,10.45,0.205
1966.603,-16.603,0.257,11,0.257
1965.416,-15.416,0.228,11.55,0.228
1964.054,-14.054,0.249,12.1,0.248
1962.784,-12.784,0.238,12.65,0.238
1961.436,-11.436,0.203,13.2,0.203
1959.831,-9.831,0.238,13.75,0.238
1958.442,-8.442,0.204,14.3,0.204
1956.811,-6.811,0.222,14.85,0.221
1955.302,-5.302,0.243,15.4,0.242
1953.916,-3.916,0.227,15.95,0.226
1952.427,-2.427,0.227,16.5,0.226
1950.927,-0.927,0.229,17.05,0.228
1949.435,0.565,0.181,17.6,0.181
1947.542,2.458,0.228,18.15,0.227
1946.032,3.968,0.25,18.7,0.249
1944.646,5.354,0.257,19.25,0.255
1943.288,6.712,0.23,19.8,0.229
1941.767,8.233,0.25,20.35,0.249
1940.362,9.638,0.236,20.9,0.234
1938.861,11.139,0.253,21.45,0.252
1937.457,12.543,0.211,22,0.21
1935.765,14.235,0.24,22.55,0.239
1934.27,15.73,0.258,23.1,0.257
1932.873,17.127,0.242,23.65,0.241
1931.38,18.62,0.256,24.2,0.255
1929.962,20.038,0.227,24.75,0.226
1928.353,21.647,0.265,25.3,0.263
1926.966,23.034,0.232,25.85,0.23
1925.374,24.626,0.208,26.4,0.207
1923.595,26.405,0.233,26.95,0.231
1921.994,28.006,0.202,27.5,0.2
1920.138,29.862,0.23,28.05,0.228
1918.502,31.498,0.223,28.6,0.222
1916.812,33.188,0.259,29.15,0.257
1915.346,34.654,0.213,29.7,0.211
1913.554,36.446,0.212,30.25,0.211
1911.751,38.249,0.23,30.8,0.229
1910.082,39.918,0.253,31.35,0.251
1908.554,41.446,0.242,31.9,0.24
1906.951,43.049,0.183,32.45,0.181
1904.817,45.183,0.22,33,0.218
1903.036,46.964,0.235,33.55,0.233
1901.36,48.64,0.226,34.1,0.224
1899.616,50.384,0.233,34.65,0.231
1897.913,52.087,0.225,35.2,0.223
1896.143,53.857,0.238,35.75,0.236
1894.462,55.538,0.23,36.3,0.228
1892.718,57.282,0.233,36.85,0.231
1890.984,59.016,0.203,37.4,0.201
1888.99,61.01,0.236,37.95,0.233
1887.26,62.74,0.239,38.5,0.237
1885.55,64.45,0.235,39.05,0.232
1883.8,66.2,0.23,39.6,0.227
1882.01,67.99,0.216,40.15,0.214
1880.09,69.91,0.236,40.7,0.233
1878.33,71.67,0.236,41.25,0.234
1876.56,73.44,0.238,41.8,0.235
1874.8,75.2,0.235,42.35,0.232
1873.01,76.99,0.239,42.9,0.237
1871.25,78.75,0.246,43.45,0.243
1869.52,80.48,0.221,44,0.219
1867.6,82.4,0.209,44.55,0.206
1865.56,84.44,0.198,45.1,0.195
1863.39,86.61,0.234,45.65,0.231
1861.55,88.45,0.227,46.2,0.224
1859.65,90.35,0.243,46.75,0.24
1857.86,92.14,0.225,47.3,0.222
1855.93,94.07,0.218,47.85,0.215
1853.93,96.07,0.226,48.4,0.223
1851.99,98.01,0.251,48.95,0.248
1850.23,99.77,0.238,49.5,0.235
1848.38,101.62,0.224,50.05,0.221
1846.41,103.59,0.215,50.6,0.212
1844.34,105.66,0.232,51.15,0.228
1842.42,107.58,0.237,51.7,0.234
1840.53,109.47,0.248,52.25,0.245
1838.72,111.28,0.247,52.8,0.243
1836.9,113.1,0.165,53.35,0.163
1834.15,115.85,0.242,53.9,0.238
1832.28,117.72,0.228,54.45,0.224
1830.28,119.72,0.227,55,0.223
1828.26,121.74,0.246,55.55,0.242
1826.4,123.6,0.219,56.1,0.215
1824.3,125.7,0.223,56.65,0.219
1822.23,127.77,0.237,57.2,0.233
1820.28,129.72,0.239,57.75,0.235
1818.34,131.66,0.221,58.3,0.217
1816.23,133.77,0.239,58.85,0.235
1814.28,135.72,0.228,59.4,0.224
1812.22,137.78,0.236,59.95,0.232
1810.23,139.77,0.24,60.5,0.236
1808.27,141.73,0.24,61.05,0.236
1806.3,143.7,0.249,61.6,0.245
1804.4,145.6,0.241,62.15,0.237
1802.43,147.57,0.24,62.7,0.235
1800.45,149.55,0.22,63.25,0.216
1798.27,151.73,0.221,63.8,0.217
1796.11,153.89,0.247,64.35,0.242
1794.16,155.84,0.24,64.9,0.235
1792.16,157.84,0.24,65.45,0.236
1790.15,159.85,0.246,66,0.241
1788.18,161.82,0.258,66.55,0.253
1786.3,163.7,0.243,67.1,0.238
1784.29,165.71,0.231,67.65,0.226
1782.18,167.82,0.218,68.2,0.214
1779.93,170.07,0.212,68.75,0.207
1777.61,172.39,0.241,69.3,0.236
1775.58,174.42,0.229,69.85,0.224
1773.42,176.58,0.237,70.4,0.232
1771.34,178.66,0.235,70.95,0.23
1769.23,180.77,0.226,71.5,0.221
1767.04,182.96,0.247,72.05,0.242
1765.02,184.98,0.232,72.6,0.227
1762.87,187.13,0.232,73.15,0.227
1760.71,189.29,0.24,73.7,0.234
1758.62,191.38,0.218,74.25,0.213
1756.32,193.68,0.217,74.8,0.212
1753.99,196.01,0.219,75.35,0.214
1751.69,198.31,0.213,75.9,0.208
1749.32,200.68,0.225,76.45,0.22
1747.07,202.93,0.237,77,0.232
1744.93,205.07,0.239,77.55,0.233
1742.81,207.19,0.252,78.1,0.246
1740.79,209.21,0.227,78.65,0.221
1738.54,211.46,0.227,79.2,0.221
1736.28,213.72,0.229,79.75,0.223
1734.04,215.96,0.239,80.3,0.233
1731.89,218.11,0.261,80.85,0.255
1729.92,220.08,0.247,81.4,0.241
1727.84,222.16,0.25,81.95,0.244
1725.77,224.23,0.23,82.5,0.224
1723.52,226.48,0.192,83.05,0.187
1720.83,229.17,0.234,83.6,0.228
1718.61,231.39,0.233,84.15,0.227
1716.38,233.62,0.242,84.7,0.236
1714.23,235.77,0.227,85.25,0.221
1711.93,238.07,0.225,85.8,0.219
1709.62,240.38,0.23,86.35,0.224
1707.34,242.66,0.209,86.9,0.203
1704.83,245.17,0.257,87.45,0.249
1702.78,247.22,0.191,88,0.186
1700.03,249.97,0.202,88.55,0.196
1697.42,252.58,0.233,89.1,0.226
1695.15,254.85,0.222,89.65,0.216
1692.78,257.22,0.229,90.2,0.222
1690.46,259.54,0.208,90.75,0.202
1687.92,262.08,0.227,91.3,0.221
1685.59,264.41,0.246,91.85,0.239
1683.43,266.57,0.222,92.4,0.216
1681.03,268.97,0.231,92.95,0.225
1678.73,271.27,0.212,93.5,0.206
1676.22,273.78,0.212,94.05,0.206
1673.7,276.3,0.233,94.6,0.226
1671.4,278.6,0.219,95.15,0.213
1668.96,281.04,0.237,95.7,0.23
1666.7,283.3,0.235,96.25,0.228
1664.41,285.59,0.243,96.8,0.236
1662.2,287.8,0.22,97.35,0.213
