depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
29.5,Carbon-14,111255,110,470,peat,NA
50,Carbon-14,111256,90,1100,peat,NA
69.5,Carbon-14,111257,120,1150,peat,NA
95,Carbon-14,111258,90,1830,peat,NA
119.5,Carbon-14,111259,90,1630,peat,NA
145,Carbon-14,111260,80,2260,peat,NA
169.5,Carbon-14,111261,130,2230,peat,NA
183.5,Carbon-14,111262,130,2850,peat,NA
197.5,Carbon-14,111263,80,2950,peat,NA
217.5,Carbon-14,111264,120,3340,peat,NA
250.25,Carbon-14,111265,90,4320,peat,NA
269.5,Carbon-14,111266,110,4300,peat,NA
321.5,Carbon-14,111267,140,4670,peat,NA
331.5,Carbon-14,111268,110,5140,peat,NA
377,Carbon-14,111269,110,6460,peat,NA
396,Carbon-14,111270,130,7250,peat,NA
432,Carbon-14,111271,110,9110,peat,NA
448.5,Carbon-14,111272,160,8970,peat,NA
481,Carbon-14,111273,180,9460,peat,NA
486.75,Carbon-14,111274,140,10080,peat,NA
488,Carbon-14,111275,180,10210,silty peat,NA
514.25,Carbon-14,111276,130,10610,silty peat,NA
514.25,Carbon-14,111277,130,10900,silty peat,NA
