depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),age (BP),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil)
0.055,760,0.87,2.88,0.12,1362,23,0.82,0.155,1450,22.98,2.95,1.205,11640,12.9,16.1,1.95,1.3,2.65,1.099
0.105,1220,0.96,2.85,0.2,2100,22.7,0.811,0.205,2150,26.2,4.21,1.23,11830,NA,NA,NA,NA,NA,NA
0.13,1450,0.55,2.81,0.32,3208,23.5,0.839,0.255,2610,24.29,3.41,1.255,11900,NA,NA,NA,NA,NA,NA
0.205,2150,0.93,2.7,0.4,3946,23.5,0.837,0.305,3070,25.51,3.9,1.28,11970,NA,NA,NA,NA,NA,NA
0.23,2380,0.8,2.35,0.44,4315,23.3,0.832,0.355,3530,25.32,3.82,1.305,12040,14.1,16.3,2.14,0.96,2.71,0.547
0.255,2610,0.71,2.85,0.48,4684,23.7,0.845,0.405,3990,24.46,3.47,1.33,12110,NA,NA,NA,NA,NA,NA
0.28,2840,0.95,2.72,0.56,5423,23.8,0.849,0.455,4450,23.99,3.3,1.355,12180,NA,NA,NA,NA,NA,NA
0.305,3070,0.24,2.63,0.64,6161,23.7,0.846,0.505,4910,25.48,3.89,1.38,12250,NA,NA,NA,NA,NA,NA
0.33,3300,0.89,2.84,0.72,6980,23.8,0.849,0.555,5380,24.05,3.32,1.405,12320,14.4,15.4,2.18,1.51,2.47,0.69
0.355,3530,1.1,2.68,0.74,7204,23.2,0.827,0.605,5840,25.44,3.87,1.43,12390,NA,NA,NA,NA,NA,NA
0.38,3760,0.94,2.75,0.8,7877,23,0.82,0.655,6300,25.71,3.99,1.455,12450,NA,NA,NA,NA,NA,NA
0.455,4450,1.11,2.84,0.84,8326,22.5,0.804,0.705,6810,25.4,3.86,1.48,12520,NA,NA,NA,NA,NA,NA
0.48,4680,0.76,2.8,0.88,8775,22.3,0.796,0.755,7370,25.03,3.7,1.505,12590,13.9,16.1,2.1,1.63,2.65,0.841
0.505,4910,0.99,2.78,0.92,9224,22,0.786,0.805,7930,25.46,3.88,1.53,12660,NA,NA,NA,NA,NA,NA
0.53,5150,0.92,2.67,0.96,9672,22.3,0.798,0.855,8500,25.92,4.08,1.555,12730,NA,NA,NA,NA,NA,NA
0.555,5380,0.86,2.91,1.12,10974,21.8,0.781,0.905,9060,24.59,3.53,1.58,12800,NA,NA,NA,NA,NA,NA
0.58,5610,0.98,2.66,1.2,11590,21.6,0.773,0.955,9620,24.82,3.61,1.605,12870,14,17.3,2.11,1.16,3,0.625
0.605,5840,1.02,2.94,1.28,11969,21.2,0.759,1.005,10090,24.89,3.64,1.63,12940,NA,NA,NA,NA,NA,NA
0.63,6070,0.98,2.86,1.44,12415,20.9,0.748,1.055,10480,25.48,3.89,1.655,13400,NA,NA,NA,NA,NA,NA
0.655,6300,0.86,2.9,1.56,12750,21.2,0.76,1.105,10870,25.29,3.81,1.68,13860,NA,NA,NA,NA,NA,NA
0.68,6530,0.82,2.44,1.72,14595,21.6,0.773,1.155,11250,26.61,4.41,1.705,14320,12.3,14.4,1.87,1.63,2.21,0.788
0.705,6810,0.93,2.99,1.8,14759,20.5,0.737,1.205,11640,24.39,3.45,1.73,14620,NA,NA,NA,NA,NA,NA
0.73,7090,0.78,2.58,1.88,14909,21.4,0.766,1.23,11830,23.98,3.29,1.755,14670,NA,NA,NA,NA,NA,NA
0.755,7370,0.7,2.94,2,15135,21.3,0.764,1.255,11900,23.33,3.06,1.78,14710,NA,NA,NA,NA,NA,NA
0.78,7650,0.84,2.86,2.08,15285,20.6,0.741,1.305,12040,23.98,3.29,1.805,14760,13.7,14.7,2.08,1.85,2.29,1.011
0.805,7930,0.75,2.83,2.16,15436,19.1,0.69,1.355,12180,24.08,3.33,1.83,14810,NA,NA,NA,NA,NA,NA
0.83,8220,0.78,2.7,2.28,15661,19,0.687,1.405,12320,23.53,3.13,1.855,14850,NA,NA,NA,NA,NA,NA
0.855,8500,0.74,2.92,2.4,15993,19.7,0.708,1.455,12450,23.99,3.3,1.88,14900,NA,NA,NA,NA,NA,NA
0.88,8780,0.64,2.74,2.48,16389,19.7,0.708,1.505,12590,23.47,3.11,1.905,14950,12.4,15.5,1.87,1.9,2.48,0.65
0.905,9060,0.78,2.97,2.68,17381,20,0.718,1.555,12730,24.47,3.48,1.93,14990,NA,NA,NA,NA,NA,NA
0.93,9340,0.75,2.96,2.82,18076,20.1,0.723,1.605,12870,23.28,3.05,1.955,15040,NA,NA,NA,NA,NA,NA
0.955,9620,0.74,2.93,2.92,18572,20.7,0.744,1.63,12940,24.53,3.5,1.98,15090,NA,NA,NA,NA,NA,NA
0.98,9900,0.78,2.99,3.04,19167,20.9,0.749,1.655,13400,23.23,3.03,2.005,15130,14.2,16.1,2.15,1.8,2.66,1.094
1.005,10090,0.76,3.01,3.12,19763,20.9,0.75,1.68,13860,24.65,3.55,2.055,15230,NA,NA,NA,NA,NA,NA
1.055,10480,0.72,3.01,3.2,20544,22.1,0.791,1.73,14620,24.24,3.39,2.08,15280,NA,NA,NA,NA,NA,NA
1.08,10670,0.31,3.15,3.28,21325,21.9,0.782,1.78,14710,24.02,3.31,2.105,15320,14.2,15.8,2.15,2.08,2.57,1.175
1.105,10870,0.65,3.1,3.44,22853,21.9,0.785,1.805,14760,22.7,2.86,2.155,15420,NA,NA,NA,NA,NA,NA
1.13,11060,0.34,3.3,3.56,23715,20.7,0.744,1.83,14810,24.51,3.49,2.18,15460,NA,NA,NA,NA,NA,NA
1.155,11250,0.49,3.02,3.64,24289,20.7,0.743,1.855,14850,23.46,3.11,2.205,15510,14.7,14.7,2.22,1.92,2.28,0.681
1.18,11440,0.31,3.14,3.72,24864,20.9,0.75,1.88,14900,23.81,3.23,2.23,15560,NA,NA,NA,NA,NA,NA
1.205,11640,0.21,3.35,3.8,25438,21,0.754,1.93,14990,23.89,3.26,2.255,15600,NA,NA,NA,NA,NA,NA
1.23,11830,0.6,3.17,3.88,26012,21.3,0.763,1.98,15090,24.24,3.39,2.28,15650,NA,NA,NA,NA,NA,NA
1.255,11900,0.22,3.31,3.96,26495,21.1,0.756,2.03,15190,24.6,3.53,2.305,15700,15.4,14.9,2.35,2.06,2.33,0.524
1.28,11970,0.04,3.23,4.08,27209,21.1,0.755,2.08,15280,23.37,3.08,2.33,15740,NA,NA,NA,NA,NA,NA
1.305,12040,0.42,3.15,4.2,27923,21.1,0.757,2.13,15370,23.92,3.27,2.355,15790,NA,NA,NA,NA,NA,NA
1.33,12110,0.37,3.33,4.32,28637,20.9,0.75,2.18,15460,23.26,3.04,2.405,16020,14.2,15.1,2.14,1.83,2.39,0.709
1.355,12180,0.29,3.28,4.36,28875,21.3,0.765,2.23,15560,23.5,3.12,2.43,16150,NA,NA,NA,NA,NA,NA
1.38,12250,0.2,3.14,4.44,29351,21,0.754,2.28,15650,23.29,3.05,2.455,16270,NA,NA,NA,NA,NA,NA
1.405,12320,0.16,3.39,4.64,30541,20.4,0.733,2.33,15740,23.16,3.01,2.48,16400,NA,NA,NA,NA,NA,NA
1.43,12390,0.36,3.39,4.72,31017,21.3,0.762,2.38,15950,22.63,2.84,2.505,16520,13.3,16.1,2.01,2.43,2.67,1.149
1.455,12450,0.73,3.07,4.8,31493,21.3,0.765,2.43,16150,22.99,2.95,2.53,16640,NA,NA,NA,NA,NA,NA
1.48,12520,0.51,3.47,4.88,31940,21.1,0.757,2.48,16400,23.77,3.22,2.555,16770,NA,NA,NA,NA,NA,NA
