age (Calibrated),temperature (degC)
0,10.129
90.909,9.549
298.701,10.129
545.454,8.478
831.168,8.723
1077.921,10.888
1389.609,11.201
1675.324,9.571
1948.051,8.656
2207.791,9.259
2480.518,8.924
2740.258,10.018
3038.959,10.71
3376.621,9.304
3766.231,9.705
4207.789,10.777
4779.217,8.991
5441.555,8.299
6337.658,8.277
7428.566,9.839
8727.267,9.393
10350.642,10.353
10714.278,8.143
