depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),notes ()
49,14C,planktic foraminifera calcite,N. dutertrei,1.085,0.025,top (2 cm) assumed to be 0 age
138,14C,planktic foraminifera calcite,N. dutertrei,2.575,0.03,NA
199,14C,planktic foraminifera calcite,N. dutertrei,3.255,0.025,NA
338,14C,planktic foraminifera calcite,N. dutertrei,4.96,0.03,NA
399,14C,planktic foraminifera calcite,N. dutertrei,5.51,0.04,NA
508,14C,planktic foraminifera calcite,N. dutertrei,6.62,0.035,NA
599,14C,planktic foraminifera calcite,N. dutertrei,7.43,0.035,NA
693,14C,planktic foraminifera calcite,N. dutertrei,8.22,0.06,NA
769,14C,planktic foraminifera calcite,N. dutertrei,8.96,0.045,NA
893,14C,planktic foraminifera calcite,N. dutertrei,10.085,0.045,NA
999,14C,planktic foraminifera calcite,N. dutertrei,11.03,0.05,NA
