year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1780,170,166.972,27.13,4.367,149.036
1700,250,250.089,27.15,4.375,177.985
1290,660,664.957,27.07,4.344,250.211
870,1080,1079.173,27.26,4.419,257.061
460,1490,1492.793,27.33,4.446,204.807
50,1900,1896.208,27.25,4.415,113.436
-310,2260,2262.971,26.74,4.217,232.63
-680,2630,2629.012,27.52,4.523,278.468
-1040,2990,2994.714,27.12,4.363,288.688
-1410,3360,3360.115,27.27,4.423,267.481
-1780,3730,3725.112,27.24,4.411,205.324
-1960,3910,3907.264,26.95,4.297,143.067
-2100,4050,4046.412,27.48,4.507,93.851
-2170,4120,4121.814,27.81,4.643,113.995
-2250,4200,4196.926,27.2,4.395,113.111
-2320,4270,4271.753,27.63,4.568,87.719
-2450,4400,4403.798,27.05,4.336,122.032
-2670,4620,4621.213,27.18,4.387,202.919
-2880,4830,4838.296,27.32,4.442,249.377
-3100,5050,5055.213,27.55,4.535,277.742
-3320,5270,5272.026,26.96,4.301,294.468
-3530,5480,5488.744,27.24,4.411,300.687
-3750,5700,5705.381,26.94,4.293,297.875
-3970,5920,5921.928,27.05,4.336,284.982
-4180,6130,6138.378,27.55,4.535,261.478
-4620,6570,6570.78,27.4,4.475,160.665
-4800,6750,6754.881,27.12,4.363,64.899
-4860,6810,6814.501,26.54,4.141,106.952
-4920,6870,6873.609,26.96,4.301,131.208
-4980,6930,6932.59,27.16,4.379,147.42
-5100,7050,7050.306,27.25,4.415,163
-5210,7160,7167.77,27.29,4.431,160.732
-5330,7280,7284.957,27.92,4.689,139.359
-5450,7400,7401.567,26.98,4.309,84.004
-5610,7560,7560.607,27.17,4.383,152.212
-5780,7730,7729.993,27.23,4.407,210.582
-5950,7900,7899.194,27.41,4.479,250.176
-6110,8060,8068.296,27.23,4.407,279.249
-6280,8230,8237.329,27.05,4.336,300.92
-6450,8400,8406.31,27.72,4.605,316.74
-6620,8570,8575.244,27.46,4.499,327.575
-6790,8740,8744.138,26.96,4.301,333.923
-6960,8910,8912.994,27.18,4.387,336.048
-7130,9080,9081.812,27.61,4.56,334.04
-7300,9250,9250.592,26.96,4.301,327.829
-7470,9420,9419.332,27.77,4.626,317.175
-7640,9590,9588.025,27.35,4.455,301.615
-7810,9760,9756.666,26.89,4.274,280.341
-7970,9920,9925.238,27.51,4.519,251.918
-8140,10090,10093.711,27.13,4.367,213.524
-8310,10260,10261.999,27.47,4.503,158.07
-8460,10410,10413.578,27.27,4.423,92.683
-8550,10500,10501.139,27.69,4.593,130.721
-8640,10590,10588.496,28.75,5.053,149.866
-8730,10680,10675.764,27.72,4.605,157.318
-8810,10760,10762.96,27.23,4.407,154.908
-8900,10850,10850.077,26.45,4.108,142.329
-8990,10940,10937.067,27.13,4.367,116.848
-9050,11000,11001.846,26.74,4.217,98.029
-9090,11040,11033.019,26.47,4.115,110.174
-9120,11070,11063.97,26.98,4.309,120.004
-9150,11100,11094.823,26.89,4.274,127.698
-9190,11140,11125.609,27.2,4.395,133.511
-9220,11170,11156.344,27.25,4.415,137.619
-9250,11200,11187.033,27.68,4.589,140.129
-9280,11230,11217.678,27.02,4.324,141.089
-9320,11270,11248.279,26.73,4.213,140.499
-9350,11300,11278.831,27.18,4.387,138.301
-9380,11330,11309.324,26.28,4.046,134.37
-9420,11370,11339.735,26.96,4.301,128.477
-9450,11400,11370,27.59,4.552,120.176
-9520,11470,11435.162,27.72,4.605,130.498
-9740,11690,11640.534,27.85,4.66,183.851
-9960,11910,11845.386,27.95,4.702,198.436
-10180,12130,12049.927,27.89,4.676,184.161
-10400,12350,12253.949,27.61,4.56,132.647
-10470,12420,12301.985,27.39,4.471,116.011
-10500,12450,12311.195,28.05,4.744,117.262
-10530,12480,12320.329,27.59,4.552,118.26
-10570,12520,12329.424,28.24,4.826,119.019
-10600,12550,12338.494,28.41,4.9,119.545
-10630,12580,12347.544,28.2,4.809,119.844
-10670,12620,12356.578,28.09,4.761,119.918
-10700,12650,12365.599,27.77,4.626,119.768
-10730,12680,12374.607,28.06,4.748,119.394
-10760,12710,12383.605,27.43,4.487,118.793
-10800,12750,12392.592,28.07,4.753,117.963
-10830,12780,12401.57,27.63,4.568,116.898
-10860,12810,12410.538,27.02,4.324,115.593
-10900,12850,12419.496,27.18,4.387,114.04
-10930,12880,12428.445,27.39,4.471,112.228
-10960,12910,12437.383,27.43,4.487,110.144
-11000,12950,12446.31,26.67,4.19,107.773
-11030,12980,12455.225,26.98,4.309,105.096
-11060,13010,12464.127,26.91,4.282,102.088
-11090,13040,12473.013,27.66,4.581,98.719
-11130,13080,12481.879,27.05,4.336,94.951
-11160,13110,12490.72,27.19,4.391,90.733
-11190,13140,12499.521,26.99,4.312,85.997
-11230,13180,12508.247,26.94,4.293,80.65
-11260,13210,12539.672,27.11,4.359,94.694
-11290,13240,12661.89,26.46,4.112,149.61
-11320,13270,12783.796,27.12,4.363,177.82
-11360,13310,12905.573,26.36,4.075,191.649
-11390,13340,13027.253,26.96,4.301,194.266
-11420,13370,13148.839,26.5,4.126,186.218
-11460,13410,13270.315,26.5,4.126,166.07
-11490,13440,13391.599,26.12,3.988,128.565
-11540,13490,13491.417,26.87,4.266,103.614
-11600,13550,13558.802,26.72,4.209,125.716
-11670,13620,13625.841,26.11,3.984,136.704
-11740,13690,13692.687,26.78,4.232,138.928
-11810,13760,13759.36,27.04,4.332,132.715
-11880,13830,13825.809,25.87,3.899,116.647
-11950,13900,13891.354,26.26,4.038,85.511
