year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1824.26,125.74,11.957,28.364,4.88,44.327
1802.76,147.24,38.515,28.567,4.97,75.274
1781.26,168.74,65.591,29.239,5.28,95.461
1759.77,190.23,92.902,28.722,5.04,110.936
1738.27,211.73,120.368,28.7,5.03,123.491
1716.77,233.23,147.95,28.544,4.96,133.954
1695.27,254.73,175.629,27.899,4.68,142.792
1673.77,276.23,203.393,28.11,4.77,150.297
1652.28,297.72,231.235,28.341,4.87,156.663
1630.78,319.22,259.152,27.97,4.71,162.031
1609.28,340.72,287.144,28.477,4.93,166.501
1587.78,362.22,315.216,29.133,5.23,170.149
1566.29,383.71,343.371,28.81,5.08,173.035
1544.79,405.21,371.624,28.409,4.9,175.205
1501.79,448.21,428.515,28.226,4.82,177.547
1480.29,469.71,457.274,28.454,4.92,177.803
1458.8,491.2,486.55,28.678,5.02,177.587
1448.05,501.95,502.5,29.571,5.44,177.738
1437.3,512.7,511.391,28.318,4.86,179.758
1415.8,534.2,531.732,28.744,5.05,183.384
1372.8,577.2,573.58,28.962,5.15,189.663
1329.81,620.19,615.982,28.064,4.75,194.861
1286.81,663.19,658.671,28.499,4.94,199.11
1243.82,706.18,701.555,28.919,5.13,202.499
1200.82,749.18,744.591,28.81,5.08,205.088
1179.32,770.68,766.157,28.611,4.99,206.098
1157.82,792.18,787.752,28.432,4.91,206.925
1114.83,835.17,831.025,28.386,4.89,208.043
1071.83,878.17,874.401,29.932,5.62,208.468
1028.84,921.16,917.876,29.133,5.23,208.218
985.84,964.16,961.451,28.94,5.14,207.307
942.8,1007.2,1005.126,28.134,4.78,205.742
910.6,1039.4,1037.954,29.447,5.38,204.144
899.8,1050.2,1048.911,28.7,5.03,203.53
856.9,1093.1,1092.818,28.656,5.01,200.675
813.9,1136.1,1136.868,29.176,5.25,197.186
770.9,1179.1,1181.099,28.634,5,193.085
727.9,1222.1,1225.587,28.854,5.1,188.429
684.9,1265.1,1270.525,29.489,5.4,183.416
641.9,1308.1,1317.893,28.272,4.84,180.225
598.9,1351.1,1357.344,28.611,4.99,189.17
555.9,1394.1,1398.809,28.875,5.11,199.133
512.9,1437.1,1440.622,28.522,4.95,208.436
469.9,1480.1,1482.623,28.064,4.75,217.015
426.9,1523.1,1524.748,27.946,4.7,224.892
383.9,1566.1,1566.964,28.656,5.01,232.11
373.1,1576.9,1577.53,28.897,5.12,233.816
340.9,1609.1,1609.253,29.197,5.26,238.709
297.9,1652.1,1651.602,28.875,5.11,244.728
254.9,1695.1,1694.001,29.155,5.24,250.199
211.9,1738.1,1736.445,28.477,4.93,255.151
168.9,1781.1,1778.928,28.7,5.03,259.608
125.9,1824.1,1821.447,28.522,4.95,263.592
104.4,1845.6,1842.719,29.005,5.17,265.412
82.9,1867.1,1863.999,29.176,5.25,267.12
39.9,1910.1,1906.582,29.027,5.18,270.207
-3.1,1953.1,1949.193,28.984,5.16,272.866
-46.1,1996.1,1991.832,29.611,5.46,275.106
-89.1,2039.1,2034.497,28.962,5.15,276.936
-132.1,2082.1,2077.188,29.693,5.5,278.363
-164.3,2114.3,2109.222,28.832,5.09,279.17
-175.1,2125.1,2119.903,29.26,5.29,279.39
-218,2168,2162.642,29.693,5.5,280.02
-261,2211,2205.404,28.854,5.1,280.255
-304,2254,2248.19,29.509,5.41,280.095
-390,2340,2333.832,29.571,5.44,278.577
-433,2383,2376.689,28.364,4.88,277.21
-476,2426,2419.57,28.656,5.01,275.429
-519,2469,2462.475,28.656,5.01,273.224
-562,2512,2505.406,29.239,5.28,270.584
-605,2555,2548.364,29.239,5.28,267.494
-648,2598,2591.349,28.04,4.74,263.937
-691,2641,2634.363,29.571,5.44,259.892
-734,2684,2677.409,29.344,5.33,255.334
-777,2727,2720.488,29.048,5.19,250.234
-820,2770,2763.604,29.427,5.37,244.555
-863,2813,2806.76,28.499,4.94,238.254
-906,2856,2849.962,29.611,5.46,231.277
-949,2899,2893.217,29.133,5.23,223.556
-992,2942,2936.535,28.454,4.92,215.008
-1035,2985,2979.929,28.522,4.95,205.523
-1078,3028,3023.421,29.972,5.64,194.955
-1121,3071,3067.049,29.323,5.32,183.102
-1164,3114,3110.89,28.962,5.15,169.666
-1207,3157,3155.165,28.544,4.96,154.152
-1239.2,3189.2,3190.166,28.7,5.03,140.231
-1250,3200,3203.346,28.722,5.04,148.095
-1272.3,3222.3,3262.113,28.386,4.89,174.019
-1336.8,3286.8,3321.927,28.7,5.03,195.759
-1401.4,3351.4,3382.101,28.854,5.1,214.747
-1465.9,3415.9,3442.478,28.611,4.99,231.697
-1530.4,3480.4,3502.993,28.318,4.86,247.04
-1595,3545,3563.608,28.766,5.06,261.069
-1659.5,3609.5,3624.303,27.779,4.63,273.989
-1724,3674,3685.063,28.432,4.91,285.954
-1788.6,3738.6,3745.876,29.069,5.2,297.081
-1853.1,3803.1,3806.736,28.766,5.06,307.462
-1917.7,3867.7,3867.637,27.899,4.68,317.172
-1982.2,3932.2,3928.574,28.744,5.05,326.272
-1998.3,3948.3,3943.814,29.773,5.54,328.457
-2046.7,3996.7,3989.544,28.875,5.11,334.811
-2075.3,4025.3,4050.543,28.499,4.94,342.833
-2095,4045,4111.569,28.7,5.03,350.373
-2125,4075,4172.62,28.611,4.99,357.463
-2150,4100,4233.695,28.744,5.05,364.128
-2169.4,4119.4,4294.791,28.744,5.05,370.393
-2233.9,4183.9,4355.908,29.26,5.29,376.277
-2298.5,4248.5,4417.044,28.318,4.86,381.798
-2363,4313,4478.199,29.26,5.29,386.972
-2427.5,4377.5,4539.371,28.984,5.16,391.813
-2492.1,4442.1,4600.56,29.197,5.26,396.333
-2556.6,4506.6,4661.765,28.7,5.03,400.544
-2605,4555,4707.679,29.611,5.46,403.504
-2621.2,4571.2,4722.985,29.133,5.23,404.454
-2653.4,4603.4,4753.601,28.656,5.01,406.3
-2685.7,4635.7,4784.221,29.773,5.54,408.074
-2750.2,4700.2,4845.471,30.167,5.74,411.41
-2814.8,4764.8,4906.735,29.027,5.18,414.47
-2879.3,4829.3,4968.013,29.26,5.29,417.259
-2943.8,4893.8,5029.304,29.26,5.29,419.784
-3008.4,4958.4,5090.609,29.281,5.3,422.049
-3137.4,5087.4,5213.257,29.048,5.19,425.816
-3202,5152,5274.599,28.94,5.14,427.324
-3331.1,5281.1,5397.322,29.239,5.28,429.606
-3395.6,5345.6,5458.701,29.652,5.48,430.383
-3411.7,5361.7,5474.048,29.652,5.48,430.539
-3460.1,5410.1,5520.093,29.468,5.39,430.919
-3524.7,5474.7,5581.496,28.984,5.16,431.216
-3589.2,5539.2,5642.912,29.632,5.47,431.273
-3653.7,5603.7,5704.339,29.406,5.36,431.092
-3718.3,5668.3,5765.778,30.206,5.76,430.672
-3782.8,5732.8,5827.229,29.632,5.47,430.012
-3815.1,5765.1,5857.959,29.571,5.44,429.592
-3847.3,5797.3,5888.692,29.468,5.39,429.111
-3911.9,5861.9,5950.167,30.07,5.69,427.968
-3976.4,5926.4,6011.655,29.005,5.17,426.581
-4041,5991,6073.154,29.365,5.34,424.948
-4105.5,6055.5,6134.666,29.406,5.36,423.065
-4170,6120,6196.191,28.386,4.89,420.93
-4234.6,6184.6,6257.728,28.81,5.08,418.538
-4299.1,6249.1,6319.278,29.112,5.22,415.886
-4363.6,6313.6,6380.842,29.302,5.31,412.969
-4428.2,6378.2,6442.419,28.611,4.99,409.78
-4492.7,6442.7,6504.01,29.55,5.43,406.314
-4557.2,6507.2,6565.615,29.218,5.27,402.563
-4621.8,6571.8,6627.234,29.239,5.28,398.52
-4686.3,6636.3,6688.869,30.167,5.74,394.175
-4750.8,6700.8,6750.52,29.281,5.3,389.519
-4815.4,6765.4,6812.187,29.632,5.47,384.541
-4879.9,6829.9,6873.871,29.365,5.34,379.227
-4944.5,6894.5,6935.572,29.005,5.17,373.564
-5009,6959,6997.292,29.133,5.23,367.536
-5025.1,6975.1,7012.725,30.07,5.69,365.97
-5073.5,7023.5,7059.032,29.913,5.61,361.124
-5138.1,7088.1,7120.793,28.7,5.03,354.309
-5202.6,7152.6,7182.575,29.239,5.28,347.065
-5267.1,7217.1,7244.382,29.027,5.18,339.366
-5331.7,7281.7,7306.214,28.544,4.96,331.181
-5396.2,7346.2,7368.073,29.112,5.22,322.473
-5460.7,7410.7,7429.963,29.489,5.4,313.198
-5525.3,7475.3,7491.886,29.468,5.39,303.305
-5589.8,7539.8,7553.847,28.875,5.11,292.732
-5654.4,7604.4,7615.849,28.984,5.16,281.402
-5718.9,7668.9,7677.9,28.203,4.81,269.221
-5783.4,7733.4,7740.007,29.005,5.17,256.068
-5831.8,7781.8,7786.631,29.972,5.64,245.473
