depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0.5,-38.044,NA,11.751,13.181,10.321,N
8.25,162.77,NA,10.412,11.829,8.994,N
13.5,298.805,NA,11.774,13.21,10.337,N
17.5,402.451,NA,12.301,13.697,10.905,N
24.5,583.832,NA,12.151,13.558,10.744,N
28.5,687.478,NA,11.496,12.909,10.084,N
33.5,817.035,NA,12.196,13.584,10.808,N
37.5,920.681,NA,12.115,13.511,10.72,N
43.5,1076.15,NA,11.944,13.344,10.544,N
49.5,1231.619,NA,12.234,13.68,10.788,N
53.5,1335.265,NA,11.845,13.259,10.431,N
56.5,1413,NA,12.554,13.942,11.166,N
61.5,1508.588,NA,9.792,11.229,8.354,N
63.5,1546.824,NA,8.91,10.323,7.498,N
73.5,1738,NA,10.172,11.594,8.75,N
78.5,1869.562,NA,10.845,12.241,9.448,N
83.5,2001.125,NA,11.106,12.488,9.724,N
88.5,2132.688,NA,9.793,11.179,8.406,N
92.5,2237.938,NA,8.877,10.29,7.463,N
93.5,2264.25,NA,9.229,10.687,7.771,N
98.5,2395.812,NA,9.616,11.006,8.225,N
103.5,2527.375,8.965,NA,10.369,7.561,NA
109.5,2628.706,9.284,NA,10.692,7.877,NA
113.5,2677.412,8.825,NA,10.227,7.422,NA
118.5,2738.294,10.046,NA,11.431,8.661,NA
122.5,2787,8.858,NA,10.258,7.458,NA
123.5,2799.176,8.822,NA,10.22,7.425,NA
129.5,2872.235,9.746,NA,11.172,8.321,NA
134.5,2933.118,10.02,NA,11.41,8.631,NA
137.5,2969.647,10.096,NA,11.495,8.697,NA
138.5,2981.824,8.634,NA,10.216,7.052,NA
142.5,3142.895,9.011,NA,10.413,7.609,NA
147.5,3391.053,10.823,NA,12.23,9.417,NA
153.5,3688.842,10.865,NA,12.261,9.47,NA
157.5,3887.368,11.875,NA,13.263,10.486,NA
162.5,3981.571,12.498,NA,13.892,11.105,NA
165.5,4015,11.036,NA,12.422,9.65,NA
169.5,4059.571,11.546,NA,12.931,10.161,NA
173.5,4104.143,12.067,NA,13.463,10.67,NA
178.5,4165.519,10.915,NA,12.305,9.524,NA
183.5,4232.556,11.027,NA,12.415,9.639,NA
189.5,4313,12.732,NA,14.115,11.349,NA
192.5,4393.55,11.014,NA,12.406,9.622,NA
198.5,4554.65,11.868,NA,13.275,10.461,NA
203.5,4688.9,13.785,NA,15.205,12.365,NA
208.5,4823.15,13.592,NA,15.057,12.128,NA
213.5,4943.964,11.31,NA,12.714,9.906,NA
218.5,5061.418,11.944,NA,13.348,10.54,NA
223.5,5178.873,12.315,NA,13.712,10.918,NA
228.5,5296.327,13.065,NA,14.469,11.661,NA
233.5,5413.782,12.094,NA,13.48,10.708,NA
238.5,5531.236,10.827,NA,12.236,9.418,NA
243.5,5648.691,11.309,NA,12.722,9.897,NA
247.5,5742.655,11.934,NA,13.347,10.52,NA
253.5,5883.6,12.095,NA,13.498,10.692,NA
258.5,6001.055,11.834,NA,13.24,10.428,NA
263.5,6118.509,11.646,NA,13.055,10.237,NA
268.5,6238.923,13.103,NA,14.508,11.698,NA
273.5,6360.077,12.877,NA,14.266,11.489,NA
278.5,6482.629,11.693,NA,13.084,10.303,NA
283.5,6610.771,11.33,NA,12.723,9.937,NA
288.5,6738.914,11.905,NA,13.335,10.476,NA
293.5,6867.057,11.196,NA,12.585,9.807,NA
298.5,6995.2,12.134,NA,13.52,10.749,NA
303.5,7123.343,11.443,NA,12.833,10.052,NA
308.5,7251.486,9.695,NA,11.092,8.298,NA
313.5,7375.077,12.732,NA,14.154,11.31,NA
318.5,7480.462,11.584,NA,12.977,10.191,NA
323.5,7585.846,10.923,NA,12.306,9.541,NA
328.5,7691.231,11.2,NA,12.588,9.813,NA
333.5,7839.667,11.552,NA,12.953,10.151,NA
338.5,8088.556,12.648,NA,14.112,11.184,NA
343.5,8337.444,13.075,NA,14.549,11.601,NA
348.5,8586.333,12.044,NA,13.445,10.642,NA
353.5,8704.919,11.724,NA,13.13,10.317,NA
358.5,8767.661,12.322,NA,13.785,10.86,NA
363.5,8830.403,12.104,NA,13.547,10.661,NA
367.5,8880.597,12.357,NA,13.805,10.909,NA
374.5,8968.435,12.509,NA,13.977,11.042,NA
378.5,9018.629,11.345,NA,12.766,9.925,NA
385,9135.935,12.237,NA,13.692,10.781,NA
389.5,9232.613,13.534,NA,14.965,12.103,NA
393.5,9318.548,12.367,NA,13.849,10.884,NA
399.5,9460.025,11.762,NA,13.202,10.323,NA
403.5,9562.725,11.789,NA,13.193,10.386,NA
409.5,9716.775,12.525,NA,13.914,11.135,NA
410.5,9742.45,11.845,NA,13.244,10.445,NA
414.5,9845.15,11.7,NA,13.094,10.306,NA
419.5,9973.525,11.509,NA,12.898,10.12,NA
424.5,10101.9,11.933,NA,13.32,10.546,NA
430.1,10245.68,11.457,NA,12.855,10.059,NA
435.5,10384.325,11.481,NA,12.858,10.104,NA
440.5,10497.529,10.737,NA,12.137,9.336,NA
446.5,10628.824,NA,8.965,11.815,9.057,N
