depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
801,8010,8010,-49,NA,NA,NA,0,2,NA,NA,1
817.5,8190,8160,1700,40,1620,1540,30,1,3,1,NA
857,8585,8555,2780,50,2940,2800,30,1,4,1,NA
891,8930,8890,3880,50,4375,4205,40,1,5,1,NA
940.5,9420,9390,6390,50,7335,7265,30,1,6,1,NA
962.5,9635,9615,8000,60,9115,8865,20,1,7,1,NA
974,9750,9730,8710,40,9755,9605,20,1,2,1,NA
976.5,9770,9760,9220,60,10510,10270,10,1,8,1,NA
980.75,9810,9805,9380,80,10660,10480,5,1,1,1,NA
