depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
73,Carbon-14,109678,85,3160,fibrous gyttja,NA
173,Carbon-14,109679,85,4660,gyttja,NA
240,Carbon-14,109680,150,7290,fibrous gyttja,Basal date is younger than regional deglaciation.
