OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,0,Core top,-48,NA,NA,Y,NA
KIA12527,1,3,NA,506,542,470,Y,Plant remains
AA40889,9,11,NA,1547,1596,1498,Y,Plant remains
AA40890,21,23,NA,2943,2988,2898,Y,Plant remains
KIA12528,41,43,NA,4475,4513,4437,Y,Plant remains
KIA18396,57,59,NA,8090,8160,8020,Y,Plant remains
KIA18397,77,79,NA,8940,9030,8850,Y,Plant remains
