depth (cm),age_uncorrected (yr BP),error (yr),age_corrected (yr BP)
1,940,35,540
17,1390,30,990
50.5,3185,60,2785
100.5,5325,60,4925
135,6985,50,6585
173,9350,40,8950
211,12085,45,11685
255,15710,45,15310
