depth (cm),age (bp),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_error (age_error),cal_age_range_old (bp),cal_age_range_young (2_s),depth_mid (mm),thickness (mm),age_type (),lab_id (),rejected_dates (),material_dated (),note ()
0,1996,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA
0.5,1994,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,4,NA
1,1991,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,4,NA
1.5,1982,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,4,NA
2,1975,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,4,NA
2.5,1967,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,4,NA
3,1958,NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,4,NA
3.5,1945,NA,NA,NA,NA,11,NA,NA,NA,NA,3,NA,NA,4,NA
4,1928,NA,NA,NA,NA,19,NA,NA,NA,NA,3,NA,NA,4,NA
6,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA
32,NA,330,310,1215,45,NA,1263,1046,320,20,2,1,NA,1,NA
41.5,NA,430,400,1700,45,NA,1412,1734,415,30,2,2,NA,1,NA
52,NA,540,500,2040,55,NA,1860,2153,520,40,2,3,NA,1,NA
62,NA,640,600,1575,45,NA,1309,1571,620,40,2,4,1,1,1
62,NA,640,600,1380,45,NA,1169,1411,620,40,1,5,NA,2,NA
72,NA,740,700,2055,45,NA,1867,2156,720,40,2,6,1,1,1
72,NA,740,700,1880,50,NA,1687,1950,720,40,2,7,NA,3,NA
82,NA,840,800,2530,60,NA,2427,2749,820,40,2,8,NA,1,NA
82,NA,840,800,2750,170,NA,2430,3266,820,40,1,9,1,3,1
98.25,NA,995,970,3130,50,NA,3159,3477,982.5,25,1,10,NA,3,NA
123.25,NA,1250,1215,4485,55,NA,4946,5310,1232.5,35,2,11,1,1,1
123.25,NA,1250,1215,4180,60,NA,4511,4867,1232.5,35,1,12,NA,3,NA
137,NA,1390,1350,5320,60,NA,6016,6212,1370,40,1,13,NA,2,NA
161,NA,1630,1590,8160,65,NA,8945,9375,1610,40,2,14,NA,1,NA
