depth (cm),age (BP),temperature (degC),precipitation (mm),age (BP),temperature (degC)
3,67,10.3,101.333,67,4.267
12.5,344,4.9,32.333,344,2.75
22.5,531,9.4,352,531,3.983
32,670,3,95.333,670,3.217
40,811,6.233,226.333,811,3.583
51,1062,5.833,26.667,1062,2.65
59,1250,5.667,61,1250,3.417
69,1435,2.067,69.667,1435,2.417
77,1639,5.833,26.667,1639,2.65
85,1852,7.7,187.333,1852,3.833
93,2049,5.833,26.667,2049,2.65
101,2286,7.6,33.667,2286,3.9
109,2482,2.433,40.333,2482,1.733
117,2756,5.667,61,2756,3.417
125,2904,3.767,124,2904,3.883
126,2927,4.133,94.667,2927,3.2
130,3073,4.9,32.333,3073,2.75
138,3355,2.033,32,3355,1.717
146,3568,8.567,59.667,3568,4.067
158,3968,8.067,71,3968,3.95
166,4275,4.933,20.333,4275,1.933
174,4542,3.967,40,4542,2.05
182,4848,3.7,19.333,4848,1.983
190,5103,3.7,19.333,5103,1.983
198,5424,4.933,20.333,5424,1.933
206,5641,4.933,20.333,5641,1.933
214,5914,-3.167,0.667,5914,-1.25
218,6059,1.633,-36.667,6059,0.1
222,6225,1,-99,6225,-0.1
226,6337,0.267,19,6337,-1.083
230,6451,-2.4,-96.333,6451,-1.433
234,6601,0.5,28.333,6601,-0.7
238,6725,-2.4,-96.333,6725,-1.433
242,6821,1.667,-84.333,6821,-0.467
246,6926,0.267,-74,6926,-0.683
254,7171,0.267,-74,7171,-0.683
262,7340,0.5,41.667,7340,-0.817
270,7479,-0.533,173,7479,-1.067
278,7604,-4.7,-151.333,7604,-2
286,7748,2.267,80.333,7748,-0.283
294,7916,1,209.667,7916,-0.717
302,8066,2.4,311,8066,0.883
310,8251,3.733,295.333,8251,0.65
318,8402,0.5,41.667,8402,-0.817
326,8540,3.533,336.333,8540,0.333
334,8748,0.5,41.667,8748,-0.817
342,9039,4.1,468.333,9039,0.9
356,9425,1.7,-30.333,9425,-0.9
364,9495,3.6,125,9495,0.367
372,9546,3.2,181,9546,0.5
380,9603,1.7,-30.333,9603,-0.9
396,9807,2.033,-66.333,9807,0.167
404,9918,1.667,-84.333,9918,-0.467
412,10033,3.667,134.667,NA,NA
420,10097,1.867,303,NA,NA
428,10164,1.667,-84.333,NA,NA
432,10197,0.833,-113,NA,NA
436,10228,1.667,-84.333,NA,NA
440,10258,2.933,79.667,NA,NA
444,10290,3.533,336.333,NA,NA
452,10366,-0.667,-117.667,NA,NA
456,10420,2.167,88,NA,NA
460,10483,1.033,8.667,NA,NA
464,10543,-2.2,4.667,NA,NA
468,10592,-1.2,-33.667,NA,NA
472,10633,-0.167,-57.333,NA,NA
476,10672,-1.2,-33.667,NA,NA
480,10712,-1.2,-33.667,NA,NA
484,10756,-0.167,-57.333,NA,NA
488,10818,-4.633,-316.667,NA,NA
492,11026,0,-46.333,NA,NA
496,11091,1.667,-70,NA,NA
500,11130,3.167,147.667,NA,NA
502,11146,0.3,19,NA,NA
503,11154,2.533,74.333,NA,NA
505,11168,0.267,47.667,NA,NA
511,11209,-1.567,-204.667,NA,NA
512,11216,1.833,50.333,NA,NA
515,11235,6.533,-34,NA,NA
516,11242,0.933,-47,NA,NA
518,11256,6.533,-34,NA,NA
520,11269,6.533,-34,NA,NA
524,11300,10.8,46,NA,NA
528,11334,8.433,96,NA,NA
