depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
65,Carbon-14,108606,110,2600,Gyttja,NA
121.5,Carbon-14,108607,110,4010,Gyttja,NA
204,Carbon-14,108608,170,6100,Gyttja,NA
268.5,Carbon-14,108609,110,8250,Gyttja,NA
305,Carbon-14,108610,260,8850,Gyttja,NA
320.5,Carbon-14,108611,400,10000,Gyttja,NA
