age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note (),rejected_dates ()
-45,0,0,0,NA,NA,NA,NA,0,2,NA,NA,2,NA
NA,26.5,280,250,440,75,624,320,30,1,1,2,NA,NA
NA,59,600,580,1270,90,1333,997,20,1,2,3,NA,NA
NA,89,900,880,2270,105,2682,2042,20,1,3,3,NA,NA
NA,108.5,1100,1070,2570,75,2832,2388,30,1,10,4,NA,NA
NA,115,1160,1140,3940,105,4797,4099,20,1,4,8,1,1
NA,145,1460,1440,3695,70,4283,3865,20,1,5,7,NA,NA
NA,179,1800,1780,4790,70,5704,5336,20,1,6,7,NA,NA
NA,200,2010,1990,5475,85,6452,6024,20,1,7,7,NA,NA
NA,239,2420,2360,6760,80,7744,7452,60,1,8,6,NA,NA
NA,265,2670,2630,8270,100,9433,8985,40,1,11,1,NA,NA
NA,279,2800,2780,8880,230,10351,9413,20,1,9,5,NA,NA
