depth (missing),year (AD),age (BP),depth (unknown),temperature (degC),TEX86 (missing)
0.17,1870,80,0.11,0.21,0.283
0.27,1816,134,0.21,0.37,0.286
0.37,1761,189,0.31,0.21,0.283
0.47,1707,243,0.41,0.36,0.285
0.67,1600,350,0.61,1.88,0.308
0.77,1547,403,0.71,2.39,0.316
0.87,1494,456,0.81,2.72,0.321
0.97,1442,508,0.91,4.59,0.349
1.17,1338,612,1.11,4.64,0.349
1.27,1286,664,1.21,2.3,0.315
1.37,1235,715,1.31,-0.45,0.273
1.56,1139,811,1.5,3.49,0.332
1.67,1083,867,1.61,4.82,0.352
1.77,1033,917,1.71,2.09,0.311
1.87,984,966,1.81,3.53,0.333
1.97,934,1016,1.91,3.24,0.329
2.17,837,1113,2.11,4.84,0.353
2.27,788,1162,2.21,3.69,0.335
2.37,740,1210,2.31,3.42,0.331
2.47,692,1258,2.41,5.06,0.356
2.67,598,1352,2.61,4.17,0.343
2.77,551,1399,2.71,5.15,0.357
2.87,504,1446,2.81,3.08,0.326
3.06,416,1534,3,0.59,0.289
3.17,366,1584,3.11,3.78,0.337
3.27,320,1630,3.21,4.62,0.349
3.37,275,1675,3.31,1.13,0.297
3.67,140,1810,3.61,0.03,0.28
3.77,96,1854,3.71,0.95,0.294
3.87,52,1898,3.81,0.1,0.281
3.97,8,1942,3.91,1.03,0.295
4.17,-78,2028,4.11,1.08,0.296
4.37,-164,2114,4.31,0.45,0.287
4.47,-206,2156,4.41,1.18,0.298
4.62,-270,2220,4.56,0.88,0.293
4.82,-353,2303,4.76,2.84,0.323
5.12,-476,2426,5.06,1.89,0.308
5.32,-558,2508,5.26,0.15,0.282
5.52,-638,2588,5.46,2.14,0.312
5.62,-678,2628,5.56,-0.42,0.274
5.95,-807,2757,5.89,0.47,0.287
7.12,-1249,3199,6.26,3.88,0.338
7.32,-1322,3272,6.46,1.73,0.306
7.62,-1430,3380,6.76,-0.46,0.273
7.82,-1502,3452,6.96,1.59,0.304
8.02,-1572,3522,7.16,3.48,0.332
8.22,-1642,3592,7.36,2.57,0.319
8.87,-1865,3815,8.01,1.44,0.301
9.17,-1965,3915,8.31,2.34,0.315
9.47,-2065,4015,8.61,1.25,0.299
9.77,-2163,4113,8.91,2.49,0.317
10.02,-2244,4194,9.16,2.81,0.322
10.22,-2308,4258,9.36,3.15,0.327
10.42,-2372,4322,9.56,2.71,0.321
10.62,-2436,4386,9.76,1.5,0.302
10.82,-2499,4449,9.96,6.35,0.375
10.82,-2499,4449,9.96,6.07,0.371
11.02,-2561,4511,10.16,1.26,0.299
11.17,-2608,4558,10.31,1.01,0.295
11.42,-2685,4635,10.56,2.29,0.314
11.82,-2808,4758,10.96,1.95,0.309
12.42,-2990,4940,11.56,0.8,0.292
12.62,-3050,5000,11.76,1.25,0.299
12.82,-3110,5060,11.96,1.57,0.303
12.82,-3110,5060,11.96,1.78,0.307
13.07,-3184,5134,12.21,0.05,0.281
13.37,-3273,5223,12.51,1.43,0.301
13.67,-3362,5312,12.81,2.09,0.311
14.27,-3538,5488,13.41,1.66,0.305
14.52,-3611,5561,13.66,5.11,0.357
14.82,-3699,5649,13.96,3.51,0.333
14.92,-3728,5678,14.06,3.48,0.332
15.22,-3816,5766,14.36,1.49,0.302
15.72,-3962,5912,14.86,1.69,0.305
15.97,-4035,5985,15.11,0.99,0.295
17.48,-4481,6431,15.96,2.84,0.323
17.58,-4511,6461,16.06,3.94,0.339
19.13,-4982,6932,17.61,3.16,0.327
20.08,-5280,7230,18.56,1.76,0.306
20.68,-5474,7424,19.16,2.57,0.319
20.78,-5507,7457,19.26,1.41,0.301
21.63,-5790,7740,20.11,2.07,0.311
21.83,-5858,7808,20.31,-0.15,0.278
22.63,-6137,8087,21.11,3.6,0.334
22.78,-6191,8141,21.26,3.74,0.336
23.23,-6354,8304,21.71,2.81,0.322
23.58,-6483,8433,22.06,2.33,0.315
23.83,-6577,8527,22.31,6.78,0.382
24.13,-6691,8641,22.61,4.63,0.349
24.28,-6748,8698,22.76,0.22,0.283
24.63,-6885,8835,23.11,1.6,0.304
29.49,-7064,9014,27.31,4.63,0.349
30.24,-7187,9137,28.06,6.01,0.37
30.99,-7309,9259,28.81,5.84,0.368
31.44,-7383,9333,29.26,0.33,0.285
31.89,-7457,9407,29.71,2.08,0.311
32.09,-7489,9439,29.91,7.9,0.398
32.39,-7538,9488,30.21,2.11,0.312
32.39,-7538,9488,30.21,2.6,0.319
32.69,-7588,9538,30.51,4.34,0.345
33.39,-7702,9652,31.21,3.87,0.338
33.59,-7735,9685,31.41,6.72,0.381
33.79,-7768,9718,31.61,2.83,0.323
34.09,-7817,9767,31.91,4.7,0.35
34.39,-8263,10213,32.21,4.56,0.348
34.84,-8347,10297,32.66,5.88,0.368
35.14,-8402,10352,32.96,2.8,0.322
35.74,-8514,10464,33.56,2.76,0.321
35.99,-8561,10511,33.81,2.33,0.315
36.19,-8598,10548,34.01,3.55,0.333
36.95,-8739,10689,35.21,2.78,0.322
37.35,-8814,10764,35.61,7.92,0.399
37.55,-8851,10801,35.81,10.24,0.434
38.35,-9000,10950,36.61,3.38,0.331
38.8,-9084,11034,37.06,4.81,0.352
39.55,-9223,11173,37.81,7.94,0.399
40.25,-9353,11303,38.51,6.14,0.372
40.55,-9409,11359,38.81,3.12,0.327
40.65,-9428,11378,38.91,5,0.355
41.1,-9511,11461,39.36,4.87,0.353
41.65,-9614,11564,39.91,4.32,0.345
41.9,-9660,11610,40.16,6.84,0.383
42.1,-9698,11648,40.36,9.3,0.419
42.35,-9744,11694,40.61,8.68,0.41
42.55,-9781,11731,40.81,3.4,0.331
42.65,-9800,11750,40.91,3.55,0.333
42.75,-9819,11769,41.01,9.95,0.429
