depth (m),TOC (percent),CaCO3 (percent),depth (m),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),temperature (degC),temperatureComposite (degC),Uk37 (missing),depth (m),DBD (g_cm3)
0.05,1.03,11.92,0.2,NA,NA,2.82,0.04,NA,NA,2.82,0.005,-2.57,0.92,0.225,700,0.065,0,14,27,26.8,2.127,0.929,0.237,0.48
0.1,0.93,13.64,0.3,NA,NA,2.15,0.15,NA,NA,2.15,0.015,-2.42,0.91,0.475,1010,0.025,0.09,174,27.1,26.9,2.227,0.932,0.745,0.56
0.15,0.88,13.58,0.4,NA,NA,NA,NA,2.88,-1.03,2.88,0.025,-2.7,1.28,1.005,2350,0.075,0.17,326,26.9,26.7,2.027,0.925,1.08,0.5
0.2,1.02,12.39,0.5,NA,NA,2.75,0.12,2.99,-1.42,2.87,0.035,-2.35,1.28,1.015,2010,0.04,0.21,396,26.9,26.7,2.027,0.926,1.365,0.57
0.25,1,13.5,0.7,NA,NA,2.68,0.15,NA,NA,2.68,0.045,-2.48,1.18,1.125,2470,0.08,0.27,492,27.1,27,2.277,0.933,1.665,0.54
0.3,1.07,14.06,0.8,NA,NA,2.79,0.1,NA,NA,2.79,0.055,-2.54,1.45,1.145,2190,0.03,0.37,635,26.9,26.8,2.077,0.927,2.035,0.63
0.35,1.14,13.58,0.98,NA,NA,2.91,0.13,NA,NA,2.91,0.065,-2.4,1.28,1.585,2820,0.03,0.47,785,26.8,26.7,1.977,0.924,2.465,0.55
0.4,1.01,13.78,1.1,NA,NA,2.66,0.05,2.94,-0.99,2.8,0.075,-2.66,1.49,1.745,3160,0.03,0.57,967,27.1,26.9,2.227,0.931,2.975,0.55
0.45,1.11,13.75,1.2,2.76,0.27,2.62,0.14,NA,NA,2.69,0.085,-2.525,1.355,2.325,4010,0.043,0.67,1178,27.1,27,2.277,0.934,3.825,0.65
0.5,0.96,13.16,1.3,NA,NA,2.87,0.18,NA,NA,2.87,0.095,-2.38,1.4,2.525,4660,0.065,0.75,1357,27,26.8,2.127,0.928,4.685,0.65
0.55,0.97,12.92,1.4,NA,NA,2.73,0.26,NA,NA,2.73,0.105,-2.555,1.475,2.605,4350,0.035,0.83,1539,26.9,26.7,2.027,0.925,5.64,0.66
0.6,0.88,12.48,1.5,2.67,0.24,2.92,0.1,NA,NA,2.795,0.115,-2.55,1.35,2.625,4670,0.06,0.93,1759,27,26.8,2.127,0.928,6.36,0.65
0.65,0.96,13,1.6,NA,NA,3.03,-0.01,NA,NA,3.03,0.125,-2.465,1.465,3.325,5830,0.075,0.99,1882,27,26.8,2.127,0.929,6.535,0.65
0.7,0.82,13.99,1.7,NA,NA,2.6,0.16,NA,NA,2.6,0.135,-2.56,1.4,3.345,5705,0.045,1.09,2064,26.5,26.4,1.677,0.915,6.895,0.69
0.75,0.96,12.92,1.8,NA,NA,2.74,0.19,NA,NA,2.74,0.145,-2.625,1.36,3.725,5930,0.065,1.19,2221,26.9,26.7,2.027,0.926,7.575,0.75
0.8,0.81,14.02,1.9,NA,NA,2.79,0.07,NA,NA,2.79,0.155,-2.51,1.46,4.305,7510,0.06,1.27,2337,26.7,26.5,1.827,0.919,NA,NA
0.85,1.01,12.67,1.98,NA,NA,2.8,0.15,NA,NA,2.8,0.165,-2.335,1.185,4.325,7810,0.06,1.34,2438,26.9,26.7,2.027,0.925,NA,NA
0.9,0.78,13.2,2.1,NA,NA,2.81,-0.01,NA,NA,2.81,0.175,-2.76,1.58,4.365,7620,0.05,1.41,2541,26.8,26.6,1.927,0.922,NA,NA
0.95,0.97,13.83,2.2,2.83,0.34,NA,NA,NA,NA,2.83,0.185,-2.71,1.68,5.025,8650,0.08,1.49,2671,26.5,26.4,1.677,0.915,NA,NA
0.98,0.85,16.18,2.3,NA,NA,2.76,0,NA,NA,2.76,0.205,-2.75,1.47,5.065,8590,0.09,1.57,2819,26.6,26.4,1.727,0.917,NA,NA
1.05,1.01,15,2.4,NA,NA,NA,NA,2.76,-0.88,2.76,0.215,-2.79,1.4,6.205,9540,0.065,1.63,2945,26.9,26.7,2.027,0.926,NA,NA
1.1,0.77,12.01,2.6,NA,NA,2.7,0.12,NA,NA,2.7,0.225,-2.54,1.47,6.225,9810,0.11,1.71,3127,26.6,26.5,1.777,0.917,NA,NA
1.15,0.93,13.33,2.7,2.91,0.24,NA,NA,NA,NA,2.91,0.245,-2.56,1.39,6.505,10030,0.06,1.77,3263,26.8,26.7,1.977,0.924,NA,NA
1.2,0.81,14.62,2.8,NA,NA,2.8,0.04,3.06,-1.4,2.93,0.265,-2.44,1.28,6.525,9870,0.1,1.9,3538,26.9,26.7,2.027,0.926,NA,NA
1.25,0.88,14.83,2.9,2.76,0.2,2.93,-0.19,NA,NA,2.845,0.275,-2.67,1.65,7.225,11280,0.11,1.99,3717,26.6,26.4,1.727,0.916,NA,NA
1.3,0.87,NA,2.98,NA,NA,2.63,-0.12,NA,NA,2.63,0.285,-2.73,1.52,7.925,13090,0.14,2.07,3872,26.7,26.5,1.827,0.918,NA,NA
1.35,0.88,13.92,3.1,NA,NA,2.79,0.04,NA,NA,2.79,0.295,-2.83,1.57,8.425,13960,0.154,2.17,4065,26.7,26.5,1.827,0.919,NA,NA
