year (AD),age (BP),depth (cm),logSalinity (g)
1873.716,76.284,12,3.081
1851.99,98.01,14,3.77
1830.303,119.697,16,4.362
1808.655,141.345,18,3.822
1787.045,162.955,20,4.422
1765.472,184.528,22,4.421
1743.937,206.063,24,4.447
1700.975,249.025,28,3.854
1679.547,270.453,30,4.438
1658.155,291.845,32,4.327
1636.797,313.203,34,4.451
1615.473,334.527,36,4.273
1594.182,355.818,38,2.895
1572.924,377.076,40,3.358
1551.698,398.302,42,2.996
1530.504,419.496,44,3.547
1509.342,440.658,46,4.171
1488.21,461.79,48,3.359
1467.108,482.892,50,3.241
1446.036,503.964,52,4.377
1424.993,525.007,54,3.875
1403.978,546.022,56,4.395
1382.992,567.008,58,3.97
1362.033,587.967,60,2.494
1341.101,608.899,62,4.178
1320.196,629.804,64,4.053
1299.317,650.683,66,4.118
1278.463,671.537,68,3.415
1257.634,692.366,70,4.081
1236.829,713.171,72,4.027
1216.048,733.952,74,4.096
1195.29,754.71,76,4.147
1174.556,775.444,78,4.053
1153.843,796.157,80,4.257
1133.152,816.848,82,4.089
1112.482,837.518,84,4.396
1091.833,858.167,86,3.531
1071.205,878.795,88,3.801
1050.595,899.405,90,4.392
1030.005,919.995,92,4.319
1009.433,940.567,94,4.421
988.88,961.12,96,4.106
958.082,991.918,100,4.239
947.824,1002.176,102,4.1
927.322,1022.678,104,4.206
906.835,1043.165,106,2.72
886.363,1063.637,108,3.738
865.907,1084.093,110,4.073
845.464,1104.536,112,4.151
825.036,1124.964,114,3.684
804.62,1145.38,116,3.776
784.218,1165.782,118,4.108
763.827,1186.173,120,4.104
743.449,1206.551,122,3.675
723.081,1226.919,124,4.29
702.724,1247.276,126,4.396
682.377,1267.623,128,4.517
662.04,1287.96,130,3.448
641.711,1308.289,132,4.421
621.391,1328.609,134,3.856
601.079,1348.921,136,3.888
580.775,1369.225,138,3.8
560.477,1389.523,140,4.263
540.186,1409.814,142,4.408
519.901,1430.099,144,3.223
499.621,1450.379,146,3.088
479.345,1470.655,148,3.97
459.074,1490.926,150,3.794
438.807,1511.193,152,4.515
418.543,1531.457,154,4.536
398.282,1551.718,156,4.448
378.022,1571.978,158,4.12
357.765,1592.235,160,4.113
337.508,1612.492,162,4.428
317.252,1632.748,164,4.46
296.996,1653.004,166,4.451
276.739,1673.261,168,4.098
256.482,1693.518,170,4.028
236.223,1713.777,172,4.413
215.962,1734.038,174,4.122
195.698,1754.302,176,4.47
175.431,1774.569,178,4.552
155.16,1794.84,180,4.475
134.885,1815.115,182,4.326
114.606,1835.394,184,4.492
94.321,1855.679,186,3.942
74.03,1875.97,188,4.222
53.733,1896.267,190,3.215
33.429,1916.571,192,4.339
13.118,1936.882,194,4.642
-7.201,1957.201,196,4.535
-27.529,1977.529,198,4.576
-47.865,1997.865,200,4.443
-68.211,2018.211,202,4.376
-88.568,2038.568,204,4.523
-108.934,2058.934,206,4.478
-129.312,2079.312,208,4.439
-149.701,2099.701,210,4.401
-170.103,2120.103,212,4.455
-190.517,2140.517,214,4.211
-210.944,2160.944,216,4.541
-231.385,2181.385,218,4.43
-251.841,2201.841,220,4.576
-272.311,2222.311,222,4.338
-292.796,2242.796,224,4.394
-313.298,2263.298,226,4.545
-333.815,2283.815,228,4.554
-354.35,2304.35,230,4.559
-374.902,2324.902,232,4.637
-395.472,2345.472,234,4.485
-416.061,2366.061,236,4.604
-436.668,2386.668,238,4.405
-457.295,2407.295,240,4.565
-477.942,2427.942,242,4.571
-498.61,2448.61,244,4.443
-519.299,2469.299,246,4.537
-540.01,2490.01,248,4.329
-560.742,2510.742,250,4.526
-581.498,2531.498,252,4.494
-602.277,2552.277,254,4.55
-623.079,2573.079,256,4.456
-643.906,2593.906,258,4.428
-664.758,2614.758,260,4.362
-685.635,2635.635,262,4.381
-706.538,2656.538,264,4.515
-727.467,2677.467,266,4.495
-748.424,2698.424,268,4.563
-769.408,2719.408,270,4.46
-790.42,2740.42,272,4.498
-811.46,2761.46,274,4.52
-832.529,2782.529,276,4.418
-853.629,2803.629,278,4.308
-874.758,2824.758,280,4.39
-895.918,2845.918,282,4.532
-917.109,2867.109,284,4.369
-938.332,2888.332,286,4.342
-959.587,2909.587,288,4.352
-980.875,2930.875,290,4.58
