depth (cm),age (BP),temperature (degC)
834,-82.08,13.988
836,-60.16,14.243
840,-10.03,14.302
844,40.24,14.325
848,90.72,14.559
852,141.52,13.841
856,192.72,14.018
860,244.42,14.244
864,296.7,13.907
868,349.67,14.102
872,403.4,14.306
876,457.99,14.33
880,513.54,13.92
884,570.13,14.623
888,627.85,13.761
892,686.81,14.453
896,747.08,14.129
900,808.76,14.999
904,871.94,14.344
908,936.7,14.501
912,1003.13,14.676
916,1071.32,14.188
920,1141.34,14.696
924,1213.29,14.094
928,1287.26,14.277
932,1363.32,14.737
936,1441.56,15.249
940,1522.08,14.606
944,1604.94,14.98
948,1690.25,14.607
952,1778.03,14.33
956,1868.28,14.909
960,1961,14.982
964,2056.19,14.579
968,2153.84,14.437
972,2253.95,13.999
976,2356.51,14.237
980,2461.51,14.889
984,2568.92,14.752
988,2678.73,14.288
992,2790.92,13.807
996,2905.48,15.084
1000,3022.39,14.713
1004,3141.61,15.437
1008,3263.12,15.611
1012,3386.86,14.906
1016,3512.8,15.204
1020,3640.9,14.703
1024,3771.12,14.87
1028,3903.41,15.171
1032,4037.74,14.905
1036,4174.06,14.881
1040,4312.35,15.452
1044,4452.54,15.303
1048,4594.62,15.382
1052,4738.52,14.861
1056,4884.22,14.886
1060,5031.62,15.122
1064,5180.62,15.367
1068,5331.12,14.79
1072,5483.02,14.97
1076,5636.2,15.195
1080,5790.58,15.456
1084,5946.04,15.283
1088,6102.49,15.317
1092,6259.82,15.168
1096,6417.92,15.131
1100,6576.7,15.553
1104,6736.08,14.99
1108,6896.01,14.846
1112,7056.47,15.122
1116,7217.43,14.932
1120,7378.87,14.051
1124,7540.74,14.055
1128,7703.04,14.599
1132,7865.71,13.984
1136,8028.75,15.028
1140,8192.11,14.533
1144,8355.77,14.387
1148,8519.71,14.182
1152,8683.88,13.908
1154,8766.05,14.295
1156,8848.27,14.458
1158,8930.53,13.626
