year (AD) [1-1],depth (cm) [1-1],temperature (permil) [1-1],Mg/Ca (degC) [1-1],temperature (permil) [1-1],d18O (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],d18O (degC) [3-1]
1830,1,0.27,28.18,-2.43,4.48,1835,28.18,1835,28.178
1660,3,0.28,28.08,-2.4,4.44,1660,28.08,1659.898,28.085
1530,4.5,NA,NA,-2.46,NA,1441,28.76,1441.02,28.758
1440,5.5,NA,28.76,NA,4.72,1353,28.05,1353.469,28.052
1350,6.5,0.55,27.65,-2.12,4.27,1266,28.64,1265.918,28.644
1270,7.5,0.8,28.64,-2,4.67,1178,29.24,1178.367,29.237
1180,8.5,0.63,29.24,-2.3,4.93,1091,27.89,1090.816,27.894
1090,9.5,0.47,27.89,-2.18,4.37,1003,27.81,1003.265,27.811
1000,10.5,NA,27.81,NA,4.34,916,27.93,915.714,27.931
920,11.5,0.39,27.93,-2.26,4.38,828,28.55,828.163,28.546
830,12.5,0.38,28.55,-2.4,4.63,741,27.87,740.612,27.867
740,13.5,NA,27.87,NA,4.36,653,28.77,653.061,28.774
650,14.5,0.38,28.77,-2.45,4.73,566,29.13,565.51,29.125
570,15.5,NA,29.13,NA,4.88,478,28.2,477.959,28.197
480,16.5,0.29,28.2,-2.42,4.49,390,28.97,390.408,28.968
390,17.5,0.53,28.97,-2.33,4.81,303,28.42,302.857,28.421
300,18.5,0.35,28.42,-2.41,4.58,NA,NA,215.306,28.342
220,19.5,0.48,28.34,-2.26,4.55,NA,NA,127.755,28.955
130,20.5,0.55,28.95,-2.32,4.81,NA,NA,40.204,27.459
40,21.5,0.09,27.46,-2.46,4.2,NA,NA,-47.347,28.491
-50,22.5,0.36,28.49,-2.41,4.61,NA,NA,-134.898,28.181
-130,23.5,0.36,28.18,-2.34,4.48,NA,NA,-222.449,27.848
-220,24.5,0.29,27.85,-2.34,4.35,NA,NA,-310,28.719
-310,25.5,0.41,28.72,-2.4,4.7,NA,NA,NA,NA
-490,26.5,0.3,28.46,-2.47,4.6,NA,NA,NA,NA
-680,27.5,0.42,27.34,-2.11,4.15,NA,NA,NA,NA
-860,28.5,0.26,28.12,-2.43,4.46,NA,NA,NA,NA
-1050,29.5,0.15,28.31,-2.58,4.54,NA,NA,NA,NA
-1230,30.5,0.21,28.24,-2.51,4.51,NA,NA,NA,NA
-1410,31.5,NA,27.73,NA,4.3,NA,NA,NA,NA
-1600,32.5,0.47,28.49,-2.3,4.61,NA,NA,NA,NA
-1780,33.5,0.35,28.77,-2.48,4.73,NA,NA,NA,NA
-1960,34.5,NA,28.41,NA,4.58,NA,NA,NA,NA
-2150,35.5,0.49,28.91,-2.36,4.79,NA,NA,NA,NA
-2330,36.5,NA,28.49,NA,4.61,NA,NA,NA,NA
-2520,37.5,0.36,28.46,-2.4,4.6,NA,NA,NA,NA
-2700,38.5,0.35,27.49,-2.21,4.21,NA,NA,NA,NA
-2880,39.5,0.45,28.55,-2.33,4.63,NA,NA,NA,NA
-3070,40.5,0.31,28.42,-2.45,4.58,NA,NA,NA,NA
-3250,41.5,0.36,28.92,-2.49,4.79,NA,NA,NA,NA
-3430,42.5,0.42,28.87,-2.42,4.77,NA,NA,NA,NA
-3620,43.5,0.31,28.71,-2.51,4.7,NA,NA,NA,NA
-3800,44.5,0.32,28.82,-2.51,4.75,NA,NA,NA,NA
-3990,45.5,0.28,28.64,-2.52,4.67,NA,NA,NA,NA
-4170,46.5,0.24,28.15,-2.46,4.47,NA,NA,NA,NA
-4350,47.5,0.26,29.05,-2.51,4.84,NA,NA,NA,NA
-4540,48.5,0.46,28.34,-2.27,4.55,NA,NA,NA,NA
-4720,49.5,0.38,28.45,-2.38,4.59,NA,NA,NA,NA
-4830,50.5,0.56,28.95,-2.31,4.8,NA,NA,NA,NA
-4940,51.5,0.55,28.64,-2.25,4.67,NA,NA,NA,NA
-5050,52.5,0.55,28.83,-2.29,4.75,NA,NA,NA,NA
-5160,53.5,0.55,28.72,-2.27,4.7,NA,NA,NA,NA
-5280,54.5,0.64,28.77,-2.18,4.73,NA,NA,NA,NA
-5390,55.5,0.54,28.57,-2.24,4.64,NA,NA,NA,NA
-5500,56.5,0.49,28.68,-2.32,4.69,NA,NA,NA,NA
-5610,57.5,0.5,28.87,-2.35,4.77,NA,NA,NA,NA
-5720,58.5,0.58,28.63,-2.22,4.66,NA,NA,NA,NA
-5830,59.5,0.65,29.01,-2.23,4.83,NA,NA,NA,NA
-5940,60.5,0.74,29.12,-2.16,4.88,NA,NA,NA,NA
-6050,61.5,0.44,28.83,-2.4,4.75,NA,NA,NA,NA
-6160,62.5,0.49,28.23,-2.22,4.5,NA,NA,NA,NA
-6280,63.5,0.69,28.77,-2.14,4.73,NA,NA,NA,NA
-6390,64.5,0.48,28.83,-2.36,4.75,NA,NA,NA,NA
-6500,65.5,0.74,29.09,-2.15,4.86,NA,NA,NA,NA
-6610,66.5,0.62,28.87,-2.23,4.77,NA,NA,NA,NA
-6720,67.5,0.59,28.67,-2.22,4.69,NA,NA,NA,NA
-6830,68.5,0.76,28.62,-2.04,4.66,NA,NA,NA,NA
-6940,69.5,0.65,28.93,-2.21,4.79,NA,NA,NA,NA
-7050,70.5,0.21,27.82,-2.37,4.34,NA,NA,NA,NA
-7160,71.5,0.9,28.97,-1.96,4.81,NA,NA,NA,NA
-7280,72.5,0.59,29,-2.29,4.83,NA,NA,NA,NA
-7390,73.5,0.82,29.03,-2.06,4.84,NA,NA,NA,NA
-7500,74.5,0.59,28.3,-2.13,4.53,NA,NA,NA,NA
-7610,75.5,0.7,28.63,-2.1,4.67,NA,NA,NA,NA
-7720,76.5,0.68,27.78,-1.95,4.32,NA,NA,NA,NA
-7830,77.5,0.79,28.25,-1.93,4.51,NA,NA,NA,NA
-7940,78.5,0.86,28.27,-1.87,4.52,NA,NA,NA,NA
-8050,79.5,0.69,28.02,-1.98,4.42,NA,NA,NA,NA
-8160,80.5,1.06,28.27,-1.67,4.52,NA,NA,NA,NA
-8280,81.5,0.8,28.75,-2.03,4.72,NA,NA,NA,NA
-8390,82.5,0.82,27.73,-1.79,4.3,NA,NA,NA,NA
-8500,83.5,0.99,28.82,-1.84,4.75,NA,NA,NA,NA
-8610,84.5,0.47,28.43,-2.29,4.58,NA,NA,NA,NA
-8720,85.5,0.97,28.56,-1.82,4.64,NA,NA,NA,NA
-8780,86.5,0.78,28.86,-2.06,4.76,NA,NA,NA,NA
-8850,87.5,NA,NA,-1.75,NA,NA,NA,NA,NA
-8910,88.5,1.15,28.19,-1.55,4.49,NA,NA,NA,NA
-8980,89.5,1.25,28.5,-1.52,4.61,NA,NA,NA,NA
-9040,90.5,1.16,29.48,-1.49,5.04,NA,NA,NA,NA
-9100,91.5,1.42,28.14,-1.28,4.47,NA,NA,NA,NA
-9170,92.5,1.38,28.55,-1.41,4.63,NA,NA,NA,NA
-9230,93.5,1.57,28.65,-1.23,4.67,NA,NA,NA,NA
-9300,94.5,1.53,28.07,-1.15,4.44,NA,NA,NA,NA
-9360,95.5,1.33,28.15,-1.37,4.47,NA,NA,NA,NA
-9420,96.5,0.9,28.2,-1.81,4.49,NA,NA,NA,NA
-9490,97.5,1.11,29.31,-1.59,4.96,NA,NA,NA,NA
-9550,98.5,1.29,28.25,-1.43,4.51,NA,NA,NA,NA
-9610,99.5,1.37,28.16,-1.33,4.48,NA,NA,NA,NA
-9680,100.5,1.31,27.1,-1.28,4.07,NA,NA,NA,NA
-9740,101.5,1.47,28.09,-1.21,4.45,NA,NA,NA,NA
-9810,102.5,1.26,27.69,-1.35,4.29,NA,NA,NA,NA
-9870,103.5,1.4,27.18,-1.09,4.1,NA,NA,NA,NA
-9930,104.5,1.25,27.6,-1.33,4.25,NA,NA,NA,NA
-10000,105.5,1.39,27.67,-1.21,4.28,NA,NA,NA,NA
-10060,106.5,1.03,28.01,-1.64,4.41,NA,NA,NA,NA
