year (AD),age (BP),temperature (degC)
2002.909,-52.909,0.271
2000.08,-50.08,0.156
1997.252,-47.252,0.048
1994.422,-44.422,-0.044
1991.594,-41.594,-0.107
1988.765,-38.765,-0.13
1985.936,-35.936,-0.103
1983.107,-33.107,-0.022
1980.278,-30.278,0.111
1977.449,-27.449,0.285
1974.62,-24.62,0.485
1971.791,-21.791,0.691
1968.962,-18.962,0.883
1966.133,-16.133,1.04
1963.304,-13.304,1.148
1960.475,-10.475,1.194
1957.646,-7.646,1.178
1954.817,-4.817,1.103
1951.988,-1.988,0.982
1949.159,0.841,0.831
1946.33,3.67,0.666
1943.501,6.499,0.5
1940.672,9.328,0.342
1937.843,12.157,0.192
1935.014,14.986,0.046
1932.186,17.814,-0.102
1929.357,20.643,-0.259
1926.528,23.472,-0.431
1923.699,26.301,-0.619
1920.87,29.13,-0.822
1918.041,31.959,-1.036
1915.212,34.788,-1.255
1912.383,37.617,-1.471
1909.554,40.446,-1.677
1906.725,43.275,-1.865
1903.896,46.104,-2.029
1901.067,48.933,-2.165
1898.238,51.762,-2.27
1895.409,54.591,-2.343
1892.58,57.42,-2.388
1889.751,60.249,-2.408
1886.922,63.078,-2.406
1884.093,65.907,-2.389
1881.264,68.736,-2.362
1878.435,71.565,-2.33
1875.606,74.394,-2.297
1872.777,77.223,-2.267
1869.948,80.052,-2.245
1867.12,82.88,-2.23
1864.291,85.709,-2.224
1861.462,88.538,-2.227
1858.633,91.367,-2.235
1855.804,94.196,-2.246
1852.975,97.025,-2.257
1850.146,99.854,-2.264
1847.317,102.683,-2.265
1844.488,105.512,-2.259
1841.659,108.341,-2.245
1838.83,111.17,-2.224
1836.001,113.999,-2.196
1833.172,116.828,-2.164
1830.343,119.657,-2.128
1827.514,122.486,-2.09
1824.685,125.315,-2.049
1821.856,128.144,-2.006
1819.027,130.973,-1.96
1816.198,133.802,-1.911
1813.369,136.631,-1.857
1810.54,139.46,-1.796
1807.711,142.289,-1.728
1804.882,145.118,-1.654
1802.053,147.946,-1.572
1799.225,150.775,-1.483
1796.396,153.604,-1.387
1793.567,156.433,-1.286
1790.738,159.262,-1.179
1787.909,162.091,-1.068
1785.08,164.92,-0.955
1782.251,167.749,-0.84
1779.422,170.578,-0.727
1776.593,173.407,-0.617
1773.764,176.236,-0.514
1770.935,179.065,-0.421
1768.106,181.894,-0.342
1765.277,184.723,-0.28
1762.448,187.552,-0.235
1759.619,190.381,-0.208
1756.79,193.21,-0.199
1753.961,196.039,-0.207
1751.132,198.868,-0.228
1748.303,201.697,-0.261
1745.474,204.526,-0.302
1742.645,207.355,-0.347
1739.816,210.184,-0.394
1736.987,213.012,-0.44
1734.159,215.841,-0.482
1731.33,218.67,-0.518
1728.501,221.499,-0.548
1725.672,224.328,-0.57
1722.843,227.157,-0.585
1720.014,229.986,-0.594
1717.185,232.815,-0.597
1714.356,235.644,-0.596
1711.527,238.473,-0.592
1708.698,241.302,-0.583
1705.869,244.131,-0.571
1703.04,246.96,-0.555
1700.211,249.789,-0.531
1697.382,252.618,-0.499
1694.553,255.447,-0.457
1691.724,258.276,-0.401
1688.895,261.105,-0.331
1686.066,263.934,-0.247
1683.237,266.763,-0.148
1680.408,269.592,-0.038
1677.579,272.421,0.079
1674.75,275.25,0.199
1671.921,278.079,0.314
1669.092,280.908,0.417
1666.264,283.736,0.503
1663.435,286.565,0.568
1660.606,289.394,0.61
1657.777,292.223,0.629
1654.948,295.052,0.629
1652.119,297.881,0.616
1649.29,300.71,0.594
1646.461,303.539,0.571
1643.632,306.368,0.55
1640.803,309.197,0.536
1637.974,312.026,0.53
1635.145,314.855,0.532
1632.316,317.684,0.541
1629.487,320.513,0.555
1626.658,323.342,0.57
1623.829,326.171,0.585
1621,329,0.597
1618.171,331.829,0.606
1615.342,334.658,0.613
1612.513,337.487,0.621
1609.684,340.316,0.634
1606.855,343.144,0.656
1604.026,345.974,0.691
1601.198,348.802,0.742
1598.369,351.631,0.807
1595.54,354.46,0.885
1592.711,357.289,0.971
1589.882,360.118,1.059
1587.053,362.947,1.141
1584.224,365.776,1.212
1581.395,368.605,1.263
1578.566,371.434,1.289
1575.737,374.263,1.289
1572.908,377.092,1.262
1570.079,379.921,1.211
1567.25,382.75,1.142
1564.421,385.579,1.064
1561.592,388.408,0.986
1558.763,391.237,0.916
1555.934,394.066,0.863
1553.105,396.895,0.832
1550.276,399.724,0.825
1547.447,402.553,0.843
1544.618,405.382,0.883
1541.79,408.211,0.943
1538.96,411.039,1.018
1536.132,413.868,1.103
1533.303,416.697,1.195
1530.474,419.526,1.29
1527.645,422.355,1.383
1524.816,425.184,1.475
1521.987,428.013,1.563
1519.158,430.842,1.648
1516.329,433.671,1.729
1513.5,436.5,1.803
1510.671,439.329,1.864
1507.842,442.158,1.902
1505.013,444.987,1.911
1502.184,447.816,1.882
1499.355,450.645,1.815
1496.526,453.474,1.714
1493.697,456.303,1.59
1490.868,459.132,1.454
1488.039,461.961,1.321
1485.21,464.79,1.2
1482.381,467.619,1.101
1479.552,470.448,1.025
1476.724,473.276,0.974
1473.895,476.106,0.947
1471.066,478.934,0.944
1468.237,481.763,0.964
1465.408,484.592,1.007
1462.579,487.421,1.073
1459.75,490.25,1.159
1456.921,493.079,1.259
1454.092,495.908,1.367
1451.263,498.737,1.472
1448.434,501.566,1.564
1445.605,504.395,1.634
1442.776,507.224,1.672
1439.947,510.053,1.672
1437.118,512.882,1.631
1434.289,515.711,1.551
1431.46,518.54,1.437
1428.631,521.369,1.299
1425.802,524.198,1.151
1422.973,527.027,1.007
1420.144,529.856,0.884
1417.315,532.685,0.793
1414.486,535.514,0.739
1411.658,538.342,0.724
1408.829,541.172,0.741
1405.999,544,0.78
1403.171,546.829,0.829
1400.342,549.658,0.874
1397.513,552.487,0.904
1394.684,555.316,0.911
1391.855,558.145,0.889
1389.026,560.974,0.836
1386.197,563.803,0.753
1383.368,566.632,0.643
1380.539,569.461,0.512
1377.71,572.29,0.367
1374.881,575.119,0.219
1372.052,577.948,0.079
1369.223,580.777,-0.043
1366.394,583.606,-0.138
1363.565,586.435,-0.197
1360.736,589.264,-0.216
1357.907,592.093,-0.196
1355.078,594.922,-0.141
1352.249,597.751,-0.056
1349.42,600.58,0.047
1346.591,603.409,0.16
1343.763,606.237,0.272
1340.934,609.067,0.377
1338.105,611.895,0.467
1335.276,614.724,0.54
1332.447,617.553,0.595
1329.618,620.382,0.631
1326.789,623.211,0.649
1323.96,626.04,0.649
1321.131,628.869,0.631
1318.302,631.698,0.594
1315.473,634.527,0.535
1312.644,637.356,0.453
1309.815,640.185,0.347
1306.986,643.014,0.217
1304.157,645.843,0.067
1301.328,648.672,-0.097
1298.499,651.501,-0.269
1295.67,654.33,-0.44
1292.841,657.159,-0.604
1290.012,659.988,-0.754
1287.183,662.817,-0.888
1284.354,665.646,-1.004
1281.525,668.475,-1.105
1278.697,671.303,-1.193
1275.868,674.133,-1.271
1273.039,676.961,-1.341
1270.21,679.79,-1.403
1267.381,682.619,-1.455
1264.552,685.448,-1.494
1261.723,688.277,-1.516
1258.894,691.106,-1.517
1256.065,693.935,-1.494
1253.236,696.764,-1.448
1250.407,699.593,-1.379
1247.578,702.422,-1.291
1244.749,705.251,-1.188
1241.92,708.08,-1.075
1239.091,710.909,-0.955
1236.262,713.738,-0.831
1233.433,716.567,-0.704
1230.604,719.396,-0.579
1227.775,722.225,-0.458
1224.946,725.054,-0.347
1222.117,727.883,-0.249
1219.288,730.712,-0.17
1216.459,733.54,-0.115
1213.63,736.37,-0.085
1210.802,739.198,-0.083
1207.973,742.027,-0.107
1205.144,744.856,-0.157
1202.315,747.685,-0.232
1199.486,750.514,-0.33
1196.657,753.343,-0.451
1193.828,756.172,-0.596
1190.999,759.001,-0.764
1188.17,761.83,-0.954
1185.341,764.659,-1.162
1182.512,767.488,-1.382
1179.683,770.317,-1.606
1176.854,773.146,-1.822
1174.025,775.975,-2.019
1171.196,778.804,-2.187
1168.367,781.633,-2.318
1165.538,784.462,-2.408
1162.709,787.291,-2.455
1159.88,790.12,-2.461
1157.051,792.949,-2.43
1154.222,795.778,-2.369
1151.393,798.606,-2.283
1148.564,801.436,-2.178
1145.736,804.264,-2.056
1142.907,807.093,-1.92
1140.078,809.922,-1.768
1137.249,812.751,-1.597
1134.42,815.58,-1.404
1131.591,818.409,-1.186
1128.762,821.238,-0.942
1125.933,824.067,-0.675
1123.104,826.896,-0.389
1120.275,829.725,-0.095
1117.446,832.554,0.198
1114.617,835.383,0.475
1111.788,838.212,0.727
1108.959,841.041,0.944
1106.13,843.87,1.121
1103.301,846.699,1.259
1100.472,849.528,1.361
1097.643,852.357,1.436
1094.814,855.186,1.494
1091.985,858.015,1.544
1089.156,860.844,1.595
1086.328,863.673,1.654
1083.498,866.501,1.723
1080.669,869.331,1.803
1077.841,872.159,1.889
1075.012,874.988,1.976
1072.183,877.817,2.058
1069.354,880.646,2.128
1066.525,883.475,2.182
1063.696,886.304,2.216
1060.867,889.133,2.231
1058.038,891.962,2.225
1055.209,894.791,2.202
1052.38,897.62,2.162
1049.551,900.449,2.108
1046.722,903.278,2.045
1043.893,906.107,1.974
1041.064,908.936,1.899
1038.235,911.765,1.824
1035.406,914.594,1.752
1032.577,917.423,1.684
1029.748,920.252,1.623
1026.919,923.081,1.569
1024.09,925.91,1.521
1021.261,928.739,1.481
1018.433,931.567,1.448
1015.604,934.396,1.423
1012.775,937.225,1.407
1009.946,940.054,1.402
1007.117,942.883,1.407
1004.288,945.712,1.423
1001.459,948.541,1.447
998.63,951.37,1.477
995.801,954.199,1.509
992.972,957.028,1.54
990.143,959.857,1.565
987.314,962.686,1.581
984.485,965.515,1.586
981.656,968.344,1.579
978.827,971.173,1.556
975.998,974.002,1.519
973.169,976.831,1.466
970.34,979.66,1.397
967.511,982.489,1.314
964.682,985.318,1.218
961.853,988.147,1.113
959.024,990.976,1.004
956.196,993.804,0.895
953.366,996.634,0.792
950.538,999.462,0.7
947.709,1002.291,0.623
944.88,1005.12,0.566
942.051,1007.949,0.53
939.222,1010.778,0.516
936.393,1013.607,0.523
933.564,1016.436,0.548
930.735,1019.265,0.59
927.906,1022.094,0.645
925.077,1024.923,0.709
922.248,1027.752,0.781
919.419,1030.581,0.858
916.59,1033.41,0.938
913.761,1036.239,1.019
910.932,1039.068,1.1
908.103,1041.897,1.176
905.274,1044.726,1.246
902.445,1047.555,1.308
899.616,1050.384,1.358
896.787,1053.213,1.395
893.958,1056.042,1.419
891.129,1058.871,1.429
888.301,1061.699,1.423
885.471,1064.528,1.404
882.643,1067.357,1.37
879.814,1070.186,1.321
876.985,1073.015,1.26
874.156,1075.844,1.188
871.327,1078.673,1.109
868.498,1081.502,1.026
865.669,1084.331,0.943
862.84,1087.16,0.864
860.011,1089.989,0.793
857.182,1092.818,0.73
854.353,1095.647,0.677
851.524,1098.476,0.634
848.695,1101.305,0.602
845.866,1104.134,0.581
843.037,1106.963,0.57
840.208,1109.792,0.569
837.379,1112.621,0.579
834.55,1115.45,0.597
831.721,1118.279,0.622
828.892,1121.108,0.65
826.063,1123.937,0.678
823.235,1126.765,0.702
820.405,1129.594,0.716
817.577,1132.423,0.717
814.748,1135.252,0.702
811.919,1138.081,0.67
809.09,1140.91,0.619
806.261,1143.739,0.552
803.432,1146.568,0.47
800.603,1149.397,0.375
797.774,1152.226,0.269
794.945,1155.055,0.152
792.116,1157.884,0.024
789.287,1160.713,-0.114
786.458,1163.542,-0.261
783.629,1166.371,-0.416
780.8,1169.2,-0.574
777.971,1172.029,-0.733
775.142,1174.858,-0.888
772.313,1177.687,-1.034
769.484,1180.516,-1.169
766.655,1183.345,-1.289
763.826,1186.174,-1.393
760.997,1189.003,-1.479
758.168,1191.832,-1.545
755.34,1194.66,-1.593
752.511,1197.489,-1.623
749.682,1200.318,-1.638
746.853,1203.147,-1.644
744.024,1205.976,-1.645
741.195,1208.805,-1.647
738.366,1211.634,-1.658
735.537,1214.463,-1.681
732.708,1217.292,-1.722
729.879,1220.121,-1.782
727.05,1222.95,-1.861
724.221,1225.779,-1.96
721.392,1228.608,-2.074
718.563,1231.437,-2.201
715.734,1234.266,-2.337
712.905,1237.095,-2.476
710.076,1239.924,-2.615
707.247,1242.753,-2.749
704.418,1245.582,-2.874
701.589,1248.411,-2.989
698.76,1251.24,-3.093
695.931,1254.069,-3.185
693.102,1256.898,-3.266
690.274,1259.726,-3.336
687.445,1262.555,-3.393
684.616,1265.384,-3.438
681.787,1268.213,-3.468
678.958,1271.042,-3.482
676.129,1273.871,-3.48
673.3,1276.7,-3.463
670.471,1279.529,-3.435
667.642,1282.358,-3.399
664.813,1285.187,-3.361
661.984,1288.016,-3.325
659.155,1290.845,-3.294
656.326,1293.674,-3.271
653.497,1296.503,-3.255
650.668,1299.332,-3.245
647.839,1302.161,-3.241
645.01,1304.99,-3.24
642.181,1307.819,-3.243
639.352,1310.648,-3.249
636.523,1313.477,-3.257
633.694,1316.306,-3.267
630.865,1319.135,-3.278
628.037,1321.964,-3.289
625.207,1324.793,-3.3
622.379,1327.621,-3.308
619.55,1330.45,-3.313
616.721,1333.279,-3.317
613.892,1336.108,-3.317
611.063,1338.937,-3.314
608.234,1341.766,-3.308
605.405,1344.595,-3.297
602.576,1347.424,-3.279
599.747,1350.253,-3.254
596.918,1353.082,-3.219
594.089,1355.911,-3.174
591.26,1358.74,-3.118
588.431,1361.569,-3.051
585.602,1364.398,-2.975
582.773,1367.227,-2.892
579.944,1370.056,-2.803
577.115,1372.885,-2.71
574.286,1375.714,-2.61
571.457,1378.543,-2.502
568.628,1381.372,-2.383
565.799,1384.201,-2.251
562.971,1387.03,-2.107
560.141,1389.859,-1.954
557.313,1392.687,-1.799
554.484,1395.516,-1.648
551.655,1398.345,-1.51
548.826,1401.174,-1.391
545.997,1404.003,-1.293
543.168,1406.832,-1.219
540.339,1409.661,-1.167
537.51,1412.49,-1.136
534.681,1415.319,-1.126
531.852,1418.148,-1.136
529.023,1420.977,-1.166
526.194,1423.806,-1.216
523.365,1426.635,-1.283
520.536,1429.464,-1.363
517.707,1432.293,-1.452
514.878,1435.122,-1.541
512.049,1437.951,-1.627
509.22,1440.78,-1.707
506.391,1443.609,-1.777
503.562,1446.438,-1.838
500.733,1449.267,-1.891
497.904,1452.095,-1.934
495.075,1454.925,-1.967
492.247,1457.753,-1.988
489.418,1460.582,-1.996
486.589,1463.411,-1.991
483.76,1466.24,-1.974
480.931,1469.069,-1.949
478.102,1471.898,-1.918
475.273,1474.727,-1.884
472.444,1477.556,-1.85
469.615,1480.385,-1.818
466.786,1483.214,-1.789
463.957,1486.043,-1.763
461.128,1488.872,-1.739
458.299,1491.701,-1.718
455.47,1494.53,-1.696
452.641,1497.359,-1.675
449.812,1500.188,-1.651
446.983,1503.017,-1.626
444.154,1505.846,-1.6
441.325,1508.675,-1.574
438.496,1511.504,-1.551
435.667,1514.333,-1.532
432.839,1517.161,-1.52
430.01,1519.991,-1.514
427.181,1522.819,-1.515
424.352,1525.648,-1.522
421.523,1528.477,-1.535
418.694,1531.306,-1.552
415.865,1534.135,-1.572
413.036,1536.964,-1.594
410.207,1539.793,-1.616
407.378,1542.622,-1.638
404.549,1545.451,-1.657
401.72,1548.28,-1.672
398.891,1551.109,-1.68
396.062,1553.938,-1.68
393.233,1556.767,-1.668
390.404,1559.596,-1.642
387.575,1562.425,-1.602
384.746,1565.254,-1.546
381.917,1568.083,-1.474
379.088,1570.912,-1.387
376.259,1573.741,-1.284
373.43,1576.57,-1.167
370.601,1579.399,-1.036
367.772,1582.227,-0.891
364.943,1585.056,-0.736
362.115,1587.885,-0.572
359.286,1590.714,-0.405
356.457,1593.543,-0.241
353.628,1596.372,-0.085
350.799,1599.201,0.057
347.97,1602.03,0.177
345.141,1604.859,0.271
342.312,1607.688,0.334
339.483,1610.517,0.359
336.654,1613.346,0.344
333.825,1616.175,0.286
330.996,1619.004,0.186
328.167,1621.833,0.046
325.338,1624.662,-0.13
322.509,1627.491,-0.334
319.68,1630.32,-0.559
316.851,1633.149,-0.795
314.022,1635.978,-1.035
311.193,1638.807,-1.27
308.364,1641.636,-1.494
305.535,1644.465,-1.7
302.707,1647.293,-1.884
299.877,1650.122,-2.045
297.049,1652.951,-2.181
294.22,1655.78,-2.293
291.391,1658.609,-2.385
288.562,1661.438,-2.457
285.733,1664.267,-2.514
282.904,1667.096,-2.559
280.075,1669.925,-2.597
277.246,1672.754,-2.628
274.417,1675.583,-2.656
271.588,1678.412,-2.682
268.759,1681.241,-2.707
265.93,1684.07,-2.733
263.101,1686.899,-2.759
260.272,1689.728,-2.786
257.443,1692.557,-2.814
254.614,1695.386,-2.842
251.785,1698.215,-2.869
248.956,1701.044,-2.895
246.127,1703.873,-2.918
243.298,1706.702,-2.94
240.469,1709.531,-2.959
237.641,1712.36,-2.975
234.811,1715.188,-2.99
231.983,1718.017,-3.002
229.154,1720.846,-3.011
226.325,1723.675,-3.017
223.496,1726.504,-3.02
220.667,1729.333,-3.018
217.838,1732.162,-3.014
215.009,1734.991,-3.005
212.18,1737.82,-2.993
209.351,1740.649,-2.975
206.522,1743.478,-2.953
203.693,1746.307,-2.924
200.864,1749.136,-2.887
198.035,1751.965,-2.842
195.206,1754.794,-2.788
192.377,1757.623,-2.723
189.548,1760.452,-2.647
186.719,1763.281,-2.561
183.89,1766.11,-2.465
181.061,1768.939,-2.359
178.232,1771.768,-2.247
175.403,1774.597,-2.131
172.575,1777.426,-2.014
169.745,1780.255,-1.899
166.917,1783.083,-1.79
164.088,1785.912,-1.69
161.259,1788.741,-1.602
158.43,1791.57,-1.526
155.601,1794.399,-1.465
152.772,1797.228,-1.418
149.943,1800.057,-1.384
147.114,1802.886,-1.361
144.285,1805.715,-1.349
141.456,1808.544,-1.347
138.627,1811.373,-1.351
135.798,1814.202,-1.363
132.969,1817.031,-1.382
130.14,1819.86,-1.406
127.311,1822.689,-1.435
124.482,1825.518,-1.467
121.653,1828.347,-1.5
118.824,1831.176,-1.534
115.995,1834.005,-1.566
113.166,1836.834,-1.596
110.337,1839.663,-1.626
107.508,1842.492,-1.656
104.68,1845.321,-1.686
101.851,1848.149,-1.716
99.022,1850.978,-1.744
96.193,1853.807,-1.769
93.364,1856.636,-1.789
90.535,1859.465,-1.801
87.706,1862.294,-1.805
84.877,1865.123,-1.802
82.048,1867.952,-1.792
79.219,1870.781,-1.776
76.39,1873.61,-1.756
73.561,1876.439,-1.734
70.732,1879.268,-1.71
67.903,1882.097,-1.686
65.074,1884.926,-1.66
62.245,1887.755,-1.634
59.416,1890.584,-1.606
56.587,1893.413,-1.579
53.758,1896.242,-1.55
50.929,1899.071,-1.522
48.1,1901.9,-1.494
45.271,1904.729,-1.465
42.443,1907.557,-1.437
39.613,1910.387,-1.409
36.785,1913.215,-1.381
33.956,1916.044,-1.354
31.127,1918.873,-1.326
28.298,1921.702,-1.294
25.469,1924.531,-1.257
22.64,1927.36,-1.21
19.811,1930.189,-1.153
16.982,1933.018,-1.083
14.153,1935.847,-1.004
11.324,1938.676,-0.916
8.495,1941.505,-0.824
5.666,1944.334,-0.732
2.837,1947.163,-0.643
0.008,1949.992,-0.558
-2.821,1952.821,-0.478
-5.65,1955.65,-0.4
-8.479,1958.479,-0.319
-11.308,1961.308,-0.23
-14.137,1964.137,-0.129
-16.966,1966.966,-0.013
-19.795,1969.795,0.117
-22.623,1972.623,0.257
-25.453,1975.453,0.401
-28.281,1978.281,0.541
-31.11,1981.11,0.669
-33.939,1983.939,0.779
-36.768,1986.768,0.865
-39.597,1989.597,0.927
-42.426,1992.426,0.967
-45.255,1995.255,0.989
-48.084,1998.084,1
-50.913,2000.913,1.006
-53.742,2003.742,1.012
-56.571,2006.571,1.018
-59.4,2009.4,1.024
-62.229,2012.229,1.028
-65.058,2015.058,1.023
-67.887,2017.887,1.007
-70.716,2020.716,0.974
-73.545,2023.545,0.924
-76.374,2026.374,0.857
-79.203,2029.203,0.777
-82.032,2032.032,0.689
-84.861,2034.861,0.6
-87.689,2037.689,0.517
-90.518,2040.518,0.445
-93.347,2043.347,0.387
-96.176,2046.176,0.346
-99.005,2049.005,0.322
-101.834,2051.834,0.312
-104.663,2054.663,0.315
-107.492,2057.492,0.329
-110.321,2060.321,0.351
-113.15,2063.15,0.38
-115.979,2065.979,0.415
-118.808,2068.808,0.455
-121.637,2071.637,0.499
-124.466,2074.466,0.55
-127.295,2077.295,0.607
-130.124,2080.124,0.673
-132.953,2082.953,0.747
-135.782,2085.782,0.831
-138.611,2088.611,0.924
-141.44,2091.44,1.024
-144.269,2094.269,1.13
-147.098,2097.098,1.236
-149.927,2099.927,1.34
-152.756,2102.756,1.438
-155.584,2105.584,1.527
-158.413,2108.413,1.607
-161.242,2111.242,1.678
-164.071,2114.071,1.741
-166.9,2116.9,1.799
-169.729,2119.729,1.851
-172.558,2122.558,1.899
-175.387,2125.387,1.944
-178.216,2128.216,1.985
-181.045,2131.045,2.021
-183.874,2133.874,2.053
-186.703,2136.703,2.079
-189.532,2139.532,2.1
-192.361,2142.361,2.114
-195.19,2145.19,2.122
-198.019,2148.019,2.122
-200.848,2150.848,2.116
-203.677,2153.677,2.104
-206.506,2156.506,2.088
-209.335,2159.335,2.07
-212.164,2162.164,2.048
-214.993,2164.993,2.022
-217.821,2167.822,1.992
-220.65,2170.651,1.957
-223.479,2173.479,1.915
-226.308,2176.308,1.866
-229.137,2179.137,1.811
-231.966,2181.966,1.752
-234.795,2184.795,1.69
-237.624,2187.624,1.628
-240.453,2190.453,1.568
-243.282,2193.282,1.511
-246.111,2196.111,1.459
-248.94,2198.94,1.41
-251.769,2201.769,1.367
-254.598,2204.598,1.327
-257.427,2207.427,1.292
-260.256,2210.256,1.261
-263.085,2213.085,1.233
-265.914,2215.914,1.21
-268.743,2218.743,1.19
-271.572,2221.572,1.175
-274.401,2224.401,1.165
-277.23,2227.23,1.159
-280.059,2230.059,1.159
-282.887,2232.887,1.165
-285.716,2235.716,1.176
-288.545,2238.545,1.194
-291.374,2241.374,1.217
-294.203,2244.203,1.247
-297.032,2247.032,1.282
-299.861,2249.861,1.322
-302.69,2252.69,1.365
-305.519,2255.519,1.411
-308.348,2258.348,1.456
-311.177,2261.177,1.501
-314.006,2264.006,1.542
-316.835,2266.835,1.579
-319.664,2269.664,1.611
-322.493,2272.493,1.637
-325.322,2275.322,1.655
-328.151,2278.151,1.666
-330.98,2280.98,1.671
-333.809,2283.809,1.671
-336.638,2286.638,1.665
-339.467,2289.467,1.657
-342.296,2292.296,1.647
-345.125,2295.125,1.636
-347.954,2297.954,1.626
-350.783,2300.782,1.616
-353.611,2303.611,1.607
-356.44,2306.44,1.597
-359.269,2309.269,1.585
-362.098,2312.098,1.571
-364.927,2314.927,1.554
-367.756,2317.756,1.533
-370.585,2320.585,1.508
-373.414,2323.414,1.481
-376.243,2326.243,1.453
-379.072,2329.072,1.425
-381.901,2331.901,1.4
-384.73,2334.73,1.379
-387.559,2337.559,1.365
-390.388,2340.388,1.358
-393.217,2343.217,1.359
-396.046,2346.046,1.368
-398.875,2348.875,1.384
-401.704,2351.704,1.403
-404.533,2354.533,1.425
-407.362,2357.362,1.448
-410.191,2360.191,1.472
-413.019,2363.019,1.497
-415.849,2365.849,1.523
-418.678,2368.677,1.551
-421.506,2371.506,1.581
-424.335,2374.335,1.612
-427.164,2377.164,1.643
-429.993,2379.993,1.675
-432.822,2382.822,1.706
-435.651,2385.651,1.734
-438.48,2388.48,1.759
-441.309,2391.309,1.781
-444.138,2394.138,1.798
-446.967,2396.967,1.812
-449.796,2399.796,1.821
