depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),temperature (degC)
0.03,950,-1.33,0.12,500,28.306,23.223
0.22,1540,-1.21,0.22,1090,29.041,22.819
0.4,2110,-1.53,0.3,1200,28.956,22.738
0.59,2700,-1.58,0.4,1370,29.132,23.419
0.84,3490,-2.27,0.5,1740,27.949,22.354
0.99,3960,-2.29,0.59,2070,29.359,24.985
1.19,4580,-1.92,0.7,2500,29.129,23.415
1.39,5210,-1.86,0.84,3090,28.851,23.342
1.6,5870,-1.14,0.9,3340,28.966,23.976
1.8,6360,-1.28,0.99,3710,29.036,24.73
2,6860,-1.12,1.09,4130,28.921,23.896
2.2,7360,-1.15,1.19,4540,28.995,24.394
2.4,7860,-1.27,1.29,5020,29.174,24.734
2.6,8350,-1.44,1.39,5520,28.684,24.543
2.79,8830,-1.3,1.6,6590,29.239,24.617
2.9,9100,-0.97,1.72,7210,29.7,25.367
3.1,9690,-1.05,1.8,7630,29.059,24.512
3.22,10050,-1.48,1.9,7990,29.449,25.44
3.3,10290,-1.25,2,8120,29.182,23.994
3.39,10550,-1.48,2.09,8240,28.772,24.257
3.49,10850,-0.98,2.2,8410,29.491,24.99
3.59,11150,-1.07,2.33,8760,29.125,24.381
3.7,11470,-0.8,2.4,8950,29.502,25.181
3.75,11620,-0.76,2.49,9190,29.082,24.118
3.9,12070,-1.24,2.6,9480,29.461,24.361
4.1,12660,-0.77,2.7,9750,28.944,23.136
4.3,13250,-1.13,2.79,9980,28.841,23.575
4.5,13840,-0.2,2.9,10240,29.151,24.698
4.72,14500,-0.89,3,10490,29.084,24.274
4.89,15000,-0.91,3.1,10730,29.261,24.513
5.09,15590,-0.28,3.22,11090,29.432,24.29
5.33,16110,-0.62,3.3,11380,29.042,24.578
5.49,16340,-0.77,3.39,11700,27.763,22.788
5.7,16650,-0.34,3.49,12060,28.681,23.155
5.9,16940,-0.67,3.59,12420,28.546,22.575
6.1,17230,-0.72,3.7,12820,28.344,23.649
6.3,17530,-1.03,3.75,12990,29.085,24.209
6.49,17800,-0.87,3.9,13530,29.232,24.66
6.7,18110,-0.21,3.98,13820,28.844,24.143
6.9,18400,-0.33,4.1,14250,27.661,22.86
7.08,18660,-0.44,4.19,14570,27.899,22.172
7.19,18820,-0.54,4.3,14970,28.311,22.934
7.4,19130,-0.22,4.4,15330,28.359,22.844
NA,NA,NA,4.5,15690,28.735,23.323
NA,NA,NA,4.6,16050,27.844,22.501
NA,NA,NA,4.72,16480,29.162,24.492
NA,NA,NA,4.8,16760,27.615,22.527
NA,NA,NA,4.89,17090,28.958,23.735
NA,NA,NA,5,17480,28.355,23.124
NA,NA,NA,5.09,17810,27.825,23.234
NA,NA,NA,5.2,18200,27.686,21.984
NA,NA,NA,5.33,18440,27.191,21.387
NA,NA,NA,5.4,18570,28.64,22.316
NA,NA,NA,5.49,18740,28.437,22.767
NA,NA,NA,5.6,18940,28.441,23.255
NA,NA,NA,5.7,19120,26.843,21.056
NA,NA,NA,5.82,19340,28.759,22.627
NA,NA,NA,5.9,19490,28.394,22.474
NA,NA,NA,6,19680,28.727,21.233
NA,NA,NA,6.1,19860,26.161,21.457
NA,NA,NA,6.22,20080,29.57,24.304
NA,NA,NA,6.3,20230,28.9,24.395
NA,NA,NA,6.39,20400,27.446,21.512
NA,NA,NA,6.49,20580,27.288,21.52
NA,NA,NA,6.59,20770,28.518,23.165
NA,NA,NA,6.7,20970,27.808,22.353
NA,NA,NA,6.83,21210,28.257,21.63
NA,NA,NA,6.9,21340,27.428,21.773
NA,NA,NA,6.98,21480,28.243,22.396
NA,NA,NA,7.08,21670,28.539,23.096
NA,NA,NA,7.19,21870,26.797,21.441
NA,NA,NA,7.29,22060,28.339,22.786
NA,NA,NA,7.4,22260,28.118,22.143
