depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
193.5,Carbon-14,111123,130,1960,NA,NA
330,Carbon-14,111124,140,4140,NA,NA
462.5,Carbon-14,111125,130,5310,NA,NA
