depth (m),age (BP),temperature (degC),depth (m),temperature (degC),planktic.d18O (degC),temperature; planktic.d18OComposite (degC),depth (m),planktic.d13C (permil),CaCO3 (permil),d18O (percent),d13C (permil),TOC (permil),depth (m),temperature (percent)
0.025,210,27.3,0.01,25.9,24.1,-0.318,0.02,-1.62,1.32,60.63,2.47,0.11,0.01,1.26
0.05,420,27.4,0.05,23.6,23.3,-1.868,0.05,-1.73,1.43,58.79,NA,NA,0.05,1.26
0.075,630,27.3,0.075,26,24.9,0.132,0.08,-1.66,1.49,60.37,NA,NA,0.08,1.28
0.1,840,27.4,0.1,26.1,25,0.232,0.1,-1.74,1.56,62.28,2.37,0.03,0.1,1.21
0.125,1050,27.1,0.125,26.4,25.2,0.482,0.12,-1.79,1.09,62.11,2.53,-0.16,0.12,1.16
0.15,1260,27.2,0.15,25.5,24.5,-0.318,0.15,-1.94,1.06,60.67,NA,NA,0.15,1.26
0.175,1470,27,0.175,24.6,24,-1.018,0.18,-1.71,1.29,60.8,2.36,0.13,0.18,1.17
0.2,1680,27.1,0.2,24.8,24.2,-0.818,0.2,-1.65,1.13,62.31,2.37,0.17,0.2,1.11
0.225,1890,27,0.225,25.9,24.9,0.082,0.22,-1.82,1.34,64.52,2.44,0.19,0.22,0.95
0.25,2100,26.9,0.25,24.8,24.4,-0.718,0.25,-1.7,1.34,64.14,2.29,0.17,0.25,0.96
0.275,2310,26.8,0.275,25.2,24.9,-0.268,0.28,-1.79,1.48,66.15,NA,NA,0.28,0.83
0.3,2520,27.2,0.3,25.3,24.7,-0.318,0.3,-1.82,1.51,66.75,2.39,0.25,0.3,0.81
0.325,2730,27,0.325,26.3,24.9,0.282,0.32,-1.71,1.42,62.29,NA,NA,0.32,0.88
0.35,2940,27.2,0.35,26.5,25.4,0.632,0.35,-2.11,1.33,64.21,2.2,0.16,0.35,0.92
0.375,3260,27,0.375,25.4,24.6,-0.318,0.38,-1.72,1.41,64.28,NA,NA,0.38,0.81
0.4,3580,26.9,0.4,25.5,24.7,-0.218,0.4,-1.77,1.36,69.81,2.38,0,0.4,0.56
0.425,3900,27,0.425,26,25,0.182,0.42,-1.82,1.49,65.12,NA,NA,0.42,0.64
0.45,4220,27,0.45,25.5,24.6,-0.268,0.45,-1.67,1.32,66.3,2.4,0.07,0.45,0.64
0.475,4550,27.2,0.475,25.6,25.6,0.282,0.48,-1.77,1.39,66.2,2.54,0.25,0.48,0.66
0.5,4870,27.1,0.5,25.4,24.7,-0.268,0.5,-1.67,1.36,69.56,2.66,0.22,0.5,0.78
0.525,5190,27.3,0.525,25.9,25.5,0.382,0.52,-1.8,1.41,68.36,2.41,0.05,0.52,0.84
0.55,5510,27.2,0.55,26.1,26.1,0.782,0.55,-1.84,1.31,70.39,2.32,0.12,0.55,0.72
0.575,5870,27.2,0.575,25.4,25,-0.118,0.58,-1.8,1.19,67.48,2.38,0.21,0.6,0.7
