depth (cm),depth_top (mm),depth_bot (mm),lab_id (),mass dry (mg),age14C (bp14C),age_error (1_s),deltaR (years),depth_mid (mm),thickness (mm),age_type (),core_name (),material_dated (),original_reference ()
11,NA,NA,22,NA,2020,50,0,NA,NA,1,2,1,1
99,980,1000,8,32.4,4380,70,0,990,20,1,1,2,2
179,1780,1800,24,35,6970,60,0,1790,20,1,1,2,2
189,1880,1900,6,54.6,7210,100,0,1890,20,1,1,2,2
209,2080,2100,9,51.8,7980,70,0,2090,20,1,1,2,2
229,2280,2300,23,18.6,7840,60,0,2290,20,1,1,2,2
239,2380,2400,10,50.2,8190,80,0,2390,20,1,1,2,2
339,3380,3400,19,7.9,9230,90,0,3390,20,1,1,2,2
359,3580,3600,18,3.6,9630,360,0,3590,20,1,1,2,2
369,3680,3700,17,4.7,10440,120,0,3690,20,1,1,2,2
389,3880,3900,16,38.9,10830,80,0,3890,20,1,1,2,2
399,3980,4000,7,58.8,11120,90,0,3990,20,1,1,2,2
419,4180,4200,15,22.3,12390,90,0,4190,20,1,1,2,2
429,4280,4300,14,8.5,12850,120,0,4290,20,1,1,2,2
439,4380,4400,13,41.2,12960,90,0,4390,20,1,1,2,2
449,4480,4500,2,30,14550,110,0,4490,20,1,1,2,2
479,4780,4800,20,45,17390,110,0,4790,20,1,1,2,2
509,5080,5100,11,46.1,21350,150,0,5090,20,1,1,2,2
529,5280,5300,5,48.1,22590,200,0,5290,20,1,1,2,2
659,6580,6600,21,20,31710,300,0,6590,20,1,1,2,2
699,6980,7000,3,33,33920,380,0,6990,20,1,1,2,2
699,6980,7000,4,33,33300,340,0,6990,20,1,1,2,2
727,7260,7280,1,20,25400,230,0,7270,20,1,1,2,2
757,7560,7580,12,47,41780,590,0,7570,20,1,1,2,2
