age (BP),temperature (missing),temperature (missing),temperatureComposite (missing)
-57,14.45,14.99,-0.031
21,13.75,14.85,-0.451
100,16.15,14.57,0.609
181,14.73,14.05,-0.361
263,13.61,13.95,-0.971
347,16.91,15.28,1.344
433,16.05,15.22,0.884
521,14.75,14.21,-0.271
603,14.45,14.09,-0.481
702,16.74,15.28,1.259
795,15.43,14.27,0.099
891,14.63,13.61,-0.631
1005,14.4,14.13,-0.486
1091,15.51,14.52,0.264
1181,16.76,15.1,1.179
1273,16.24,15.03,0.884
1369,14.79,14.55,-0.081
1468,16.32,14.54,0.679
1570,15.54,14.62,0.329
1675,16.37,15.15,1.009
1783,16.96,14.81,1.134
1893,17,15.29,1.394
2006,15.74,14.63,0.434
2122,18.64,15.57,2.354
2240,16.3,14.83,0.814
2361,15.37,14.55,0.209
2483,16.94,14.8,1.119
2609,16.32,14.81,0.814
2736,13.85,14.26,-0.696
2867,15.41,14.61,0.259
3000,15.73,14.86,0.544
3291,15.14,14.34,-0.011
3482,14.86,13.95,-0.346
3684,13.58,13.57,-1.176
3894,14.65,14.02,-0.416
4108,14.91,14.1,-0.246
4325,15.53,14.19,0.109
4540,15.64,14.31,0.224
4751,13.86,14.07,-0.786
4954,15.17,14.34,0.004
5145,15.92,14.49,0.454
5323,17.41,15.11,1.509
5482,14.6,14.44,-0.231
5619,14.31,14.05,-0.571
5740,14.24,14.44,-0.411
5853,16.25,14.59,0.669
5960,14.58,13.81,-0.556
6062,15.4,14.26,0.079
6161,15.36,13.77,-0.186
6258,14.21,13.91,-0.691
6391,14.01,13.44,-1.026
6485,14.11,13.79,-0.801
6579,14.96,14.12,-0.211
6674,13.58,13.96,-0.981
6769,14.39,13.86,-0.626
6865,14.37,14.26,-0.436
6962,13.61,13.43,-1.231
7062,13.11,12.98,-1.706
7163,15.8,13.93,0.114
7265,15.26,13.91,-0.166
7371,15.25,13.89,-0.181
7478,13.87,13.62,-1.006
7588,16.05,14.21,0.379
7679,15.04,14.43,-0.016
7772,17.3,14.41,1.104
7894,15.71,15.2,0.704
8020,15.71,14.51,0.359
8148,18.04,15.93,2.234
8279,17.67,14.78,1.474
8412,15.41,14.6,0.254
8546,14.54,14.24,-0.361
8681,16,14.52,0.509
8816,17.08,14.86,1.219
8950,17.63,14.9,1.514
9084,16.3,14.99,0.894
9216,13.97,13.96,-0.786
9347,14.68,14.54,-0.141
9475,14.91,14.71,0.059
9601,17.26,15.7,1.729
9724,16.31,15.42,1.114
9844,18.14,15.85,2.244
9960,16.92,15.49,1.454
10074,15.89,15,0.694
10185,17.05,15.13,1.339
10295,16.33,14.93,0.879
10403,13.09,13.9,-1.256
10509,17.65,15.63,1.889
10615,13.01,13.14,-1.676
10719,15.68,14.79,0.484
10823,14.65,14.64,-0.106
10926,14.56,14.02,-0.461
11028,15.95,14.54,0.494
11131,14.09,13.81,-0.801
11233,14.57,14.28,-0.326
11335,15.08,14.12,-0.151
11437,15.4,14.53,0.214
11540,15.48,14.24,0.109
11643,14.84,14.06,-0.301
11747,15.08,13.82,-0.301
11852,13.69,13.42,-1.196
11958,13.94,13.86,-0.851
12065,14.08,13.35,-1.036
12174,14.4,13.87,-0.616
12285,11.51,12.68,-2.656
12398,13.84,13.38,-1.141
12513,14.65,14.01,-0.421
12630,13.5,13.5,-1.251
12748,14.1,14.11,-0.646
12867,15.04,14.78,0.159
12988,12.6,13.64,-1.631
13110,14.85,14.32,-0.166
13233,15.9,14.25,0.324
13357,16.24,14.4,0.569
13483,13.44,13.83,-1.116
13610,12.55,12.76,-2.096
13738,13,13.36,-1.571
13867,13.54,12.91,-1.526
13998,13.72,13.42,-1.181
14183,13.64,14.11,-0.876
