year (AD),age (BP),d18O (permil)
1642,308,-0.2
1618,332,-0.59
1608,342,-0.58
1597,353,-0.73
1584,366,-1.26
1571,379,-1.19
1552,398,-0.69
1537,413,-0.89
1523,427,-1.26
1505,445,-1.17
1489,461,-1.39
1473,477,-1.49
1455,495,-0.74
1436,514,-0.76
1423,527,-0.78
1402,548,-0.54
1384,566,-0.26
1371,579,-0.41
1352,598,-0.7
1331,619,-0.92
1297,653,-0.89
1273,677,-0.64
1255,695,-0.76
1239,711,-0.54
1223,727,-0.48
1197,753,-0.5
1181,769,-0.63
1162,788,-0.5
1144,806,-0.6
1125,825,-0.53
1102,848,-0.61
1086,864,-0.25
1070,880,-0.72
1049,901,-0.49
1028,922,-0.12
1004,946,0.03
988,962,-0.28
962,988,-0.54
949,1001,-1.13
933,1017,-1.05
915,1035,-0.98
899,1051,-0.17
883,1067,-0.64
865,1085,-0.25
843,1107,-0.34
820,1130,-0.74
804,1146,-0.29
780,1170,-0.58
764,1186,-0.62
746,1204,-0.24
728,1222,-0.25
709,1241,0.11
696,1254,0.07
677,1273,-0.25
656,1294,-0.57
638,1312,-0.53
-750,2700,-0.85
-755,2705,-0.99
-761,2711,-1.08
-766,2716,-1.01
-772,2722,-0.9
-777,2727,-1.06
-782,2732,-1.28
-788,2738,-1.16
-793,2743,-1.06
-799,2749,-0.98
-804,2754,-1.47
-809,2759,-1
-815,2765,-1.21
-820,2770,-1.35
-826,2776,-1.39
-831,2781,-1.2
-836,2786,-1.36
-842,2792,-1.3
-847,2797,-1.08
-853,2803,-1.05
-858,2808,-1.04
-863,2813,-0.97
-869,2819,-1.04
-874,2824,-1.18
-880,2830,-1.15
-885,2835,-1.11
-890,2840,-1.02
-896,2846,-0.97
-901,2851,-0.72
-907,2857,-0.84
-912,2862,-0.54
-917,2867,-0.68
-923,2873,-0.54
-928,2878,-0.89
-934,2884,-0.78
-939,2889,-0.93
-944,2894,-0.83
-950,2900,-0.9
-955,2905,-0.87
-961,2911,-0.75
-966,2916,-0.84
-971,2921,-0.85
-977,2927,-0.98
-982,2932,-0.91
-988,2938,-0.71
-993,2943,-0.94
-998,2948,-0.99
-1004,2954,-1.03
-1009,2959,-1.16
-1015,2965,-1.14
-1023,2973,-1.13
-1029,2979,-1.19
-1043,2993,-1.13
-1050,3000,-1.2
-1056,3006,-1.15
-1062,3012,-1.01
-1071,3021,-1
-1077,3027,-0.96
-1083,3033,-0.88
-1091,3041,-0.59
-1096,3046,-1.03
-1105,3055,-0.76
-1111,3061,-0.72
-1122,3072,-1.04
-1129,3079,-0.99
-1133,3083,-0.79
-1139,3089,-0.98
-1145,3095,-0.75
-1151,3101,-1
-1155,3105,-1.05
-1162,3112,-0.95
-1166,3116,-0.63
-1172,3122,-0.83
-1174,3124,-1.29
-1177,3127,-0.98
-1178,3128,-0.96
-1185,3135,-1.17
-1192,3142,-1.16
-1197,3147,-1.1
-1203,3153,-1
-1207,3157,-1.18
-1209,3159,-0.99
-1213,3163,-1.1
-1217,3167,-0.9
-1219,3169,-0.98
-1226,3176,-1.08
-1232,3182,-1.1
-1239,3189,-1.13
-1244,3194,-1.22
-1250,3200,-1.28
-1256,3206,-1.1
-1263,3213,-1.06
-1270,3220,-1.24
-1283,3233,-1.32
-1290,3240,-1.19
-1295,3245,-1.17
-1301,3251,-1.02
-1306,3256,-1.34
-1312,3262,-1.38
-1317,3267,-1.04
-1322,3272,-1.28
-1328,3278,-1.15
-1333,3283,-0.8
-1338,3288,-0.88
-1343,3293,-1
-1348,3298,-1.23
-1353,3303,-0.92
