depth (cm),age (BP),Picea (percent),Sequoia (percent),Quercus (percent),Alnus (percent),depthRange (cm),Calibrated (missing),depth (cm),age (BP),depthRange (cm),Calibrated (missing),Fragilariopsis (percent),depth (cm),age (BP),Dc_stapedia (percent),Dc_stapedia_aspinosa (percent),Dc_stapedia_spinosa (percent),total_Dc_stapedia (percent),S_speculum_var_minutus (percent),depthRange (cm),Calibrated (missing)
6.5,284.48,1.319,29.024,4.485,24.274,5.5-7.5,CAL,0.5,221.64,-1,CAL,8.6,0.5,220,20,0,0,20,45,-1,CAL
13,352.68,1.316,30.921,7.895,21.711,12-14,CAL,4.5,263.6,42099,CAL,3.4,4.5,260,26.154,0,3.077,29.231,41.538,-1,CAL
17,394.64,4.075,41.693,3.762,14.107,16.5-18.5,CAL,9.5,316.05,42257,CAL,1.4,30.5,540,17.391,0,13.043,30.435,43.478,-1,CAL
22.5,452.35,1.548,40.248,4.334,13.313,21.5-23.5,CAL,14.5,368.5,-1,CAL,5.3,32,550,15,0,1,16,54,-2,CAL
27,499.56,2.017,43.804,3.17,15.562,26-28,CAL,19.5,420.95,-1,CAL,10.3,54.5,760,20,0,5,25,60,-1,CAL
32,552.02,1.78,42.73,3.858,15.134,31-33,CAL,24.5,473.4,-1,CAL,6.2,59.5,790,23.214,0,7.143,30.357,46.429,-1,CAL
37,604.48,1.935,47.419,6.452,15.484,36-38,CAL,29.5,525.85,-1,CAL,10.7,84,910,23.913,0,6.522,30.435,45.652,-1,CAL
42,656.94,1.648,37.637,6.044,18.956,41-43,CAL,34.5,578.29,-1,CAL,6.9,110.5,1140,25.926,0,3.704,29.63,51.852,-1,CAL
47,709.39,5.422,46.386,2.711,8.133,46-48,CAL,39.5,630.74,-1,CAL,5.9,120.5,1330,20.755,0,11.321,32.075,35.849,-1,CAL
52,751.06,5.263,42.325,3.289,10.526,51-53,CAL,44.5,683.19,-1,CAL,8.9,129.5,1500,23.636,0,7.273,30.909,43.636,-1,CAL
57,776.55,5.199,47.706,3.058,8.563,56-58,CAL,49.5,735.64,-1,CAL,9.1,134.5,1590,23.529,0,2.941,26.471,32.353,-1,CAL
62,802.04,5.322,41.176,3.922,14.006,61-63,CAL,54.5,763.83,-1,CAL,7.4,139.5,1680,36,0,8,44,18,-1,CAL
67,827.52,5.78,41.329,4.335,8.96,66-68,CAL,59.5,789.32,-1,CAL,14.2,149.5,1870,28,0,5,33,27,-1,CAL
72,853.01,5.867,39.2,5.333,10.933,71-73,CAL,64.5,814.82,-1,CAL,6.2,159.5,2060,46.667,0,0,46.667,26.667,-1,CAL
77,878.49,3.672,38.701,6.497,5.367,76-78,CAL,69.5,840.31,-1,CAL,9.9,179.5,2430,16,0,8,24,44,-1,CAL
82,903.98,5.202,42.197,6.358,10.983,81-83,CAL,74.5,865.8,-1,CAL,10.1,189.5,2550,12.821,0,0,12.821,38.462,-1,CAL
87,929.46,3.636,40,7.273,13.939,86-8,CAL,79.5,891.3,-1,CAL,11.5,194.5,2580,24,0,2,26,42,-1,CAL
92,954.95,4.118,41.176,2.941,15.882,91-93,CAL,84.5,916.79,-1,CAL,13,209.5,2680,15.789,0,3.509,19.298,45.614,-1,CAL
97,980.44,2.976,44.94,4.167,13.69,96-98,CAL,89.5,942.28,-1,CAL,12.6,239.5,2860,25.806,0,0,25.806,22.581,-1,CAL
102,1005.92,5.028,39.944,3.911,13.128,101-103,CAL,94.5,967.78,-1,CAL,7.9,264.5,3020,17.5,0,2.5,20,40,-1,CAL
107,1078.85,2.128,45.593,6.079,8.511,106-108,CAL,99.5,993.27,-1,CAL,9.1,289.5,3180,22.5,0,2.5,25,52.5,-1,CAL
112,1172.11,1.835,47.477,5.963,14.45,111-113,CAL,104.5,1032.29,-1,CAL,13.4,298.5,3230,23.077,0,3.846,26.923,46.154,-2,CAL
117,1265.37,5.974,37.922,2.857,9.091,116-118,CAL,109.5,1125.43,-1,CAL,10.5,369,4120,15.385,0,0,15.385,61.538,-2,CAL
122,1358.62,5.016,42.633,3.448,7.21,121-123,CAL,114.5,1218.56,-1,CAL,9.6,399,4410,10.87,0,6.522,17.391,43.478,-2,CAL
126.5,1442.56,2.703,42.643,4.204,14.715,125.5-127.5,CAL,119.5,1311.69,-1,CAL,10.5,408,4500,10,0,3.333,13.333,33.333,-2,CAL
132,1545.14,3.927,41.994,6.344,12.387,131-133,CAL,124.5,1404.82,-1,CAL,13.6,419,4600,10,0,10,20,30,-2,CAL
137,1638.4,6.936,34.971,4.624,7.225,136-138,CAL,129.5,1497.96,-1,CAL,9.6,449,4890,10,0,0,10,38,-2,CAL
142,1731.66,9.217,29.724,5.3,10.138,141-143,CAL,134.5,1591.09,-1,CAL,20.2,459,4990,8.824,0,2.941,11.765,47.059,-2,CAL
147,1824.92,5.791,34.744,4.9,10.69,146-148,CAL,139.5,1684.22,-1,CAL,7.4,489,5280,9.756,0,2.439,12.195,43.902,-2,CAL
152,1918.18,7.368,27.368,5.263,10.526,151-153,CAL,144.5,1777.35,-1,CAL,15.7,499,5380,4.762,0,4.762,9.524,38.095,-2,CAL
160,2067.39,6.013,31.646,6.329,14.873,159-161,CAL,149.5,1870.49,-1,CAL,14.1,509,5470,17.949,0,0,17.949,41.026,-2,CAL
166,2179.3,7.121,37.461,8.978,10.526,165-167,CAL,154.5,1963.62,-1,CAL,13.3,519,5570,12.121,0,3.03,15.152,60.606,-2,CAL
172,2291.21,3.268,45.098,6.209,9.15,171-173,CAL,159.5,2056.75,-1,CAL,17,519,6300,12.1,0,3,15.1,0,-2,CAL
176,2365.82,2.857,34.286,12.698,10.476,177-179,CAL,164.5,2149.88,-1,CAL,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,2496.38,6.557,39.344,11.148,9.836,182-184,CAL,169.5,2243.02,-1,CAL,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,2540.24,4.702,30.094,15.047,22.257,187-189,CAL,174.5,2336.15,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
