depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),planktic.d18O (permil),depth (m),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),d18O (permil),d13C (permil)
0.225,1951,10.222,0.387,0.225,2.152,0.225,11.75,1.667,0.225,1950,3.223,0.995
0.245,2180,10.722,0.404,0.245,2.118,0.325,12.32,1.772,0.245,2180,3.24,0.986
0.265,2410,10.68,0.402,0.265,2.216,0.425,13.71,2.056,0.265,2410,3.141,0.954
0.285,2639,11.252,0.422,0.285,2.129,0.525,12.83,1.87,0.285,2640,3.164,0.97
0.305,2869,10.848,0.408,0.305,2.18,0.625,12.85,1.874,0.305,2870,3.052,1.022
0.325,3098,11.01,0.413,0.345,2.192,0.725,12.23,1.754,0.325,3100,3.11,0.927
0.365,3557,11.005,0.413,0.365,1.976,0.825,12.46,1.799,0.345,3330,3.024,0.988
0.405,3828,10.856,0.408,0.385,2.02,0.925,14.14,2.152,0.365,3560,3.197,0.985
0.425,3964,10.78,0.406,0.405,1.982,1.025,12.87,1.878,0.385,3690,3.158,1.058
0.445,4100,10.667,0.402,0.425,2.108,1.125,13.39,1.986,0.405,3830,3.079,1.007
0.465,4236,10.868,0.408,0.445,2.158,1.225,12.86,1.877,0.425,3960,3.115,1.019
0.485,4371,10.897,0.409,0.465,2.037,1.325,13.3,1.968,0.445,4100,3.19,0.82
0.505,4507,10.562,0.398,0.485,1.972,1.425,11.75,1.666,0.465,4240,3.197,0.878
0.525,4643,10.803,0.406,0.505,2.109,1.525,13.96,2.112,0.485,4370,3.064,0.915
0.545,4778,10.773,0.405,0.525,1.793,1.625,15.15,2.398,0.505,4510,3.121,0.973
0.565,4914,10.792,0.406,0.545,2.084,1.725,14.12,2.147,0.525,4640,3.202,1.038
0.585,5050,10.528,0.397,0.565,1.903,1.825,14,2.119,0.545,4780,3.028,0.965
0.605,5186,10.809,0.407,0.585,2.045,1.925,13.4,1.988,0.565,4910,3.271,1.014
0.625,5321,10.412,0.393,0.605,2.085,2.025,13.82,2.079,0.585,5050,3.165,1.029
0.645,5457,10.644,0.401,0.625,2.086,2.125,11.95,1.702,0.605,5190,3.082,0.899
0.665,5593,10.154,0.384,0.645,1.902,2.225,11.91,1.695,0.625,5320,3.038,0.973
0.685,5728,10.66,0.401,0.665,1.753,2.325,12.12,1.734,0.645,5460,3.202,1.044
