depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-39,17.171,-4.386,5.827,471.857
30,875.7,16.314,-6.429,4.39,443.857
60,1790.4,15.014,-7.786,3.096,448.714
90,2710.4,17.814,-5.9,5.629,408.143
120,3641,14.514,-8.557,2.624,506.857
150,4264.5,15.986,-5.743,4.463,472.286
180,4458,15.857,-4.957,4.725,494.714
210,4651.5,15.971,-6.686,4.192,426.429
225,4748.3,17.286,-6.414,5.136,435.714
270,5038.6,15.786,-7.471,3.768,436.571
300,5232.1,14.843,-8.829,2.42,445.429
320,5361.1,15.529,-7.543,3.431,467.143
340,5490.1,16.043,-7.429,3.735,421
360,5712.2,15.471,-7.071,3.617,505.429
380,6027.2,15.5,-8.629,3.015,440
400,6342.2,16.071,-7.514,3.744,433.714
420,6657.3,17.686,-7.171,4.938,424
440,6972.3,16.729,-6.229,4.715,437
460,7287.3,16.443,-7.557,3.985,445.143
480,7602.4,16.443,-7.557,3.985,445.143
500,7917.4,15.871,-8.243,3.517,467.429
520,8232.5,13.3,-9.714,1.214,563.714
540,8547.5,16.457,-7.471,4.007,431
560,8862.5,17.1,-6.414,4.942,414.714
580,9177.6,15.729,-8.957,2.971,415.429
592,9366.6,16.4,-7.886,3.742,428
