depth (cm),age (yr 14C yr BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,13.729,-8.871,2.145,634.429
0.5,0.2,13.5,-9.057,1.939,638.571
2.5,0.8,13.729,-8.871,2.145,634.429
4,1.2,13.829,-8.914,2.2,623.857
6,1.8,13.771,-9.071,2.119,620.286
8.5,2.6,13.771,-9.071,2.119,620.286
10.5,3.2,13.286,-9.386,1.614,621.143
12.5,36,13.671,-9.029,2.064,630.857
14.5,68.8,13.929,-8.986,2.249,616.429
16.5,101.6,13.729,-8.871,2.145,634.429
18,126.2,13.757,-9.1,2.01,606.429
20,159,14.014,-9.086,2.114,577.143
22,191.8,13.543,-7.986,2.252,823.857
24,224.6,14.429,-7.486,2.883,776.429
26,257.4,14.671,-8.171,2.733,762.429
28,290.2,14.514,-8.743,2.56,574.286
30,323,13.829,-8.914,2.2,623.857
32,355.8,13.829,-8.914,2.2,623.857
34,388.7,14.286,-8.4,2.562,583.714
36,421.5,13.157,-8.8,1.732,823.714
38,454.3,13.729,-8.871,2.145,634.429
40,487.1,13.986,-8.829,2.33,620
42,519.9,13.729,-8.871,2.145,634.429
44,552.7,13.643,-8.871,1.995,598.286
46,585.5,13.6,-9.186,1.88,610.286
48,618.3,13.729,-8.871,2.145,634.429
50,651.1,13.757,-9.1,2.01,606.429
52,683.9,13.5,-9.143,1.825,620.857
54,707.7,14.129,-8.714,2.469,622.429
56,728.4,13.971,-8.8,2.33,622.286
58,749.1,13.343,-9.329,1.755,633.714
60,769.8,12.629,-9.686,1.165,656.571
62.5,795.7,13.729,-8.871,2.145,634.429
65,821.6,12.671,-9.029,1.342,842.286
67.5,847.5,13.757,-9.1,2.01,606.429
70,873.4,13.729,-8.871,2.145,634.429
75,925.1,14.129,-8.643,2.386,579.714
77.5,951,14.2,-8.557,2.38,594.286
80,976.9,13.6,-8.257,2.102,811.571
82.5,1002.8,15.486,-5.4,4.571,799.143
85,1028.7,13.957,-9.243,2.033,573.571
87.5,1054.6,13.829,-7.986,2.423,825.143
90,1080.5,14.2,-8.557,2.38,594.286
92.5,1106.4,13.729,-8.871,2.145,634.429
95,1132.2,13.886,-8.329,2.345,621
97.5,1158.1,13.5,-9.143,1.825,620.857
100,1184,13.729,-8.871,2.145,634.429
102.5,1209.9,13.729,-8.871,2.145,634.429
105,1235.8,13.757,-9.1,2.01,606.429
107.5,1261.7,14.029,-9.057,2.224,591
110,1287.6,13.671,-9.029,2.064,630.857
112.5,1313.5,13.671,-9.029,2.064,630.857
115,1339.4,13.957,-9.1,2.03,571.571
117.5,1365.2,13.757,-9.1,2.01,606.429
120,1391.1,13.886,-8.971,2.231,622.143
125,1459.7,13.757,-9.1,2.01,606.429
130,1544.9,13.343,-9.329,1.755,633.714
135,1630.2,13.157,-9.614,1.452,614.429
140,1715.5,12.329,-10.029,0.848,649.429
145,1800.7,13.429,-9.286,1.826,630.571
150,1886,13.671,-9.029,2.064,630.857
155,1971.3,13.5,-9.143,1.825,620.857
160,2056.5,13.929,-8.986,2.249,616.429
165,2141.8,13.386,-9.343,1.773,628
175,2312.3,13.7,-9.286,1.849,588
185,2482.9,13.757,-9.1,2.01,606.429
195,2653.4,13.443,-9.3,1.744,617.286
205,2791.8,13.671,-9.029,2.064,630.857
215,2834.1,13.443,-9.3,1.744,617.286
225,2876.3,14.186,-8.914,2.236,567.429
230,2897.4,13.129,-9.386,1.588,642.429
235,2918.5,7.657,-16.886,-5.164,1010.143
245,3121,11.014,-10.843,-0.263,598.857
260,3505,11.386,-10.514,0.082,594.429
267,3684.2,11.514,-10.629,0.115,572.714
275,3889,12.171,-10.2,0.68,643.571
285,4186.4,11.671,-10.329,0.331,589.143
295,4497.4,11.286,-10.8,-0.095,574.857
305,4756,11.2,-10.571,-0.039,605.429
315,4917,13.714,-8.971,2.119,633.857
325,5077.9,13.729,-8.871,2.145,634.429
335,5238.9,13.443,-9.057,1.905,642.857
338,5287.2,14.029,-8.7,2.426,597.714
345,5399.8,12.243,-9.986,0.813,573.714
348,5443.8,13.014,-9.443,1.495,558
358,5576,12.8,-9.471,1.35,658.714
368,5708.1,13.414,-9.129,1.863,640.714
378,5840.2,11.271,-10.843,-0.06,640.571
382,5893.1,11.557,-10.414,0.245,592
387,5959.2,13.729,-8.871,2.145,634.429
392,6025.2,14.571,-9.371,2.526,546.429
