year (AD),age (BP),depth (m),temperature (degC)
1950,0,0,25.7
1710,240,0.05,25.7
1480,470,0.1,25.7
1240,710,0.15,25.9
1000,950,0.2,25.8
730,1220,0.25,25.9
460,1490,0.3,25.5
180,1770,0.35,25.5
-90,2040,0.4,25.6
-340,2290,0.45,25.4
-590,2540,0.5,25.3
-840,2790,0.55,25.4
-1100,3050,0.6,25.1
-1350,3300,0.65,25.7
-1600,3550,0.7,25.4
-1850,3800,0.75,25.3
-2100,4050,0.8,25
-2320,4270,0.85,24.9
-2540,4490,0.9,25.1
-2750,4700,0.95,25.1
-2970,4920,1,25.1
-3180,5130,1.05,25.3
-3400,5350,1.1,25.2
-3620,5570,1.15,25.4
-3830,5780,1.2,25
-3970,5920,1.25,25.3
-4110,6060,1.3,25.1
-4250,6200,1.35,25.3
-4390,6340,1.4,25.1
-4530,6480,1.45,25.4
-4670,6620,1.5,25.4
-4810,6760,1.55,25.5
-4950,6900,1.6,25.2
-5090,7040,1.65,25.1
-5230,7180,1.7,25.5
-5370,7320,1.75,25.1
-5510,7460,1.8,25.2
-5650,7600,1.85,25
-5790,7740,1.9,25.4
-5930,7880,1.95,25.3
-6070,8020,2,24.9
-6220,8170,2.05,24.9
-6370,8320,2.1,25.2
-6520,8470,2.15,25.5
-6670,8620,2.2,25.3
-6820,8770,2.25,25.4
-6970,8920,2.3,25.6
-7120,9070,2.35,25.2
-7270,9220,2.4,25.2
-7420,9370,2.45,25.6
-7570,9520,2.5,25.5
-7730,9680,2.55,25
-7890,9840,2.6,25.4
-8050,10000,2.65,25.3
-8200,10150,2.7,25.4
-8360,10310,2.75,25.3
-8520,10470,2.8,25.1
-8680,10630,2.85,25
-8840,10790,2.9,25
-8990,10940,2.95,24.8
-9150,11100,3,25
-9310,11260,3.05,25
-9470,11420,3.1,25.4
