depth (cm),age (BP),d18O (permil)
39,3276,-18.91
47,3353,-18.97
58,3408,-18.99
65,3516,-19.15
70,3571,-19.22
80,3679,-19.39
100,3842,-19.56
102,3896,-19.54
114,4005,-19.45
127,4277,-19.46
142,4549,-19.12
146,4730,-19.1
150,4821,-19.03
154,5002,-19
158,5093,-19.03
166,5274,-18.91
175,5546,-18.8
187,5636,-18.69
200,5727,-18.78
207,5909,-18.78
217,6090,-18.66
252,8398,-18.39
314,9935,-19.17
359,10809,-19.85
382,11413,-20.04
405,11816,-20.22
417,12218,-20.28
439,12621,-20.51
