depth (cm),age (bp),depth_alt (mm),age14C (bp),age_error (years),cal_age_error (1s),reservoir (age),age_type (),core_name (),lab_id (),rejected_dates (),note ()
177,1692.4,1450,2290,15,NA,575,1,2,30,NA,NA
187,1781,1550,2365,15,NA,575,1,2,31,NA,NA
196.5,1864.7,1645,2405,15,NA,575,1,2,32,NA,NA
207.5,1961.1,1755,2585,50,NA,575,1,2,2,NA,NA
217,2044.3,1850,2540,15,NA,575,1,2,33,NA,NA
227,2131.7,1950,2595,15,NA,575,1,2,34,NA,NA
234,2192.9,2020,2720,50,NA,575,1,2,3,NA,NA
237,2219.2,2050,2700,25,NA,575,1,2,35,NA,NA
247,2306.9,2150,2790,25,NA,575,1,2,36,NA,NA
257.5,2399.5,2255,2900,25,NA,575,1,2,37,NA,NA
267,2483.8,2350,2950,25,NA,575,1,2,38,NA,NA
277,2573.2,2450,2955,30,NA,575,1,2,39,NA,NA
284,2636.4,2520,3030,25,NA,575,1,2,40,NA,NA
293,2718.3,2610,3255,55,NA,575,1,2,76,NA,NA
303,2810.5,2710,3230,25,NA,575,1,2,41,NA,NA
313,2904.2,2810,3295,25,NA,575,1,2,42,NA,NA
323,2999.4,2910,3355,25,NA,575,1,2,43,NA,NA
332.25,3089,3002.5,3450,50,NA,575,1,2,4,NA,NA
343.5,3200.3,3115,3610,30,NA,575,1,2,44,NA,NA
353,3296.4,3210,3670,25,NA,575,1,2,45,NA,NA
363,3400,3310,3745,25,NA,575,1,2,46,NA,NA
373,3506.1,3410,3835,60,NA,575,1,2,77,NA,NA
383,3615.1,3510,3970,25,NA,575,1,2,47,NA,NA
393,3727.1,3610,3960,25,NA,575,1,2,48,NA,NA
403,3842.3,3710,4030,25,NA,575,1,2,49,NA,NA
412,3949.1,3800,4150,25,NA,575,1,2,50,NA,NA
422,4071.2,3900,4220,25,NA,575,1,2,51,NA,NA
429.75,4168.5,3977.5,4375,75,NA,575,1,2,78,NA,NA
432,4197,4000,3826,12,NA,NA,3,2,NA,NA,3
442,4327.4,4100,4355,25,NA,575,1,2,52,NA,NA
452,4462.1,4200,4515,25,NA,575,1,2,53,NA,NA
462,4601.4,4300,4595,25,NA,575,1,2,54,NA,NA
471.5,4738.3,4395,4670,60,NA,575,1,2,79,NA,NA
482,4895.1,4500,4845,25,NA,575,1,2,55,NA,NA
492,5050,4600,4950,25,NA,575,1,2,56,NA,NA
503.25,5231,4712.5,5020,60,NA,575,1,2,80,NA,NA
512,5377.1,4800,5280,25,NA,575,1,2,57,NA,NA
522,5550,4900,5440,25,NA,575,1,2,58,NA,NA
532.75,5743.1,5007.5,5600,60,NA,575,1,2,85,NA,NA
542,5915.5,5100,5720,25,NA,575,1,2,59,NA,NA
553.25,6133.5,5212.5,5970,60,NA,575,1,2,81,NA,NA
562,6309.6,5300,6115,25,NA,575,1,2,60,NA,NA
572,6518,5400,6245,30,NA,575,1,2,61,NA,NA
581.5,6723.3,5495,6430,60,NA,575,1,2,1,NA,NA
592,6959,5600,6485,20,NA,575,1,2,62,NA,NA
602,7192.3,5700,6730,20,NA,575,1,2,63,NA,NA
612,7434.5,5800,7060,20,NA,575,1,2,64,NA,NA
622,7686,5900,7320,20,NA,575,1,2,65,NA,NA
