depth (cm),age (yr bp),error (yr),labId (unitless),material (unitless)
56.5,2035,15,UCIAMS-180319,charcoal
112,4150,15,UCIAMS-180320,charcoal
134.5,5065,20,UCIAMS-180321,charcoal
183.5,7040,15,UCIAMS-180322,charcoal
240.5,7880,30,UGAMS-21713,wood
260.5,9140,35,UCIAMS-16591,wood
300.5,11390,340,UCIAMS-16592,wood
350.5,14040,130,UCIAMS-16593,wood
389.5,16185,35,UCIAMS-182464,wood
433.5,18730,60,UCIAMS-182465,charcoal
443.5,19700,60,UCIAMS-182466,wood
490.5,21990,300,UCIAMS-182467,charcoal
503.5,23300,80,UCIAMS-182468,charcoal
540.5,26260,60,UGAMS-21714,charcoal
550.5,28020,200,UCIAMS-16954,wood
