depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.015,84,15.716,NA,2.547
0.055,307,NA,NA,NA
0.065,362,15.173,NA,2.404
0.095,530,NA,NA,NA
0.155,864,NA,-0.1,NA
0.255,1421,NA,0.11,NA
0.305,1700,17.153,NA,2.971
0.355,1979,16.138,0.194,2.665
0.399,2226,15.555,0.684,2.504
0.455,2536,NA,NA,NA
0.505,2815,16.357,-0.238,2.728
0.555,3165,NA,-0.262,NA
0.605,3515,17.52,-0.164,3.09
0.655,3865,NA,0.11,NA
0.705,4215,NA,-0.134,NA
0.755,4565,NA,NA,NA
0.805,4915,18.001,-0.138,3.253
0.855,5264,NA,-0.181,NA
0.905,5614,15.684,NA,2.539
0.955,5964,NA,-0.2,NA
1.005,6314,15.638,-0.05,2.526
1.055,6664,NA,-0.147,NA
1.085,6874,16.017,-0.079,2.631
1.105,7014,16.48,0,2.764
1.155,7286,NA,NA,NA
1.205,7558,16.965,-0.147,2.912
1.255,7829,NA,-0.337,NA
1.305,8101,17.296,-0.131,3.017
1.355,8373,NA,-0.127,NA
1.405,8645,16.868,-0.1,2.882
1.455,8916,NA,-0.146,NA
1.505,9188,17.057,-0.188,2.941
1.555,9460,NA,-0.234,NA
1.605,9713,16.909,0.06,2.894
1.655,9966,NA,0.077,NA
1.705,10262,17.926,-0.147,3.227
1.755,10557,NA,-0.224,NA
1.805,10853,18.448,-0.002,3.412
1.855,11148,NA,0.072,NA
1.905,11444,16.943,0.192,2.905
1.955,11739,NA,0.21,NA
2.005,12035,17.066,0.457,2.943
2.055,12330,NA,0.265,NA
2.105,12626,18.23,0.541,3.334
2.155,13081,NA,0.532,NA
2.205,13537,17.067,0.4,2.944
2.255,13992,NA,0.494,NA
2.305,14447,16.944,0.4,2.905
2.355,14902,NA,0.642,NA
2.405,15358,17.257,0.84,3.004
2.455,15813,NA,0.868,NA
2.555,16935,NA,1.121,NA
2.605,17172,18.181,1.069,3.316
2.655,17410,15.802,1.294,2.571
2.705,17647,16.433,1.378,2.751
2.74,17813,16.874,1.216,2.883
2.755,17884,NA,1.263,NA
2.775,17979,15.87,1.417,2.59
2.795,18074,15.964,1.282,2.616
2.815,18169,16.049,1.269,2.64
2.835,18264,16.719,1.351,2.836
2.855,18359,15.916,1.156,2.602
2.875,18453,16.593,1.336,2.798
2.895,18548,15.784,1.138,2.566
2.915,18643,17.273,1.168,3.009
2.935,18738,16.296,1.153,2.71
2.955,18833,17.251,1.29,3.002
2.967,19057,NA,NA,NA
2.98,19313,16.094,1.1,2.653
3.015,19986,17.184,1.306,2.981
3.035,20370,17.576,1.057,3.108
3.055,20754,16.835,1.375,2.871
3.075,21139,16.222,1.392,2.689
3.095,21523,16.453,1.332,2.756
