year (AD),age (BP),CCA1 (missing),cal_age_range_young (BP),cal_age_range_old (BP),CCA2 (missing)
1780.25,169.75,1.341,141.076,198.686,-0.017
1618.085,331.915,1.21,277.272,386.842,0.068
1454.105,495.895,1.19,415.795,576.435,-0.049
1277.412,672.588,1.13,570.495,775.205,-0.226
1077.111,872.889,1.028,755.262,991.042,0.175
842.305,1107.695,1.103,983.908,1232.118,0.137
555.595,1394.405,0.981,1276.125,1514.195,0.22
220.94,1729.06,1.126,1625.583,1830.533,-0.172
-140.518,2090.518,1.248,2001.099,2179.839,0.168
-507.638,2457.638,1.188,2370.611,2540.021,-0.143
-859.277,2809.277,1.092,2717.749,2893.569,-0.016
-1174.294,3124.294,1.183,3030.971,3215.201,0.097
-1431.726,3381.726,1.181,3286.767,3474.897,-0.224
-1631.195,3581.195,1.09,3485.725,3673.275,0.199
-1733.962,3683.962,1.214,3586.814,3773.734,-0.032
-1871.781,3821.781,1.1,3724.456,3912.156,-0.013
-1987.225,3937.225,0.943,3835.318,4035.008,-0.054
-2092.148,4042.148,0.918,3925.309,4146.249,0.03
-2198.414,4148.414,0.963,4017.69,4260.47,0.076
-2317.874,4267.874,1.014,4128.025,4386.185,0.265
-2453.088,4403.088,1.081,4265.033,4520.103,0.114
-2587.633,4537.633,0.996,4405.814,4649.934,0.118
-2721.577,4671.577,0.967,4545.352,4777.532,0.155
-2855.911,4805.911,0.996,4685.757,4912.097,0.362
-2991.625,4941.625,0.942,4829.208,5065.148,0.258
-3129.707,5079.707,1.197,4969.625,5236.225,0.347
-3271.147,5221.147,0.892,5114.229,5390.419,-0.027
-3416.935,5366.935,0.775,5261.636,5540.066,0.311
-3605.164,5555.164,0.963,5456.113,5713.443,-0.157
-3681.851,5631.851,0.745,5535.466,5778.296,0.089
-3759.507,5709.507,0.785,5616.943,5836.253,-0.032
-3838.265,5788.265,0.732,5698.183,5890.663,0.073
-3918.254,5868.254,0.85,5779.283,5957.293,-0.037
-3999.606,5949.606,0.882,5862.258,6035.868,-0.229
-4082.451,6032.451,0.705,5944.843,6120.153,-0.165
-4166.921,6116.921,0.632,6029.48,6208.91,-0.12
-4253.148,6203.148,0.673,6113.987,6299.047,-0.067
-4341.255,6291.255,0.925,6198.975,6390.675,-0.248
-4432.568,6382.568,0.644,6289.972,6482.132,-0.331
-4528.336,6478.336,0.771,6386.858,6575.938,-0.082
-4627.749,6577.749,0.674,6486.419,6674.009,-0.016
-4729.964,6679.964,0.432,6589.157,6774.707,-0.442
-4834.145,6784.145,0.486,6694.007,6877.877,-0.051
-4939.454,6889.454,0.447,6800.245,6983.385,-0.112
-5045.052,6995.052,0.265,6905.274,7089.334,-0.107
-5150.102,7100.102,0.506,7007.286,7194.756,-0.026
-5253.766,7203.766,0.486,7106.95,7300.4,0.064
-5355.205,7305.205,0.446,7204.647,7405.997,-0.118
-5453.583,7403.583,0.233,7298.78,7509.11,0.161
-5548.061,7498.061,0.477,7389.073,7608.103,-0.335
-5637.8,7587.8,0.307,7475.908,7701.488,0.058
-5721.964,7671.964,0.428,7558.746,7787.746,-0.115
-5799.503,7749.503,0.329,7636.668,7864.808,-0.166
-5868.4,7818.4,0.5,7707.927,7930.527,0.099
-5929.578,7879.578,0.483,7773.558,7987.338,-0.04
-5984.58,7934.58,0.381,7833.366,8037.926,-0.059
-6010.246,7960.246,0.397,7860.35,8061.96,0.095
-6034.946,7984.946,0.204,7886.536,8086.326,0.164
-6058.872,8008.872,0.34,7911.47,8110.13,0.174
-6082.218,8032.218,0.017,7935.595,8133.835,0.231
-6105.175,8055.175,-0.046,7958.724,8157.154,0.143
-6127.937,8077.937,0.144,7981.495,8180.935,0.257
-6150.697,8100.697,0.134,8004.288,8205.718,-0.022
-6173.646,8123.646,-0.103,8026.886,8231.036,0.097
-6196.979,8146.979,0.04,8049.273,8257.023,0.216
-6220.887,8170.887,-0.011,8071.994,8283.634,0.216
-6245.563,8195.563,0.401,8094.621,8310.511,0.152
-6271.199,8221.199,-0.011,8117.912,8338.432,0.146
-6297.99,8247.99,0.116,8142.52,8367.91,0.13
-6326.126,8276.126,0.16,8168.703,8398.893,0.299
-6355.802,8305.802,0.078,8196.648,8431.328,0.318
-6387.209,8337.209,0.114,8226.722,8465.222,0.205
-6420.541,8370.541,0.114,8259.213,8500.453,0.558
