year (AD),age (BP),WMT (degC),MAP (mm),WMT1-sigma (missing),WMT2-sigma (missing),MAP1-sigma (missing),MAP2-sigma (missing),BS (missing),BS_COMX (missing),BS_Landscape_Openness (missing)
1800,150,21.75,721.43,0.27,0.55,24.31,48.62,18.938,24.014,17.684
1766,184,21.76,638.52,0.32,0.64,30.8,61.6,18.385,22.768,15.915
1732,218,20.97,633.61,0.25,0.5,22.01,44.02,17.481,22.666,15.011
1698,252,22.58,740.57,0.31,0.62,28.39,56.79,18.381,23.372,17.205
1664,286,21.06,705.82,0.27,0.53,23.51,47.01,17.668,22.384,15.388
1630,320,22.95,787.18,0.29,0.58,26.36,52.72,19.708,23.658,20.018
1596,354,21.22,711.11,0.24,0.48,21.69,43.38,17.1,23.737,17.502
1562,388,21.84,750.15,0.25,0.51,23.11,46.22,15.573,21.91,15.403
1522,428,21.64,681.3,0.23,0.46,19.42,38.84,15.561,20.951,13.331
1482,468,22.46,755.75,0.31,0.62,29.44,58.89,16.681,22.002,16.213
1441,509,22.11,760.24,0.25,0.5,22.1,44.21,17.01,23.943,18.68
1401,549,21.79,756.26,0.28,0.55,25.61,51.22,16.446,23.246,17.227
1360,590,21.84,780,0.27,0.53,24.86,49.73,15.629,22.898,17.354
1320,630,21.72,810.94,0.29,0.57,28.31,56.61,16.023,23.301,17.874
1278,672,21.62,769.68,0.23,0.47,20.49,40.98,14.254,21.049,15.339
1239,711,23.42,735.82,0.33,0.65,29.17,58.34,18.696,22.383,17.583
1198,752,21.61,803.92,0.25,0.5,23.04,46.08,16.375,24.605,19.548
1154,796,21.36,693.14,0.28,0.56,25.07,50.15,18.656,24.498,19.299
1108,842,22.13,675.28,0.35,0.7,34.22,68.44,17.668,22.996,13.839
1061,889,21.99,724.03,0.27,0.55,25.96,51.92,17.635,23.662,17.464
1020,930,22.15,699.13,0.25,0.5,22.44,44.88,17.145,21.764,14.089
977,973,22.17,801.97,0.4,0.81,42.05,84.1,16.654,23.043,17.103
931,1019,22.78,776.1,0.32,0.65,33.01,66.03,17.032,22.055,16.015
893,1057,22.13,722.11,0.34,0.68,34.74,69.47,17.45,21.045,12.872
846,1104,23.02,784,0.31,0.62,30.03,60.06,16.767,21.472,16.669
804,1146,21.44,705.61,0.28,0.57,25.5,51,15.683,20.441,14.297
757,1193,21.72,723.61,0.31,0.62,29.78,59.57,17.624,22.698,16.961
745,1205,21.76,755.84,0.32,0.65,31.82,63.64,15.283,19.842,14.71
706,1244,22.15,660.37,0.39,0.79,38.64,77.28,19.292,21.756,16.176
667,1283,21.91,661.72,0.38,0.77,36.31,72.62,18.48,22.289,17.413
624,1326,21.46,657.05,0.37,0.74,33.86,67.72,19.266,22.465,17.899
581,1369,21.41,648.49,0.31,0.62,27.72,55.44,17.523,21.565,15.544
537,1413,21.91,795.32,0.27,0.54,24.23,48.47,16.893,22.562,17.642
493,1457,21.8,726.29,0.29,0.58,25.91,51.83,18.115,23.472,18.665
443,1507,22.09,761.12,0.28,0.55,24.3,48.61,16.903,22.534,17.477
397,1553,22.67,811.78,0.35,0.69,34.05,68.1,18.37,23.886,20.143
351,1599,23.2,844.73,0.37,0.75,37.75,75.51,16.151,20.751,14.304
301,1649,22.91,858.85,0.32,0.64,31.68,63.35,15.766,20.849,16.416
244,1706,23.23,826.48,0.37,0.75,37.76,75.52,17.038,22.594,17.564
186,1764,23.65,917.72,0.38,0.76,39.02,78.05,16.411,22.585,17.22
134,1816,23.16,785.1,0.41,0.82,41.37,82.73,18.381,22.203,16.607
89,1861,22.29,781.03,0.32,0.65,31.14,62.29,16.14,21.695,16.629
50,1900,22.64,715.06,0.39,0.78,37.9,75.8,19.614,21.61,16.311
8,1942,23.59,811.29,0.45,0.9,44.91,89.82,18.046,21.267,16.728
-43,1993,23.4,750.82,0.48,0.96,48.23,96.47,18.991,20.907,15.133
-69,2019,24.15,821.38,0.58,1.15,58.44,116.88,21.24,23.045,18.865
-129,2079,23.26,903.35,0.42,0.83,41.18,82.36,18.504,23.764,20.856
-196,2146,23.79,820.48,0.38,0.75,37.32,74.65,20.087,23.682,19.656
-267,2217,22.97,843.41,0.39,0.77,39,78,19.287,24.712,20.654
-325,2275,22.25,777.24,0.31,0.61,30.47,60.95,16.865,21.715,17.385
-384,2334,22.91,770.45,0.32,0.64,30.58,61.17,17.174,21.521,16.439
-452,2402,22.51,790.07,0.33,0.67,33.4,66.8,17.581,22.194,16.127
-523,2473,21.97,704.85,0.33,0.66,32.24,64.48,16.881,20.714,14.445
-593,2543,22.69,778.98,0.37,0.73,37.29,74.59,17.194,19.725,13.294
-646,2596,23.04,880.68,0.33,0.67,32.6,65.19,15.932,20.067,16.112
-716,2666,23.19,822.15,0.33,0.65,31.53,63.06,15.585,20.267,15.061
-780,2730,23.86,772.4,0.38,0.76,36.31,72.63,18.642,21.784,17.786
-849,2799,22.6,749.04,0.34,0.69,33.7,67.41,17.977,20.936,15.455
-911,2861,24.03,841.63,0.4,0.81,40.74,81.49,17.323,21.616,17.185
-970,2920,24.57,779.38,0.4,0.81,40.82,81.63,18.658,21.41,17.032
-1028,2978,23.72,731.46,0.36,0.72,36.92,73.84,18.665,21.323,16.323
-1090,3040,24.17,702.16,0.4,0.8,38.57,77.14,20.621,22.006,17.479
-1147,3097,24.13,799.99,0.35,0.69,32.87,65.74,18.549,20.933,17.902
-1213,3163,23.78,744.12,0.43,0.85,43.37,86.74,19.69,22.57,18.632
-1279,3229,24.13,810.2,0.46,0.92,46.43,92.87,19.715,21.193,16.232
-1348,3298,25.49,847.1,0.55,1.11,56.5,113.01,18.927,21.562,17.553
-1415,3365,24.9,787.29,0.58,1.17,60.11,120.22,21.45,23.283,20.427
-1476,3426,24.98,739.62,0.5,1,50.92,101.84,22.136,22.189,18.874
-1537,3487,24.97,783.08,0.56,1.12,58.04,116.09,21.009,22.823,19.491
-1601,3551,24.74,880.32,0.53,1.05,53.74,107.49,19.591,22.247,18.375
-1666,3616,25.35,881.85,0.53,1.06,54,107.99,19.543,21.798,18.13
-1726,3676,25.15,872.22,0.42,0.83,40.85,81.7,19.767,21.854,18.863
-1793,3743,26.01,825.6,0.51,1.02,52.3,104.6,21.521,22.856,19.951
-1856,3806,25.37,897.42,0.43,0.86,42.32,84.65,18.405,21.063,17.412
-1915,3865,26.16,868.11,0.62,1.24,63.05,126.1,21.182,22.055,18.195
-1976,3926,24.68,827.91,0.48,0.96,50.14,100.27,18.905,22.556,18.239
-2045,3995,26.19,917.41,0.64,1.28,66.2,132.39,21.172,22.321,19.9
-2106,4056,25.35,915.24,0.54,1.09,56.27,112.55,19.172,21.677,18.28
-2170,4120,24.68,953.39,0.39,0.77,38.13,76.26,16.479,20.287,18.413
