depth (m),age (BP),temperature (degC),planktic.d18O (permil),d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil)
0.05,1239,25.75,-1.27,3.041,3.857,NA
0.1,1427,24.48,-1.228,2.967,3.439,NA
0.15,1615,25.21,-0.778,3.024,3.675,NA
0.2,1803,26.1,-1.353,2.972,3.98,NA
0.25,1991,25.46,-1.105,3.008,3.758,NA
0.3,2144,24.32,-1.143,3.137,3.39,NA
0.35,2297,25.39,-0.977,3.039,3.734,NA
0.4,2450,25.64,-1.206,NA,3.819,NA
0.45,2604,26.39,-0.846,2.954,4.087,NA
0.5,2757,26.24,-0.924,2.911,4.03,NA
0.55,2910,25.77,-0.912,3.02,3.863,NA
0.6,3063,25.63,-1.254,2.85,3.815,NA
0.65,3370,27.3,-1.178,2.952,4.434,NA
0.7,3677,27.18,-1.238,2.952,4.387,NA
0.75,3983,26.56,-1.59,2.996,4.149,NA
0.8,4290,25.72,-1.062,2.877,3.846,NA
0.85,4597,26.51,-0.884,2.917,4.129,NA
0.9,4904,26.87,-1.476,2.834,4.268,NA
0.95,5211,26.42,-1.262,2.857,4.095,NA
1,5517,26.65,-0.771,2.967,4.182,NA
1.05,5824,25.69,-0.898,2.898,3.837,NA
1.1,6131,27.28,-0.848,2.821,4.427,NA
1.15,6298,26.89,-1.062,2.922,4.272,NA
1.2,6465,26.25,-0.833,2.996,4.036,NA
1.25,6633,26.84,-0.949,2.967,4.256,NA
1.3,6800,26.97,-1.07,2.91,4.305,NA
1.35,6967,26.87,-0.984,2.894,4.267,NA
1.4,7134,27.01,-0.965,3.155,4.322,1.225
1.42,7201,NA,NA,NA,NA,1.452
1.43,7234,NA,NA,NA,NA,1.466
1.44,7268,NA,NA,NA,NA,1.47
1.45,7301,27.24,-0.901,2.953,4.409,1.381
1.53,7569,NA,NA,NA,NA,1.587
1.55,7636,27.1,-0.912,2.986,4.354,1.299
1.56,7669,NA,NA,NA,NA,1.295
1.57,7703,NA,NA,NA,NA,1.395
1.58,7736,NA,NA,NA,NA,1.749
1.59,7770,NA,NA,NA,NA,1.31
1.6,7803,26.54,-1.012,2.919,4.141,1.2
1.61,7869,NA,NA,NA,NA,1.187
1.62,7935,NA,NA,NA,NA,1.698
1.63,8000,NA,NA,NA,NA,1.319
1.64,8066,NA,NA,NA,NA,1.552
1.65,8132,27.25,-1.105,2.956,4.416,1.051
1.66,8198,NA,NA,NA,NA,1.286
1.67,8264,NA,NA,NA,NA,1.447
1.68,8329,NA,NA,NA,NA,1.319
1.69,8395,NA,NA,NA,NA,1.166
1.7,8461,27.15,-0.911,3.005,4.374,1.63
1.71,8527,NA,NA,NA,NA,1.474
1.72,8592,NA,NA,NA,NA,1.184
1.73,8658,NA,NA,NA,NA,1.399
1.74,8723,NA,NA,NA,NA,1.495
1.75,8789,27.78,-1.326,2.92,4.631,0.951
1.76,8855,NA,NA,NA,NA,1.648
1.77,8921,NA,NA,NA,NA,1.211
1.78,8986,NA,NA,NA,NA,1.36
1.79,9052,NA,NA,NA,NA,1.547
1.8,9118,26.46,-0.72,3.06,4.11,1.149
1.81,9184,NA,NA,NA,NA,1.357
1.82,9250,NA,NA,NA,NA,1.193
1.83,9315,NA,NA,NA,NA,1.366
1.85,9447,27.04,-1.112,2.988,4.332,1.221
1.87,9583,NA,NA,NA,NA,1.283
1.88,9651,NA,NA,NA,NA,1.617
1.89,9719,NA,NA,NA,NA,1.631
1.9,9787,26.36,-0.884,3.552,4.075,1.311
1.95,10126,27.01,-0.804,3.198,4.322,NA
2,10466,26.4,-0.984,3.282,4.09,1.283
2.05,10806,25.99,-0.539,3.58,3.943,2.147
2.1,11146,26.06,-0.859,3.806,3.965,1.745
2.15,11485,25.78,-0.519,3.698,3.869,1.881
2.2,11825,25.69,-1.182,3.64,3.837,1.909
2.25,12165,25.39,-0.833,3.761,3.734,1.726
2.3,12505,26.02,-0.749,3.807,3.951,1.829
2.35,12844,25.28,-0.43,3.513,3.697,1.554
2.4,13184,25.99,-0.636,3.385,3.943,1.946
2.45,13524,24.55,-1.162,3.803,3.461,1.948
2.46,13592,NA,NA,NA,NA,2.509
2.47,13660,NA,NA,NA,NA,1.995
2.48,13728,NA,NA,NA,NA,1.958
2.5,13864,25.07,0.043,3.618,3.628,1.964
2.52,14000,NA,NA,NA,NA,2.131
2.53,14067,NA,NA,NA,NA,2.032
2.55,14203,25.38,-0.443,3.276,3.73,1.876
2.57,14339,NA,NA,NA,NA,2.285
2.58,14407,NA,NA,NA,NA,2.655
2.6,14543,25,-0.012,3.908,3.605,2.318
2.62,14679,NA,NA,NA,NA,2.392
2.63,14747,NA,NA,NA,NA,2.377
2.65,14883,24.76,-0.413,3.864,3.529,2.161
2.67,15019,NA,NA,NA,NA,2.729
