depth (cm),age (bp),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),age_type (),material_dated (),lab_id (),rejected_dates (),note ()
0,-60,NA,NA,NA,NA,2,NA,NA,NA,1
4,NA,107.11,0.36,-6,-60,1,12,6,1,2
17.55,391,370,100,555,0,1,2,13,NA,NA
28,603,620,80,685,515,1,4,16,NA,NA
30.35,613,655,35,670,555,1,3,14,NA,NA
33.1,702,775,30,735,670,1,10,8,NA,NA
40.3,855,945,35,930,785,1,11,15,NA,NA
52,915,1005,30,970,800,1,14,22,NA,NA
61.2,1197,1260,40,1280,1080,1,1,28,NA,NA
66.8,1201,1260,35,1280,1085,1,2,9,NA,NA
67.2,1211,1265,30,1285,1090,1,14,2,NA,NA
68,1319,1410,30,1355,1285,1,14,3,NA,NA
69.3,1238,1305,30,1290,1180,1,11,21,NA,NA
71.35,1341,1450,30,1385,1300,1,4,4,NA,NA
79.2,1470,1580,60,1605,1345,1,9,17,NA,NA
89.5,1694,1775,40,1815,1570,1,6,1,NA,NA
94.4,1877,1930,30,1945,1820,1,6,5,NA,NA
113,2247,2250,40,2345,2155,1,5,23,NA,NA
126.3,2707,2620,70,2875,2490,1,2,10,NA,NA
161.55,3288,3070,40,3170,3375,1,4,24,NA,NA
190.4,4104,3740,70,3895,4295,1,11,11,NA,NA
206.55,4806,4250,35,4650,4865,1,14,20,NA,NA
207.6,4654,4110,35,4520,4815,1,14,25,NA,NA
242.4,7804,6970,70,7679,7935,1,11,26,NA,NA
248.5,8266,7440,40,8180,8350,1,14,19,NA,NA
252.5,8366,7560,50,8210,8445,1,15,7,NA,NA
260.4,9339,8350,80,9130,9515,1,13,27,NA,NA
270.9,9334,8330,60,9135,9475,1,7,12,NA,NA
392.7,9992,8920,190,9540,10430,1,8,18,NA,NA
