depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
27.5,Carbon-14,110161,210,2840,NA,NA
55,Carbon-14,110162,140,2400,NA,NA
75,Carbon-14,110163,160,6345,NA,NA
102.5,Carbon-14,110164,1040,16975,NA,NA
