depth (cm),age (yr BP),labID (unitless),uncertainty (yr),95 (yr BP)
206,140,#CAMS150476,35,-276
245,225,#CAMS166538,35,-422
304,330,#CAMS168422,30,-166
342,705,#CAMS168423,30,-130
353,1370,#CAMS163698,30,-77
383,1250,#CAMS168424,30,-194
383,1180,#CAMS168426,35,-242
383,1170,#CAMS168425,30,-194
400,1495,#CAMS155155,30,-198
423,1600,#CAMS150477,35,-148
551,2195,#CAMS163697,30,-183
612,2035,#CAMS150478,30,-207
750,2330,#CAMS166539,30,-224
1170,5460,#CAMS155795,25,-92
