depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-35,21.329,-8.586,6.589,367.286
40,522,21.443,-8.643,6.626,370.857
60,694,19.914,-7.271,6.14,403.714
100,1209,21.386,-8.214,6.708,367.429
140,1733,20.557,-8.386,6.168,376.857
180,2346,21.386,-8.214,6.708,367.429
220,2961,21.586,-8.271,6.82,373.286
260,3618,21.329,-8.586,6.589,367.286
300,4349,20.614,-7.8,6.455,378.429
340,5004,21.386,-8.614,6.662,362.143
380,5689,21.529,-8.643,6.701,373.143
420,6286,21.571,-8.714,6.7,372.143
460,6841,20.829,-8.671,6.362,363.714
480,7201,21.986,-7.229,7.39,390.429
520,7372,19.943,-9.229,5.63,404.714
568,7534,20.929,-8.943,6.338,358.429
600,7635,22.143,-8.214,7.162,374.143
640,7791,21.214,-5.914,7.483,352.429
680,7953,21.914,-8.557,6.907,367.286
700,8028,19.714,-9.043,5.62,381
740,8209,21.014,-7.9,6.715,373.143
790,8407,20.286,-7.086,6.592,401
820,8510,20.886,-6.386,7.407,353.571
860,8687,21.757,-8.029,7.025,354.714
920,9095,19.886,-9.371,5.708,317.286
960,9361,21.471,-8.314,6.758,376.286
1000,9466,21.614,-7.886,6.969,386.571
1080,9642,21.829,-7.314,7.295,397
1098,9704,21.586,-6.343,7.53,339
1180,10168,22.214,-8.586,7.049,371
1240,10312,21.314,-8.271,6.724,357.857
1280,10465,21.871,-6.329,7.732,340.143
1320,10623,21.443,-6.614,7.235,329.857
1340,10681,21.171,-6.2,7.402,342.714
1380,10845,21.514,-8.214,6.795,385
1420,11140,NA,NA,NA,NA
1464,11233,NA,NA,NA,NA
1500,11312,NA,NA,NA,NA
1520,11382,NA,NA,NA,NA
1540,11619,NA,NA,NA,NA
1580,11954,NA,NA,NA,NA
1600,12070,NA,NA,NA,NA
1640,12379,NA,NA,NA,NA
