depth (cm),age (BP),temperature (degC),uncertainty_plus (degC),undertainty_minus (degC)
46,0,5.977,10.677,1.277
54,109.9,5.537,10.237,0.837
62,240.4,6.135,10.835,1.435
70,371.3,5.05,9.75,0.35
78,502.8,5.341,10.041,0.641
86,635.3,4.501,9.201,-0.199
94,765.4,4.29,8.99,-0.41
102,896.4,4.764,9.464,0.064
110,1025.7,7.231,11.931,2.531
118,1153.1,7.1,11.8,2.4
126,1287.1,5.435,10.135,0.735
134,1418.7,5.522,10.222,0.822
142,1549.1,5.822,10.522,1.122
150,1681.4,6.254,10.954,1.554
158,1825,7.758,12.458,3.058
166,1988.6,5.715,10.415,1.015
174,2151.1,8.045,12.745,3.345
182,2315.3,9.392,14.092,4.692
190,2479.4,9.256,13.956,4.556
198,2648,8.864,13.564,4.164
206,2815.8,9.232,13.932,4.532
214,2982.9,9.227,13.927,4.527
222,3145.8,8.341,13.041,3.641
230,3310.2,8.855,13.555,4.155
238,3472.5,8.705,13.405,4.005
246,3634.2,8.97,13.67,4.27
254,3802.1,9.54,14.24,4.84
262,3974.8,10.462,15.162,5.762
270,4157.7,11.39,16.09,6.69
278,4337.2,7.99,12.69,3.29
286,4521.9,9.542,14.242,4.842
294,4707.2,9.472,14.172,4.772
302,4882.7,9.086,13.786,4.386
310,5063,8.462,13.162,3.762
318,5251.4,9.026,13.726,4.326
326,5436.3,9.841,14.541,5.141
334,5619.5,11.243,15.943,6.543
342,5798.5,9.365,14.065,4.665
350,5984.5,10.704,15.404,6.004
358,6154.3,12.553,17.253,7.853
366,6311.5,11.213,15.913,6.513
374,6473.3,11.053,15.753,6.353
382,6638.2,11.693,16.393,6.993
390,6802.3,10.683,15.383,5.983
398,6966.8,11.501,16.201,6.801
406,7133,11.552,16.252,6.852
414,7301,10.919,15.619,6.219
422,7458.6,10.484,15.184,5.784
430,7618.7,11.176,15.876,6.476
438,7765.3,10.539,15.239,5.839
446,7911.2,11.302,16.002,6.602
454,8055.8,10.87,15.57,6.17
462,8203,10.85,15.55,6.15
470,8350,10.326,15.026,5.626
478,8497.4,9.365,14.065,4.665
486,8643.2,7.138,11.838,2.438
494,8792.1,6.845,11.545,2.145
502,8946,7.633,12.333,2.933
510,9100.1,9.42,14.12,4.72
518,9256.8,10.235,14.935,5.535
526,9416.4,9.991,14.691,5.291
534,9574,9.003,13.703,4.303
542,9727.3,9.935,14.635,5.235
550,9884.4,9.891,14.591,5.191
558,10040.3,6.952,11.652,2.252
566,10198.4,5.121,9.821,0.421
574,10340.3,5.926,10.626,1.226
575,10356.9,5.844,10.544,1.144
578,10407.9,5.22,9.92,0.52
582,10476.1,5.401,10.101,0.701
585,10526.7,5.814,10.514,1.114
590,10609.9,5.257,9.957,0.557
598,10746.6,9.461,14.161,4.761
606,10883.6,9.226,13.926,4.526
614,11017.9,10.889,15.589,6.189
622,11153.5,12.211,16.911,7.511
630,11287.9,10.795,15.495,6.095
638,11420,10.076,14.776,5.376
646,11556.8,7.028,11.728,2.328
654,11689.9,4.302,9.002,-0.398
662,11826.1,4.374,9.074,-0.326
670,11960,5.159,9.859,0.459
678,12091.7,4.826,9.526,0.126
686,12208.6,5.77,10.47,1.07
694,12319.2,4.953,9.653,0.253
702,12429,4.779,9.479,0.079
710,12539.1,4.936,9.636,0.236
718,12649.3,7.524,12.224,2.824
726,12756.2,7.833,12.533,3.133
734,12865.6,6.698,11.398,1.998
742,12976,7.15,11.85,2.45
750,13084.6,7.858,12.558,3.158
758,13219.7,7.33,12.03,2.63
766,13412.7,6.075,10.775,1.375
774,13610.9,4.273,8.973,-0.427
782,13808.3,5.122,9.822,0.422
790,14007.4,5.856,10.556,1.156
798,14209.7,4.758,9.458,0.058
806,14404.1,4.106,8.806,-0.594
814,14598.1,1.531,6.231,-3.169
822,14795.4,1.335,6.035,-3.365
830,14991.4,2.68,7.38,-2.02
838,15191,1.192,5.892,-3.508
846,15390.1,-2.731,1.969,-7.431
850,15487.4,-3.21,1.49,-7.91
854,15586.8,-4.364,0.336,-9.064
857,15660.6,-4.243,0.457,-8.943
862,15784.3,-5.374,-0.674,-10.074
870,15981.7,-5.153,-0.453,-9.853
878,16180.3,-0.84,3.86,-5.54
