depth (cm),age (yrBP),laboratory number (NA),error (yr),type (NA)
220,2770,Beta-86805,80,AMS14C
435,5450,Beta-85176,70,AMS14C
538.5,6730,Mazama Ash,40,tephra
605,8330,Beta-85177,100,AMS14C
765,10440,Beta-86806,80,AMS14C
780,10720,Beta-86807,110,AMS14C
857.5,11750,Beta-81085,100,AMS14C
872.5,12990,Beta-81084,180,AMS14C
