year (AD),age (BP),depth (m),temperature (degC),Gbulloidesd18O (permil),Npachderma (percent),PPexp (g/m^2/a)
1774,176,0.02,18.7,0.27,1.29,104.4
1509,441,0.05,17.9,0.49,0.86,97
1245,705,0.08,18.4,0.23,0.51,112.2
980,970,0.11,18.2,0.63,0.52,113.8
716,1234,0.14,18.4,0.3,0.76,108.2
452,1498,0.17,17.2,0.25,1.05,112.9
187,1763,0.2,19.2,0.32,0.32,78.3
-77,2027,0.23,19,0.13,1.32,77.9
-342,2292,0.26,18,0.07,0.93,97.4
-606,2556,0.29,16.7,0.35,0.66,112.6
-871,2821,0.32,19,0.18,0.95,126
-1135,3085,0.35,17.9,0.48,0.75,120.6
-1400,3350,0.38,19,0.18,1.51,95.7
-1664,3614,0.41,18.7,0.27,1.74,101.6
-1928,3878,0.44,16.2,0.35,0.79,100.8
-2193,4143,0.47,18.7,0.3,2.1,101.6
-2457,4407,0.5,17.4,0.44,1.05,110.4
-2722,4672,0.53,18.9,0.46,2.68,103.7
-2986,4936,0.56,18.8,0.33,4.48,106.1
-3251,5201,0.59,16.1,0.56,3.17,105
-3515,5465,0.62,18.9,0.52,4.18,98.9
-3779,5729,0.65,18.6,0.26,5.95,106.4
-4044,5994,0.68,17.1,0.48,5.86,106.6
-4308,6258,0.71,18.8,0.39,5.2,131.9
-4573,6523,0.74,15.3,0.6,8.41,100.8
-4837,6787,0.77,19.1,0.59,6.95,81.9
-5102,7052,0.8,18.6,0.42,5.09,106.4
-5366,7316,0.83,18.5,0.66,5.47,110
-5630,7580,0.86,18.8,0.43,3.76,102.4
-5895,7845,0.89,17.3,0.68,4.04,103.7
-6159,8109,0.92,18,0.8,4.87,111.3
-6424,8374,0.95,17.9,0.76,5.14,117.6
-6688,8638,0.98,18.1,0.89,8.02,108.3
-6953,8903,1.01,16.8,0.77,8.52,111.4
-7217,9167,1.04,17.1,0.62,9.11,98.3
-7482,9432,1.07,17.5,0.9,7.64,106.4
-7746,9696,1.1,16.9,0.68,8.58,93.2
-8010,9960,1.13,18.7,0.84,6.73,106
-8275,10225,1.16,15.6,0.67,7.53,109.5
-8539,10489,1.19,15.7,0.88,6.92,102.1
-8804,10754,1.22,19.2,0.76,7.09,76.4
-9068,11018,1.25,18.5,0.85,5.28,94.4
-9333,11283,1.28,16.7,0.71,6.33,97.4
-9597,11547,1.31,15.5,0.75,7.79,102.5
-9728,11678,1.34,14.2,1.07,12.02,83.2
-9859,11809,1.37,19.9,1.54,8.63,82.6
-9990,11940,1.4,12.2,1.43,9.7,77.5
-10120,12070,1.43,13.8,1.3,14.76,79.2
-10251,12201,1.46,11.4,1.36,11.42,77.2
-10382,12332,1.49,13.2,1.39,10.14,83.4
-10513,12463,1.52,19,1.7,11.36,86.8
-10739,12689,1.55,15,1.51,11.17,97.4
-10964,12914,1.58,15,1.49,8.51,101.6
-11190,13140,1.61,15.8,1.26,9.43,103.1
-11415,13365,1.64,15.7,NA,8.85,101.9
-11641,13591,1.67,17.5,NA,9.62,98.8
-11867,13817,1.7,14.8,NA,9.76,98.5
-12092,14042,1.73,15.3,1.06,7.54,109.9
-12317,14267,1.76,16,1.13,6.96,109.5
-12543,14493,1.79,18.5,1.43,10.44,81
-12718,14668,1.82,10.1,1.98,17.04,77.9
-12793,14743,1.85,9.5,1.72,9.39,76.2
-12868,14818,1.88,11.2,1.72,12.64,83.3
