year (AD),age (BP),temperature (degC),Ice_core_C (degC),ageUncertainty (yr)
1850,100,-0.314,-0.314,2
1750,200,-0.523,-0.523,4
1650,300,-0.53,-0.53,6
1550,400,-0.68,-0.68,8
1450,500,-0.871,-0.871,10
1350,600,-0.304,-0.304,12
1250,700,-1.002,-1.002,14
1150,800,0.181,0.181,16
1050,900,-0.433,-0.433,18
950,1000,-0.262,-0.262,20
850,1100,-0.25,-0.25,22
750,1200,0.202,0.202,24
650,1300,0.032,0.032,26
550,1400,-0.021,-0.021,28
450,1500,-0.333,-0.333,30
350,1600,-0.435,-0.435,32
250,1700,-0.352,-0.352,34
150,1800,-0.538,-0.538,36
50,1900,-0.13,-0.13,38
-50,2000,-0.884,-0.884,40
-150,2100,-0.272,-0.272,42
-250,2200,-0.437,-0.437,44
-350,2300,-1.222,-1.222,46
-450,2400,-1.197,-1.197,48
-550,2500,-0.706,-0.706,50
-650,2600,-0.579,-0.579,52
-750,2700,-0.662,-0.662,54
-850,2800,0.442,0.442,56
-950,2900,-0.187,-0.187,58
-1050,3000,-0.423,-0.423,60
-1150,3100,0.073,0.073,62
-1250,3200,-0.951,-0.951,64
-1350,3300,-0.619,-0.619,66
-1450,3400,-0.613,-0.613,68
-1550,3500,0.112,0.112,70
-1650,3600,0.002,0.002,72
-1750,3700,0.426,0.426,74
-1850,3800,-0.187,-0.187,76
-1950,3900,-0.596,-0.596,78
-2050,4000,-0.226,-0.226,80
-2150,4100,-0.525,-0.525,82
-2250,4200,-0.523,-0.523,84
-2350,4300,-0.499,-0.499,86
-2450,4400,-0.479,-0.479,88
-2550,4500,-0.028,-0.028,90
-2650,4600,-0.616,-0.616,92
-2750,4700,-0.412,-0.412,94
-2850,4800,-0.911,-0.911,96
-2950,4900,-0.142,-0.142,98
-3050,5000,-0.463,-0.463,100
-3150,5100,-0.554,-0.554,102
-3250,5200,-0.208,-0.208,104
-3350,5300,-0.386,-0.386,106
-3450,5400,-0.893,-0.893,108
-3550,5500,-1.121,-1.121,110
-3650,5600,-0.043,-0.043,112
-3750,5700,-0.53,-0.53,114
-3850,5800,0.171,0.171,116
-3950,5900,-0.499,-0.499,118
-4050,6000,-0.436,-0.436,120
-4150,6100,-0.407,-0.407,122
-4250,6200,-0.466,-0.466,124
-4350,6300,-0.517,-0.517,126
-4450,6400,-0.629,-0.629,128
-4550,6500,-0.672,-0.672,130
-4650,6600,-0.803,-0.803,132
-4750,6700,-0.8,-0.8,134
-4850,6800,-1.225,-1.225,136
-4950,6900,-0.228,-0.228,138
-5050,7000,-0.699,-0.699,140
-5150,7100,-1.1,-1.1,142
-5250,7200,-1.748,-1.748,144
-5350,7300,-0.69,-0.69,146
-5450,7400,-1.487,-1.487,148
-5550,7500,-1.081,-1.081,150
-5650,7600,-0.386,-0.386,152
-5750,7700,-0.965,-0.965,154
-5850,7800,-0.702,-0.702,156
-5950,7900,-0.728,-0.728,158
-6050,8000,-1.423,-1.423,160
-6150,8100,-1.364,-1.364,162
-6250,8200,-1.564,-1.564,164
-6350,8300,-1.142,-1.142,166
-6450,8400,-1.218,-1.218,168
-6550,8500,-0.914,-0.914,170
-6650,8600,-0.749,-0.749,172
-6750,8700,-0.931,-0.931,174
-6850,8800,-0.891,-0.891,176
-6950,8900,-0.73,-0.73,178
-7050,9000,-0.738,-0.738,180
-7150,9100,-1.064,-1.064,182
-7250,9200,-0.588,-0.588,184
-7350,9300,-0.627,-0.627,186
-7450,9400,-0.082,-0.082,188
-7550,9500,-0.514,-0.514,190
-7650,9600,-0.279,-0.279,192
-7750,9700,0.22,0.22,194
-7850,9800,-0.282,-0.282,196
-7950,9900,0.04,0.04,198
-8050,10000,0.047,0.047,200
-8150,10100,-0.081,-0.081,202
-8250,10200,-0.347,-0.347,204
-8350,10300,-0.136,-0.136,206
-8450,10400,-0.634,-0.634,208
-8550,10500,0.359,0.359,210
-8650,10600,-0.652,-0.652,212
-8750,10700,-0.816,-0.816,214
-8850,10800,-1.167,-1.167,216
-8950,10900,-1.016,-1.016,218
-9050,11000,-0.728,-0.728,220
-9150,11100,-1.642,-1.642,222
-9250,11200,-0.57,-0.57,224
-9350,11300,-0.497,-0.497,226
-9450,11400,-1.319,-1.319,228
-9550,11500,-0.747,-0.747,230
-9650,11600,-1.497,-1.497,232
-9750,11700,-0.963,-0.963,234
-9850,11800,-2.003,-2.003,236
-9950,11900,-2.655,-2.655,238
-10050,12000,-2.769,-2.769,240
-10150,12100,-3.211,-3.211,242
-10250,12200,-3.072,-3.072,244
-10350,12300,-3.824,-3.824,246
-10450,12400,-3.825,-3.825,248
-10550,12500,-4.696,-4.696,250
-10650,12600,-5.077,-5.077,252
-10750,12700,-4.558,-4.558,254
-10850,12800,-4.701,-4.701,256
-10950,12900,-4.608,-4.608,258
