depth (cm),age (yr bp),error (yr),type (unitless)
14.5,620,25,AMS14C
25.5,975,25,AMS14C
67.5,1900,25,AMS14C
107.5,2320,25,AMS14C
155.5,3070,30,AMS14C
223.5,3835,35,AMS14C
284.5,4585,40,AMS14C
342,5700,35,AMS14C
407.5,5945,35,AMS14C
443.5,7755,60,AMS14C
497.5,9170,45,AMS14C
541.5,9950,50,AMS14C
558.5,10125,45,AMS14C
610.5,11640,35,AMS14C
645.5,12650,35,AMS14C
700.5,14450,45,AMS14C
750.5,15775,45,AMS14C
775.5,16420,50,AMS14C
920.5,18795,50,AMS14C
1030.5,23080,180,AMS14C
1095.5,25280,10,AMS14C
1205.5,31430,180,AMS14C
1235.5,33370,630,AMS14C
1295.5,36960,980,AMS14C
