depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-28,15.929,-7.271,4.432,633.286
10,443,13.129,-9.629,1.821,799.429
25,919,12.757,-8.343,2.355,920.714
40,1520,13.729,-8.814,2.46,778.429
55,2270,13.729,-8.814,2.46,778.429
70,2986,13.671,-8.743,2.435,761.429
85,3714,14.3,-7.786,3.232,921.286
100,3984,13.086,-9.114,1.943,941.857
115,4297,14.7,-8.857,3.1,663.857
130,4564,14.414,-8.057,3.168,795.714
145,4862,15.986,-6.414,4.71,634.429
160,5156,13.929,-8.571,2.627,743.286
175,5447,14.957,-7.429,3.733,722.571
190,5650,15.057,-7.829,3.658,696.286
205,5874,14.414,-8.129,3.142,859.714
220,6122,13.886,-8.6,2.59,651.857
235,6336,14.414,-8.129,3.142,859.714
250,6539,14.829,-7.914,3.413,655
265,6773,14.8,-9.014,3.186,636.714
280,7032,14.029,-9.114,2.642,732.714
295,7278,14.557,-9.286,2.942,705.571
300,7338,13.457,-9.857,2.063,730
305,7395,13.443,-10.429,1.833,687.143
310,7449,15.714,-6.629,4.554,723.571
315,7500,13.843,-9.086,2.467,752.714
320,7549,15.414,-6.343,4.456,748.857
325,7598,14.443,-8.986,2.946,680.857
330,7648,13.457,-10.6,1.745,699.571
335,7704,13.486,-10.243,1.874,701
340,7768,13.7,-9.614,2.204,703.571
345,7836,14.114,-9.471,2.383,641.571
350,7900,13.529,-10.414,1.786,677.714
355,7958,14.9,-8.214,3.339,631.571
360,8016,12.8,-10.843,1.068,689.429
365,8077,14.071,-10.1,2.11,631.714
370,8148,13.586,-9.757,1.819,669.571
375,8224,12.8,-10.843,1.068,689.429
380,8309,13.829,-9.743,2.224,693.143
385,8382,13.214,-10.486,1.556,675.714
390,8449,12.857,-10.371,1.463,799.286
395,8518,13.1,-10.886,1.505,697.571
400,8595,12.486,-11.143,0.971,739.571
405,8700,14.357,-9.057,2.936,692.143
410,8897,12.571,-10.943,1.054,715.857
415,9012,12.843,-10.814,1.337,677.286
420,9100,11.6,-11.5,0.235,701.714
425,9222,12.143,-11.171,0.752,634.429
430,9363,16,-7.929,4.189,538.143
435,9437,14.286,-8.757,3.005,656.571
440,9495,14.229,-9.1,2.808,723.286
445,9553,13.314,-9.329,2.029,792.571
450,9619,11.871,-10.471,0.681,626.714
454,9695,11.786,-9.586,0.783,574.571
460,9888,13.243,-9.914,1.707,660.429
465,10102,12.814,-9.971,1.327,679.857
470,10187,11.843,-10.286,0.5,585.714
475,10254,13.286,-9.829,1.595,645.714
480,10327,14.157,-9.043,2.605,621.286
485,10528,13.143,-9.743,1.67,638
490,11356,NA,NA,NA,NA
492,11971,NA,NA,NA,NA
498,12804,NA,NA,NA,NA
506,12926,NA,NA,NA,NA
509,12975,NA,NA,NA,NA
515,13096,NA,NA,NA,NA
518,13160,NA,NA,NA,NA
524,13272,NA,NA,NA,NA
527,13326,NA,NA,NA,NA
531,13408,NA,NA,NA,NA
534,13490,NA,NA,NA,NA
537,13586,NA,NA,NA,NA
540,13668,NA,NA,NA,NA
