depth (cm),age14C (bp),age_error (1s),cal_age_range_young (bp),cal_age_range_old (bp),age_type (unitless),lab_id (unitless),note (unitless)
56,2040,35,1182,975,1,1,1
166,3650,40,3061,2804,1,1,NA
220.5,4270,40,3822,3582,1,1,NA
326,5040,35,4829,4616,1,1,NA
336,5320,35,5250,4970,1,1,NA
339,5290,50,5243,4883,1,1,NA
361,5570,50,5550,5303,1,1,NA
400,5840,80,5890,5561,1,1,NA
411,6260,40,6275,6050,1,1,NA
